id,cost,hd_time,ls_time,diversity
0,2.70307e+06,0.439,1.14,52.8837
1,2.70637e+06,0.427,1.091,54.2946
2,2.71128e+06,0.436,1.124,52.9147
3,2.71145e+06,0.512,1.145,56.1705
4,2.71164e+06,0.419,1.235,55.7519
5,2.71172e+06,0.531,1.205,57.1473
6,2.7121e+06,0.608,1.292,57.2868
7,2.71223e+06,0.449,1.045,51.6279
8,2.7123e+06,0.508,1.156,58.2791
9,2.71274e+06,0.634,1.237,57.5039
10,2.71311e+06,0.5,1.188,56.0155
11,2.71579e+06,0.699,1.149,57.0698
12,2.71961e+06,0.541,1.144,56.1085
13,2.72123e+06,0.417,1.066,55.0853
14,2.72264e+06,0.447,1.087,53.7674
15,2.72264e+06,0.647,1.226,58.5736
16,2.72409e+06,0.509,1.046,53.7674
17,2.72451e+06,0.52,1.136,57.2248
18,2.72511e+06,0.433,1.046,55.876
19,2.72518e+06,0.532,1.11,56.8217
20,2.72637e+06,0.667,1.165,57.5349
21,2.72653e+06,0.719,1.205,56.9767
22,2.7268e+06,0.419,1.065,53.5659
23,2.72695e+06,0.572,1.136,57.4109
24,2.72752e+06,0.525,1.113,56.7907
25,2.72773e+06,0.508,1.145,53.1628
26,2.72815e+06,0.637,1.142,58.6512
27,2.72818e+06,0.494,1.093,54.186
28,2.72976e+06,0.52,1.057,55.7054
29,2.73009e+06,0.529,1.116,55.7829
30,2.73023e+06,0.545,1.172,57.6744
31,2.7305e+06,0.521,1.149,56.8372
32,2.73063e+06,0.546,1.191,57.876
33,2.73115e+06,0.412,1.1,52.7287
34,2.7318e+06,0.56,1.125,57.1163
35,2.73239e+06,0.423,1.113,54.8527
36,2.73481e+06,0.564,1.15,58.9922
37,2.73494e+06,0.653,1.213,57.1628
38,2.73495e+06,0.421,1.063,52.0775
39,2.7355e+06,0.402,1.074,56.2481
40,2.73557e+06,0.425,1.083,55.1628
41,2.73626e+06,0.652,1.16,57.4574
42,2.73685e+06,0.538,1.142,56.4961
43,2.7388e+06,0.482,1.078,55.8915
44,2.7388e+06,0.657,1.134,56.2016
45,2.73969e+06,0.458,1.044,52.6977
46,2.73988e+06,0.403,1.101,53.7984
47,2.73989e+06,0.548,1.175,57.7984
48,2.7406e+06,0.569,1.148,57.4264
49,2.7408e+06,0.532,1.063,56.4341
50,2.74088e+06,0.502,1.078,51.1163
51,2.74094e+06,0.421,1.107,54.124
52,2.74106e+06,0.555,1.087,56.8527
53,2.7411e+06,0.52,1.097,56.5891
54,2.74117e+06,0.514,1.128,58.6047
55,2.7412e+06,0.53,1.177,57.4729
56,2.74258e+06,0.424,1.122,56.5116
57,2.74296e+06,0.522,1.125,57.4884
58,2.74472e+06,0.563,1.11,57.4574
59,2.74486e+06,0.055,1.112,51.9225
60,2.74488e+06,0.529,1.09,56.9302
61,2.74489e+06,0.567,1.153,57.5504
62,2.74576e+06,0.567,1.141,57.5814
63,2.74627e+06,0.456,1.055,52.2171
64,2.74722e+06,0.498,1.088,56.4186
65,2.74758e+06,0.513,1.064,50.8527
66,2.74904e+06,0.496,1.102,53.907
67,2.74918e+06,0.641,1.112,57.7364
68,2.75079e+06,0.574,1.166,57.1008
69,2.75117e+06,0.538,1.145,56.7907
70,2.75176e+06,0.43,1.123,53.9225
71,2.7519e+06,0.572,1.105,56.7907
72,2.75203e+06,0.52,1.093,56.2636
73,2.75222e+06,0.55,1.184,59.1008
74,2.75315e+06,0.627,1.217,57.3178
75,2.75572e+06,0.523,1.114,53.6589
76,2.75666e+06,0.513,1.088,51.1163
77,2.75692e+06,0.639,1.187,57.7209
78,2.75753e+06,0.652,1.135,59.2093
79,2.75832e+06,0.645,1.135,58.6667
80,2.75907e+06,0.564,1.191,59.5659
81,2.76038e+06,0.643,1.056,57.938
82,2.76059e+06,0.061,1.066,51.5814
83,2.76087e+06,0.564,1.125,56.0775
84,2.76171e+06,0.421,1.126,55.907
85,2.76346e+06,0.517,1.144,58.4651
86,2.76364e+06,0.53,1.157,51.3178
87,2.76484e+06,0.559,1.133,57.9225
88,2.76737e+06,0.504,1.075,50.2791
89,2.76768e+06,0.535,1.112,57.0388
90,2.76985e+06,0.508,1.148,54.8372
91,2.76994e+06,0.611,1.096,58.7907
92,2.77082e+06,0.507,1.1,57.0698
93,2.77244e+06,0.506,1.052,51.1473
94,2.77303e+06,0.525,1.124,57.5814
95,2.77504e+06,0.548,1.142,57.0698
96,2.7756e+06,0.548,1.131,57.6434
97,2.78247e+06,0.654,1.09,58.3411
98,2.79254e+06,0.638,1.061,57.907
99,2.79548e+06,0.561,1.094,57.5659
