id,cost,hd_time,ls_time,diversity
0,2.47052e+06,14.836,14.807,41.6515
1,2.47803e+06,29.965,15.041,43.4927
2,2.47805e+06,13.199,15.11,40.0657
3,2.48036e+06,19.732,15.093,40.8363
4,2.48351e+06,22.738,14.988,42.2679
5,2.48447e+06,29.483,15.29,43.0547
6,2.4876e+06,14.573,14.785,40.4429
7,2.48871e+06,18.874,14.895,42.5883
8,2.48929e+06,17.944,14.75,45.2813
9,2.48991e+06,17.718,15.088,43.586
10,2.49033e+06,17.728,15.064,40.2158
11,2.49069e+06,31.169,15.284,43.1723
12,2.49074e+06,30.669,15.053,41.4365
13,2.49106e+06,30.998,15.065,42.3653
14,2.49136e+06,19.744,15.178,43.3467
15,2.49145e+06,30.331,14.701,42.5883
16,2.49154e+06,2.449,14.101,41.0107
17,2.49157e+06,16.39,14.829,41.4649
18,2.49332e+06,20.105,14.79,42.8398
19,2.49435e+06,28.369,15.031,43.4522
20,2.49439e+06,27.194,14.466,42.8398
21,2.49502e+06,35.453,15.337,42.9695
22,2.49543e+06,18.435,14.892,44.2065
23,2.49571e+06,30.752,14.921,40.8201
24,2.49578e+06,27.517,15.138,41.98
25,2.49605e+06,25.073,15.141,44.1943
26,2.49612e+06,33.901,15.278,42.7992
27,2.49778e+06,24.906,14.969,41.3189
28,2.49826e+06,28.288,14.893,42.4707
29,2.49852e+06,19.79,15.173,41.3351
30,2.49868e+06,32.467,15.025,41.7245
31,2.49971e+06,36.462,15.146,44.4255
32,2.49976e+06,20.39,14.538,39.3641
33,2.49988e+06,14.53,14.647,42.3085
34,2.50065e+06,13.964,14.262,40.7349
35,2.50095e+06,15.123,14.551,41.0958
36,2.50146e+06,29.765,14.955,43.7563
37,2.502e+06,26.96,14.724,39.9521
38,2.50233e+06,16.862,14.669,42.9614
39,2.50265e+06,13.734,14.531,39.9886
40,2.50309e+06,30.017,14.795,42.3288
41,2.50372e+06,11.504,14.838,39.5952
42,2.50384e+06,12.042,14.426,43.3832
43,2.50472e+06,16.6,14.527,44.7946
44,2.50481e+06,15.516,14.955,41.7975
45,2.50519e+06,19.224,14.68,39.5141
46,2.50633e+06,28.155,14.981,39.6439
47,2.5068e+06,27.609,15.288,42.4991
48,2.50695e+06,18.516,14.719,40.889
49,2.50698e+06,26.413,14.945,42.6978
50,2.50709e+06,18.588,14.76,39.7859
51,2.50714e+06,28.696,14.688,40.4104
52,2.50746e+06,24.135,14.974,40.1468
53,2.5077e+06,22.145,15.188,43.1155
54,2.50848e+06,23.047,14.714,38.6016
55,2.5089e+06,15.492,14.938,41.8907
56,2.50926e+06,12.449,14.829,41.3351
57,2.50941e+06,23.133,15.178,43.8009
58,2.50959e+06,21.14,14.802,44.5431
59,2.50969e+06,18.426,14.777,44.2998
60,2.50982e+06,16.203,14.388,41.7731
61,2.51031e+06,12.993,14.704,40.8849
62,2.51071e+06,15.572,14.942,44.9325
63,2.51092e+06,23.456,14.712,42.1503
64,2.51106e+06,18.917,15.183,42.4342
65,2.51126e+06,9.604,14.623,43.1804
66,2.5116e+06,29.294,14.996,40.0211
67,2.51187e+06,26.263,14.745,38.1068
68,2.51192e+06,33.538,15.096,43.1358
69,2.51242e+06,29.36,14.984,42.4626
70,2.51248e+06,11.31,14.653,41.6798
71,2.51266e+06,31.674,14.482,41.473
72,2.5134e+06,13.297,14.526,39.8548
73,2.51366e+06,32.55,14.761,45.0623
74,2.51444e+06,29.797,15.425,41.7934
75,2.51553e+06,25.773,15.357,41.9637
76,2.51572e+06,11.686,14.147,40.451
77,2.5175e+06,16.465,14.665,38.5002
78,2.51781e+06,24.36,14.562,39.9521
79,2.51803e+06,17.168,14.472,41.1161
80,2.52077e+06,10.266,14.733,41.9435
81,2.52082e+06,30.146,14.891,41.2134
82,2.52091e+06,20.398,14.907,41.6433
83,2.5212e+06,29.948,14.692,37.8513
84,2.52159e+06,19.745,14.744,41.4325
85,2.52198e+06,23.674,15.658,41.6596
86,2.52212e+06,28.007,14.765,42.6735
87,2.52234e+06,18.247,14.651,44.4174
88,2.52415e+06,12.389,14.31,40.7227
89,2.52481e+06,18.436,14.703,41.0553
90,2.52552e+06,21.462,14.585,41.6231
91,2.52655e+06,16.416,14.508,43.1602
92,2.52673e+06,25.423,15.047,42.5234
93,2.52753e+06,13.418,14.401,39.3844
94,2.52858e+06,12.774,14.461,39.1653
95,2.5292e+06,10.078,14.665,42.6897
96,2.53657e+06,28.062,14.507,42.3531
97,2.53711e+06,28.236,14.764,38.6706
98,2.5378e+06,27.096,14.488,40.8931
99,2.5389e+06,12.857,14.395,40.1468
