id,cost,hd_time,ls_time,diversity
0,1.35267e+06,1.595,4.374,40.4549
1,1.35482e+06,1.857,4.706,39.568
2,1.35576e+06,1.879,4.21,40.1212
3,1.36074e+06,1.907,4.301,39.7348
4,1.36082e+06,1.961,4.764,42.8785
5,1.36139e+06,1.879,4.296,40.9466
6,1.36267e+06,1.861,4.453,40.5866
7,1.36399e+06,1.534,4.417,40.7446
8,1.36408e+06,1.875,4.407,40.5778
9,1.36415e+06,2.051,4.48,41.6754
10,1.36496e+06,1.86,4.193,40.2968
11,1.36554e+06,2.133,4.239,41.0695
12,1.36652e+06,1.843,4.387,42.255
13,1.36672e+06,1.953,4.692,41.333
14,1.36822e+06,1.844,4.435,38.7074
15,1.36862e+06,1.876,4.268,40.7534
16,1.36871e+06,1.576,4.517,41.131
17,1.36895e+06,1.871,4.422,40.8939
18,1.36937e+06,1.879,4.264,38.9621
19,1.36942e+06,2.196,4.355,42.8258
20,1.36959e+06,1.572,4.504,40.7622
21,1.36985e+06,1.877,4.469,40.7973
22,1.37094e+06,1.985,4.602,42.1409
23,1.37126e+06,1.998,4.425,41.0081
24,1.3715e+06,1.914,4.358,39.2167
25,1.37178e+06,1.521,4.516,40.3056
26,1.37182e+06,1.821,4.292,38.4264
27,1.37336e+06,2.125,4.711,44.0288
28,1.37459e+06,2.193,4.517,42.4482
29,1.37472e+06,2.079,4.579,42.6853
30,1.37478e+06,1.874,4.266,41.6579
31,1.37489e+06,1.937,4.327,41.3066
32,1.37502e+06,1.888,4.441,42.334
33,1.37596e+06,2.079,4.724,42.4394
34,1.37596e+06,1.563,4.598,40.0246
35,1.37607e+06,1.826,4.335,40.7622
36,1.37626e+06,2.217,4.531,43.6951
37,1.37629e+06,1.969,4.265,41.7545
38,1.37638e+06,2.212,4.406,44.6171
39,1.37692e+06,1.97,4.78,41.3857
40,1.37717e+06,1.834,4.457,41.7018
41,1.37731e+06,2.75,4.565,43.9322
42,1.37746e+06,1.985,4.344,42.2638
43,1.37767e+06,2.386,4.566,44.3361
44,1.37784e+06,2.311,4.376,43.8971
45,1.37839e+06,2.244,4.938,45.0386
46,1.37869e+06,1.939,4.479,42.2901
47,1.37906e+06,1.903,4.559,41.6579
48,1.37998e+06,2.218,4.899,43.8005
49,1.3806e+06,2.207,4.291,42.3692
50,1.38099e+06,2.75,4.623,43.862
51,1.38105e+06,1.669,4.513,41.6667
52,1.38146e+06,2.266,4.287,43.2912
53,1.38162e+06,2.7,4.346,45.0386
54,1.3823e+06,1.583,4.448,40.3056
55,1.38235e+06,1.884,4.067,42.8785
56,1.38239e+06,1.578,4.551,39.7699
57,1.38266e+06,2.042,4.371,41.7984
58,1.3831e+06,1.862,4.101,41.1837
59,1.38333e+06,2.017,4.224,41.5525
60,1.3837e+06,1.609,4.224,40.4373
61,1.38529e+06,1.98,4.643,42.3955
62,1.38534e+06,1.591,4.267,42.4833
63,1.38586e+06,1.516,4.421,41.5525
64,1.3861e+06,1.849,4.226,42.5711
65,1.3869e+06,2.615,4.307,44.424
66,1.38782e+06,1.893,4.309,40.7973
67,1.38793e+06,2.148,4.172,42.4745
68,1.38827e+06,1.551,4.472,41.2715
69,1.3884e+06,2.153,4.419,44.4064
70,1.3885e+06,1.89,4.391,38.9357
71,1.38901e+06,1.959,4.221,41.3945
72,1.38913e+06,2.395,4.216,43.7741
73,1.39073e+06,2.063,4.562,43.2912
74,1.39092e+06,1.858,4.149,39.006
75,1.39176e+06,2.465,4.49,44.1078
76,1.39253e+06,2.334,4.254,45.1177
77,1.39286e+06,2.475,4.342,44.4503
78,1.39291e+06,1.979,4.439,42.1584
79,1.39474e+06,2.593,4.286,43.7302
80,1.3948e+06,1.916,4.235,41.3769
81,1.396e+06,2.024,4.64,41.2276
82,1.39609e+06,2.2,4.753,40.7183
83,1.39645e+06,1.594,4.238,39.2957
84,1.39697e+06,2.294,4.618,44.6786
85,1.39706e+06,1.867,4.969,41.4208
86,1.39763e+06,1.965,4.716,40.2529
87,1.39901e+06,1.934,4.338,40.1124
88,1.39948e+06,1.546,4.227,41.2979
89,1.39962e+06,1.975,4.275,43.379
90,1.3997e+06,2.271,4.347,43.4932
91,1.40015e+06,2.015,4.268,43.2385
92,1.40023e+06,1.665,4.389,41.4823
93,1.40226e+06,1.555,4.139,40.0509
94,1.40366e+06,2.75,4.375,43.6424
95,1.40402e+06,2.232,4.225,45.3899
96,1.40506e+06,2.042,4.295,41.7896
97,1.40557e+06,1.984,4.552,43.1068
98,1.41601e+06,2.06,4.242,40.8851
99,1.42017e+06,2.355,4.532,43.9234
