id,cost,hd_time,ls_time,diversity
0,2.69972e+06,0.484,1.147,58.5891
1,2.7029e+06,0.454,1.096,50.031
2,2.70874e+06,0.404,1.186,57.4729
3,2.71056e+06,0.407,1.158,56.4961
4,2.71433e+06,0.585,1.157,60.9767
5,2.71455e+06,0.443,1.09,53.0388
6,2.71509e+06,0.498,1.159,56.2326
7,2.71514e+06,0.453,1.158,57.7984
8,2.71615e+06,0.555,1.182,60.4651
9,2.71672e+06,0.526,1.146,56.3566
10,2.71695e+06,0.501,1.116,55.7364
11,2.71752e+06,0.514,1.158,54.4651
12,2.71817e+06,0.497,1.125,56.2326
13,2.71908e+06,0.464,1.046,50.5116
14,2.71985e+06,0.537,1.151,59.8295
15,2.7202e+06,0.548,1.188,58.186
16,2.72195e+06,0.499,1.125,57.3333
17,2.72241e+06,0.433,1.065,56.7597
18,2.72428e+06,0.431,1.127,57.4419
19,2.72441e+06,0.524,1.158,59.2248
20,2.72573e+06,0.469,1.093,50.0775
21,2.72641e+06,0.441,1.062,50.4341
22,2.72692e+06,0.521,1.126,54.9612
23,2.72692e+06,0.521,1.167,59.1008
24,2.72893e+06,0.53,1.195,57.6279
25,2.72915e+06,0.597,1.134,58.7752
26,2.72975e+06,0.517,1.073,56.093
27,2.73056e+06,0.508,1.079,54.8682
28,2.73083e+06,0.488,1.105,57.0233
29,2.73133e+06,0.544,1.141,60.7287
30,2.73161e+06,0.507,1.168,58.2636
31,2.73186e+06,0.545,1.11,54.031
32,2.73195e+06,0.527,1.14,59.4109
33,2.73212e+06,0.514,1.138,58.8372
34,2.73229e+06,0.514,1.157,58.6667
35,2.73229e+06,0.547,1.125,59.5814
36,2.73249e+06,0.063,1.143,57.3488
37,2.73295e+06,0.418,1.125,57.0698
38,2.73352e+06,0.519,1.159,58.8372
39,2.73521e+06,0.452,1.125,54.8682
40,2.73776e+06,0.499,1.209,57.5349
41,2.73892e+06,0.533,1.139,59.6279
42,2.74082e+06,0.626,1.187,61.845
43,2.74114e+06,0.498,1.096,54.6977
44,2.74133e+06,0.513,1.118,57.7054
45,2.7416e+06,0.513,1.127,58.8372
46,2.74191e+06,0.479,1.172,58.062
47,2.74205e+06,0.516,1.204,59.5969
48,2.74228e+06,0.519,1.072,58.3876
49,2.74402e+06,0.506,1.483,57.3798
50,2.74468e+06,0.671,1.162,61.1163
51,2.74485e+06,0.439,1.13,56.1085
52,2.74618e+06,0.425,1.105,57.5039
53,2.74644e+06,0.706,1.147,59.2093
54,2.74647e+06,0.425,1.104,57.7364
55,2.74706e+06,0.436,1.101,58.2326
56,2.74758e+06,0.543,1.115,60.2636
57,2.74777e+06,0.629,1.12,61.7054
58,2.74795e+06,0.547,1.094,58.1705
59,2.74904e+06,0.522,1.11,58.8837
60,2.74906e+06,0.511,1.07,56.2636
61,2.75077e+06,0.563,1.184,60.9457
62,2.75195e+06,0.548,1.127,60.8217
63,2.75236e+06,0.409,1.131,54.6512
64,2.75316e+06,0.519,1.132,59.7829
65,2.75398e+06,0.454,1.039,54.186
66,2.75496e+06,0.562,1.133,61.4729
67,2.75619e+06,0.684,1.115,58.3256
68,2.75665e+06,0.435,1.094,54.5426
69,2.7567e+06,0.501,1.054,54.4806
70,2.75693e+06,0.439,1.139,56.6202
71,2.75759e+06,0.499,1.091,53.6434
72,2.75774e+06,0.517,1.195,59.4419
73,2.75842e+06,0.44,1.06,56.5271
74,2.7592e+06,0.532,1.164,59.0388
75,2.76006e+06,0.493,1.148,57.7984
76,2.76027e+06,0.528,1.093,59.0233
77,2.76159e+06,0.514,1.127,58.7287
78,2.76362e+06,0.5,1.069,56.9302
79,2.76583e+06,0.505,1.1,57.6124
80,2.76848e+06,0.53,1.094,58.2946
81,2.76884e+06,0.538,1.126,60.1395
82,2.77022e+06,0.696,1.138,58.4961
83,2.77137e+06,0.512,1.151,56.9147
84,2.7742e+06,0.591,1.132,61.3333
85,2.77494e+06,0.605,1.148,60.0155
86,2.77515e+06,0.44,1.111,54.9457
87,2.7763e+06,0.631,1.125,59.1163
88,2.77634e+06,0.571,1.109,60.7597
89,2.77637e+06,0.546,1.158,60.9767
90,2.77697e+06,0.525,1.047,54.093
91,2.77826e+06,0.534,1.062,61.1783
92,2.77984e+06,0.435,1.094,54.9767
93,2.78124e+06,0.532,1.095,58.8527
94,2.78377e+06,0.562,1.161,59.7364
95,2.78378e+06,0.53,1.188,59.3333
96,2.7843e+06,0.507,1.111,57.3178
97,2.78628e+06,0.525,1.108,57.8295
98,2.78963e+06,0.622,1.188,62.031
99,2.70486e+06,0.576,1.158,42.4806
100,2.70668e+06,0.576,1.158,42.4341
101,2.70997e+06,0.404,1.186,60.2636
102,2.74134e+06,0.063,1.143,61.7984
103,2.74828e+06,0.513,1.127,60.8527
104,2.74924e+06,0.527,1.14,62.3256
105,2.75326e+06,0.499,1.091,61.6124
106,2.78743e+06,0.525,1.108,61.7054
107,2.7877e+06,0.532,1.095,61.814
