id,cost,hd_time,ls_time,diversity
0,3.4287e+06,16.657,17.734,39.7855
1,3.43926e+06,20.702,18.892,43.5438
2,3.44554e+06,18.263,18.934,42.7817
3,3.45366e+06,13.871,18.076,40.2008
4,3.45408e+06,15.237,19.434,41.4227
5,3.45421e+06,15.507,17.699,40.3581
6,3.45545e+06,15.978,17.801,42.4228
7,3.45703e+06,12.121,17.304,41.584
8,3.45812e+06,16.717,18.607,43.3664
9,3.46118e+06,10.439,17.172,39.9629
10,3.46924e+06,19.665,17.656,40.221
11,3.47049e+06,21.328,18.445,44.5923
12,3.4707e+06,19.52,18.034,43.9915
13,3.47103e+06,21.457,17.092,39.6161
14,3.47122e+06,21.408,17.576,39.475
15,3.4738e+06,18.871,18.127,42.4591
16,3.47412e+06,17.312,17.873,43.443
17,3.47556e+06,23.998,18.158,43.3583
18,3.4771e+06,12.503,17.588,40.7372
19,3.47939e+06,15.197,17.996,40.5033
20,3.47968e+06,20.315,18.247,39.4871
21,3.4799e+06,28.839,18.907,44.1689
22,3.48042e+06,23.781,17.469,40.5154
23,3.4818e+06,18.313,17.979,42.9027
24,3.48289e+06,24.609,18.361,45.2295
25,3.48348e+06,17.157,18.444,43.9794
26,3.48398e+06,20.192,18.424,44.0519
27,3.48399e+06,24.335,17.896,42.3099
28,3.48407e+06,18.48,17.94,40.721
29,3.48492e+06,18.173,17.912,42.4833
30,3.48545e+06,16.753,17.679,44.0116
31,3.48623e+06,16.783,18.078,42.6607
32,3.48627e+06,15.643,17.653,42.5397
33,3.48777e+06,18.579,18.004,43.5963
34,3.48826e+06,18.073,18.262,42.6809
35,3.49043e+06,20.046,18.455,43.7172
36,3.49112e+06,29.313,18.804,44.7173
37,3.49223e+06,15,17.625,44.56
38,3.4923e+06,24.391,18.38,41.092
39,3.49305e+06,29.197,18.266,43.5398
40,3.49319e+06,18.546,18.098,42.9107
41,3.49344e+06,19.058,18.133,41.4267
42,3.49379e+06,18.547,18.829,44.1971
43,3.49423e+06,23.516,17.732,43.072
44,3.4943e+06,14.113,18.652,44.2778
45,3.4951e+06,9.879,17.811,40.596
46,3.49523e+06,17.879,17.934,42.3986
47,3.49584e+06,19.823,17.205,41.8421
48,3.49585e+06,17.498,18.256,44.4996
49,3.49707e+06,26.079,17.788,43.0559
50,3.49799e+06,16.184,17.47,41.951
51,3.49822e+06,20.73,18.221,42.0881
52,3.49999e+06,17.622,18.144,44.5358
53,3.50063e+06,16.21,17.688,39.2814
54,3.50117e+06,15.528,17.893,42.5599
55,3.50144e+06,18.007,18.016,42.33
56,3.50172e+06,17.306,18.953,42.1768
57,3.50218e+06,16.903,18.052,44.7052
58,3.5025e+06,30.657,18.539,43.8221
59,3.5027e+06,16.471,17.818,43.689
60,3.50373e+06,20.405,17.949,42.0397
61,3.50529e+06,24.088,18.05,43.7656
62,3.50634e+06,22.46,17.656,42.4268
63,3.50748e+06,14.313,18.004,41.5921
64,3.50803e+06,11,17.019,40.5557
65,3.50853e+06,28.391,18.051,43.6245
66,3.50881e+06,15.798,17.879,41.209
67,3.5094e+06,19.371,18.625,44.4189
68,3.51059e+06,23.759,17.491,40.6283
69,3.51138e+06,26.834,18.517,45.1004
70,3.51142e+06,22.177,17.454,39.3016
71,3.51208e+06,21.877,18.621,43.3624
72,3.514e+06,13.468,17.001,41.7534
73,3.51595e+06,19.559,17.657,41.6767
74,3.51682e+06,17.664,17.477,43.8866
75,3.51825e+06,27.529,18.216,43.193
76,3.51899e+06,16.141,17.442,41.0073
77,3.52085e+06,18.105,17.611,43.0841
78,3.52203e+06,20.423,18.345,44.2011
79,3.52339e+06,25.54,18.226,43.6326
80,3.52479e+06,18.402,17.413,43.0882
81,3.52619e+06,22.446,17.876,39.3096
82,3.52627e+06,24.838,18.278,43.4067
83,3.53051e+06,17.53,17.765,43.7334
84,3.53251e+06,9.36,17.823,41.3138
85,3.53576e+06,22.222,17.831,40.721
86,3.53788e+06,19.43,17.979,43.7818
87,3.53945e+06,14.868,17.549,44.5883
88,3.53996e+06,10.373,16.829,40.7533
89,3.54366e+06,29.845,17.786,45.415
90,3.54867e+06,22.829,18.384,44.6851
91,3.54956e+06,27.832,18.106,45.5037
92,3.55096e+06,14.578,17.453,41.2735
93,3.55118e+06,18.343,17.777,42.9591
94,3.55572e+06,25.336,18.8,43.9027
95,3.55641e+06,21.962,17.982,43.7293
96,3.55963e+06,15.893,17.467,42.3341
97,3.56009e+06,18.042,17.593,44.7375
98,3.56126e+06,21.246,17.876,41.0114
