id,cost,hd_time,ls_time,diversity
0,3.25293e+06,20.844,15.625,46.7677
1,3.25745e+06,17.487,15.7,47.6379
2,3.25946e+06,14.847,15.566,44.4289
3,3.25964e+06,14.31,15.637,45.3613
4,3.26054e+06,19.726,15.677,47.9681
5,3.26139e+06,18.252,15.611,47.8244
6,3.26267e+06,19.19,15.731,47.2339
7,3.263e+06,19.68,15.441,47.1173
8,3.26461e+06,11.534,15.504,43.31
9,3.26566e+06,19.947,15.647,46.9347
10,3.26684e+06,19.996,15.554,47.7622
11,3.26755e+06,18.182,15.659,46.5113
12,3.26765e+06,20.674,15.523,46.7988
13,3.27172e+06,14.766,15.829,45.5711
14,3.27215e+06,14.03,15.354,45.6993
15,3.27233e+06,20.376,15.654,47.3582
16,3.27251e+06,15.442,15.58,45.2991
17,3.27257e+06,18.89,15.702,45.575
18,3.27284e+06,18.063,15.725,47.2611
19,3.27354e+06,20.127,15.435,47.1212
20,3.27363e+06,20.415,15.515,47.2922
21,3.27408e+06,1.329,15.268,46.5851
22,3.27422e+06,16.831,15.534,47.0085
23,3.27457e+06,13.766,15.541,43.7879
24,3.27505e+06,18.578,15.625,47.4204
25,3.27569e+06,12.931,15.75,45.8508
26,3.27612e+06,20.076,16.024,46.453
27,3.2762e+06,17.372,15.495,46.4025
28,3.27629e+06,19.72,15.489,47.8749
29,3.2771e+06,13.531,15.564,45.7925
30,3.27753e+06,15.338,15.407,43.582
31,3.27756e+06,17.658,15.779,48.0925
32,3.27763e+06,19.305,15.407,46.9192
33,3.27803e+06,15.547,15.583,46.5074
34,3.27866e+06,14.886,15.778,45.1243
35,3.2789e+06,14.829,15.72,43.6636
36,3.27912e+06,17.373,15.82,47.0241
37,3.27949e+06,19.246,15.554,47.4009
38,3.27991e+06,16.69,15.622,45.1166
39,3.27991e+06,18.015,15.844,45.8081
40,3.28043e+06,19.289,15.569,46.4336
41,3.28068e+06,20.693,15.683,47.9798
42,3.2812e+06,17.368,15.615,48.1197
43,3.2823e+06,16.215,15.427,41.589
44,3.28251e+06,20.639,17.392,47.2455
45,3.28297e+06,15.439,15.745,48.1469
46,3.28319e+06,16.126,15.667,45.979
47,3.28331e+06,17.311,15.51,46.8182
48,3.28341e+06,19.543,15.351,47.0513
49,3.28355e+06,14.429,15.458,44.7708
50,3.28372e+06,14.429,15.535,45.6371
51,3.28419e+06,16.123,15.939,45.6799
52,3.28449e+06,15.043,15.317,45.5828
53,3.28544e+06,19.954,15.259,45.9441
54,3.28588e+06,19.196,15.397,44.6193
55,3.28614e+06,13.033,15.608,44.6348
56,3.28698e+06,11.089,15.486,42.568
57,3.2877e+06,14.126,15.501,43.7723
58,3.28783e+06,11.4,15.471,43.0575
59,3.28798e+06,19.376,15.492,47.3116
60,3.28849e+06,19.933,15.406,45.439
61,3.28933e+06,13.093,15.708,45.575
62,3.28993e+06,15.559,15.698,46.0334
63,3.29062e+06,12.744,15.313,43.0575
64,3.29123e+06,14.366,15.395,43.648
65,3.29131e+06,16.666,15.407,46.6939
66,3.29154e+06,19.898,15.58,49.1647
67,3.2924e+06,15.035,15.48,41.0878
68,3.29249e+06,15.481,15.323,41.6511
69,3.2925e+06,10.587,15.279,43.31
70,3.29254e+06,17.056,15.551,46.418
71,3.29265e+06,13.089,15.445,41.7716
72,3.2934e+06,17.513,15.514,46.2743
73,3.29367e+06,16.326,15.768,45.7071
74,3.29384e+06,13.57,15.308,44.9184
75,3.29386e+06,11.673,15.107,42.7972
76,3.29441e+06,11.682,15.451,42.8788
77,3.29486e+06,18.676,15.281,46.0101
78,3.29529e+06,12.999,15.672,45.6138
79,3.2955e+06,17.065,15.638,46.216
80,3.2959e+06,18.679,15.386,45.3497
81,3.29703e+06,16.055,15.585,41.0723
82,3.29974e+06,16.562,15.398,46.8104
83,3.29984e+06,18.545,15.662,47.4242
84,3.29994e+06,10.832,15.366,42.77
85,3.29997e+06,18.828,15.538,47.6612
86,3.3007e+06,17.966,15.457,46.5579
87,3.30109e+06,10.644,15.099,43.3605
88,3.30405e+06,16.832,24.366,46.352
89,3.30503e+06,14.492,15.412,46.0179
90,3.30533e+06,14.934,15.303,44.0132
91,3.30683e+06,10.448,15.184,41.9153
92,3.30701e+06,12.686,15.407,44.8951
93,3.30864e+06,17.533,15.341,47.3038
94,3.31138e+06,15.062,15.672,47.2999
95,3.31269e+06,15.232,15.53,45.8547
96,3.31271e+06,14.021,15.347,43.9938
97,3.31679e+06,15.535,15.534,41.6006
98,3.31866e+06,18.302,15.336,47.0707
99,3.32104e+06,12.792,15.006,43.2284
