id,cost,hd_time,ls_time,diversity
0,1.34971e+06,1.864,4.705,42.6063
1,1.35544e+06,2.584,4.79,47.032
2,1.35756e+06,1.855,4.53,43.1595
3,1.36031e+06,2.109,5.029,46.4085
4,1.36243e+06,1.812,4.499,40.3671
5,1.3637e+06,1.828,4.516,42.6765
6,1.36493e+06,1.835,4.56,44.4415
7,1.36613e+06,2.042,4.753,45.627
8,1.36882e+06,2.057,4.861,46.1275
9,1.36945e+06,2.016,4.683,46.7597
10,1.37143e+06,2.31,4.707,46.1978
11,1.37151e+06,2.328,4.562,46.7685
12,1.37203e+06,2.396,4.796,47.6203
13,1.3724e+06,2.39,4.473,46.1187
14,1.37255e+06,1.88,4.567,42.6765
15,1.37256e+06,1.731,4.506,45.8465
16,1.37257e+06,1.691,4.607,46.6456
17,1.37332e+06,2.709,4.785,46.628
18,1.37548e+06,2.022,4.428,45.065
19,1.37573e+06,2.029,4.68,46.0748
20,1.37597e+06,1.59,4.448,39.2518
21,1.37645e+06,1.876,4.467,42.7731
22,1.37736e+06,2.093,4.478,45.8114
23,1.37784e+06,1.907,4.469,46.0309
24,1.37807e+06,1.752,4.674,47.0583
25,1.37843e+06,2.352,4.541,47.5325
26,1.37872e+06,1.939,4.587,45.6884
27,1.37931e+06,1.845,4.594,42.6414
28,1.3794e+06,2.034,4.714,46.0573
29,1.3794e+06,2.154,4.751,46.6017
30,1.38025e+06,1.846,4.592,43.3175
31,1.38086e+06,2.364,4.793,46.6192
32,1.3811e+06,2.015,5.079,47.2427
33,1.38116e+06,1.853,4.58,42.7731
34,1.38174e+06,1.568,4.26,40.5778
35,1.38178e+06,1.875,4.672,42.9136
36,1.38191e+06,0.161,4.44,38.0927
37,1.38194e+06,2.101,4.453,46.1012
38,1.38226e+06,2.042,4.783,45.2494
39,1.38278e+06,2.356,4.717,47.2691
40,1.3829e+06,0.149,4.064,37.5834
41,1.38302e+06,1.571,4.363,39.647
42,1.38306e+06,2.504,4.528,45.6094
43,1.38314e+06,1.562,4.811,41.4823
44,1.38336e+06,2.19,4.78,45.2582
45,1.38398e+06,1.914,4.593,45.9519
46,1.3842e+06,1.819,4.351,42.6765
47,1.38454e+06,2.118,4.606,47.0144
48,1.38499e+06,2.053,4.625,45.7323
49,1.38549e+06,1.701,5.075,47.0407
50,1.38581e+06,1.884,4.441,40.85
51,1.38604e+06,2.156,4.358,44.8015
52,1.38649e+06,2.158,4.485,46.2592
53,1.38791e+06,1.849,4.314,43.2122
54,1.38809e+06,1.985,4.565,46.8739
55,1.38829e+06,1.513,4.528,40.2529
56,1.38837e+06,1.987,4.773,45.8377
57,1.38839e+06,2.421,4.558,46.2065
58,1.38845e+06,1.954,4.41,45.7587
59,1.38894e+06,1.971,4.483,45.7938
60,1.389e+06,1.858,4.66,40.8939
61,1.3894e+06,1.508,4.574,40.007
62,1.38985e+06,2.305,4.5,45.6972
63,1.38986e+06,2.071,4.565,47.3393
64,1.39004e+06,2.15,4.502,47.4535
65,1.39069e+06,2.639,4.508,47.7871
66,1.39106e+06,0.192,4,36.8985
67,1.39164e+06,1.686,4.56,45.9343
68,1.39192e+06,2.369,4.422,45.7323
69,1.392e+06,2.389,4.667,48.2965
70,1.39221e+06,1.569,4.623,39.7348
71,1.3923e+06,1.995,4.657,45.9782
72,1.39256e+06,2.675,4.359,48.2086
73,1.39256e+06,2.163,4.466,46.6456
74,1.39299e+06,2.517,4.486,47.19
75,1.39311e+06,2.298,4.553,45.8465
76,1.39353e+06,1.868,4.453,42.0969
77,1.39599e+06,1.809,4.227,43.8093
78,1.39606e+06,1.568,4.638,39.3748
79,1.39694e+06,2.09,4.433,45.6182
80,1.39846e+06,1.555,4.009,41.7281
81,1.39961e+06,2.272,4.337,45.627
82,1.40036e+06,1.58,4.658,39.5328
83,1.40049e+06,1.858,4.283,40.6656
84,1.40087e+06,1.549,4.448,39.4889
85,1.40106e+06,0.188,4.203,37.522
86,1.40189e+06,1.586,4.414,39.3748
87,1.40214e+06,2.46,4.508,45.3635
88,1.40254e+06,1.813,4.255,42.9224
89,1.40273e+06,1.595,4.602,46.8476
90,1.40489e+06,2.209,4.485,45.4865
91,1.40623e+06,1.589,4.43,39.9895
92,1.40629e+06,1.566,4.062,38.2332
93,1.40681e+06,2.219,4.578,46.189
94,1.40847e+06,1.524,3.98,40.0597
95,1.40862e+06,1.595,4.249,40.1826
96,1.41007e+06,1.559,4.16,39.2343
97,1.41274e+06,1.571,4.186,40.7095
98,1.42714e+06,1.86,4.547,44.8542
99,1.43229e+06,1.537,4.056,40.3583
