id,cost,hd_time,ls_time,diversity
0,2.75448e+06,0,3.309,77.4574
1,2.7745e+06,0,3.282,77.7054
2,2.78955e+06,0,3.213,78.5116
3,2.79184e+06,0,3.328,78.124
4,2.79427e+06,0,3.184,78.8372
5,2.79651e+06,0,3.281,78.4961
6,2.79906e+06,0,3.183,78.2791
7,2.79991e+06,0,3.19,78.4496
8,2.80138e+06,0,3.404,77.4574
9,2.80334e+06,0,3.127,78.4186
10,2.80397e+06,0,3.203,78.8372
11,2.8065e+06,0,3.515,78.1705
12,2.81156e+06,0,3.325,78.0465
13,2.81209e+06,0,3.362,79.0853
14,2.81436e+06,0,3.266,78.093
15,2.81519e+06,0,3.329,78.3566
16,2.81633e+06,0,3.34,77.4729
17,2.821e+06,0,3.094,78.4806
18,2.82176e+06,0,3.171,78.8682
19,2.82178e+06,0,3.221,78.186
20,2.82208e+06,0,3.122,78.3256
21,2.82346e+06,0,3.174,78.031
22,2.82579e+06,0,3.178,79.4264
23,2.82682e+06,0,3.101,78.1705
24,2.8284e+06,0,3.157,78.8527
25,2.83137e+06,0,3.184,78.5581
26,2.83307e+06,0,3.202,79.7674
27,2.83369e+06,0,3.148,78.5891
28,2.83452e+06,0,3.2,78.1085
29,2.8354e+06,0,3.252,78.6977
30,2.83594e+06,0,3.085,78.062
31,2.83598e+06,0,3.246,78.6977
32,2.83726e+06,0,3.207,79.1008
33,2.83774e+06,0,3.26,78.093
34,2.83791e+06,0,3.143,79.0698
35,2.83799e+06,0,3.108,78.9147
36,2.83838e+06,0,3.107,78.1705
37,2.83891e+06,0,3.282,78.4341
38,2.83916e+06,0,3.28,77.8605
39,2.83939e+06,0,3.216,78.2326
40,2.84003e+06,0,3.163,78.5426
41,2.84099e+06,0,3.311,78.124
42,2.84128e+06,0,3.312,78.6047
43,2.84267e+06,0,3.189,77.7829
44,2.84512e+06,0,3.235,79.4264
45,2.84594e+06,0,3.172,77.6589
46,2.84661e+06,0,3.134,78.7132
47,2.84707e+06,0,3.301,77.9845
48,2.84875e+06,0,3.132,78.4031
49,2.84883e+06,0,3.159,78.4496
50,2.84963e+06,0,3.317,78.9767
51,2.84974e+06,0,3.172,79.0543
52,2.85001e+06,0,3.14,78.6977
53,2.85147e+06,0,3.423,78.2326
54,2.85254e+06,0,3.188,79.0078
55,2.85277e+06,0,3.176,79.0388
56,2.85288e+06,0,3.125,78.5736
57,2.85417e+06,0,3.301,78.6047
58,2.85442e+06,0,3.219,78.8062
59,2.85523e+06,0,3.125,79.0388
60,2.85698e+06,0,3.214,78.4651
61,2.85757e+06,0,3.185,79.6124
62,2.85827e+06,0,3.155,79.1008
63,2.85922e+06,0,3.188,78.8372
64,2.85924e+06,0,3.211,78.4806
65,2.86002e+06,0,3.203,78.0775
66,2.86054e+06,0,3.131,78.6512
67,2.86221e+06,0,3.22,78.6512
68,2.86413e+06,0,3.203,79.0388
69,2.86431e+06,0,3.284,78.3566
70,2.86643e+06,0,3.205,78.1705
71,2.86772e+06,0,3.149,78.6822
72,2.87035e+06,0,3.16,78.6512
73,2.87065e+06,0,3.109,78.2636
74,2.87118e+06,0,3.131,78.7597
75,2.87132e+06,0,3.178,77.845
76,2.87186e+06,0,3.235,78.186
77,2.87288e+06,0,3.234,78.4806
78,2.87312e+06,0,3.248,78.2946
79,2.87349e+06,0,3.121,79.0233
80,2.87411e+06,0,3.117,78.3256
81,2.87432e+06,0,3.218,78.8062
82,2.87611e+06,0,3.118,79.7829
83,2.87861e+06,0,3.181,77.907
84,2.87984e+06,0,3.231,78.4031
85,2.88046e+06,0,3.2,78.8217
86,2.88428e+06,0,3.176,78.6977
87,2.88689e+06,0,3.16,78.0155
88,2.88735e+06,0,3.188,79.5194
89,2.88993e+06,0,3.14,79.0388
90,2.89353e+06,0,3.094,78.1085
91,2.89966e+06,0,3.204,78.8837
92,2.90045e+06,0,3.225,78.6977
93,2.90106e+06,0,3.214,79.0698
94,2.90414e+06,0,3.148,79.0388
95,2.90859e+06,0,3.203,79.2558
96,2.91055e+06,0,3.182,77.7364
97,2.9155e+06,0,3.189,79.2248
98,2.91764e+06,0,3.279,78.2946
99,2.93209e+06,0,3.227,78.4496
