id,cost,hd_time,ls_time,diversity
0,1.93132e+06,0,0.631,91.1093
1,1.93755e+06,0,0.621,91.7148
2,1.94185e+06,0,0.608,91.3845
3,1.94741e+06,0,0.631,91.8525
4,1.94799e+06,0,0.602,91.6873
5,1.94893e+06,0,0.624,91.357
6,1.95001e+06,0,0.605,91.7974
7,1.95218e+06,0,0.623,91.2744
8,1.95307e+06,0,0.63,90.9441
9,1.9583e+06,0,0.614,90.6138
10,1.95835e+06,0,0.666,91.6873
11,1.95993e+06,0,0.656,91.7148
12,1.9603e+06,0,0.597,91.9075
13,1.96044e+06,0,0.597,91.6873
14,1.96175e+06,0,0.577,92.0451
15,1.96211e+06,0,0.599,92.5681
16,1.96376e+06,0,0.607,90.9441
17,1.96421e+06,0,0.585,92.1002
18,1.96427e+06,0,0.635,91.6323
19,1.96551e+06,0,0.63,91.935
20,1.96561e+06,0,0.612,92.458
21,1.9671e+06,0,0.595,92.2103
22,1.96781e+06,0,0.6,91.8249
23,1.97071e+06,0,0.604,91.7974
24,1.97081e+06,0,0.594,91.935
25,1.9709e+06,0,0.651,91.2469
26,1.97198e+06,0,0.642,91.6598
27,1.97283e+06,0,0.604,91.7424
28,1.9729e+06,0,0.608,92.0176
29,1.97318e+06,0,0.565,92.5131
30,1.97512e+06,0,0.586,91.6047
31,1.9752e+06,0,0.615,91.4671
32,1.97538e+06,0,0.612,92.3204
33,1.97618e+06,0,0.596,91.8525
34,1.97717e+06,0,0.595,92.3754
35,1.97743e+06,0,0.653,92.2378
36,1.97787e+06,0,0.601,92.3479
37,1.97838e+06,0,0.599,91.9075
38,1.97842e+06,0,0.61,91.935
39,1.97887e+06,0,0.599,91.9075
40,1.97896e+06,0,0.596,92.1552
41,1.97977e+06,0,0.61,91.6047
42,1.97978e+06,0,0.569,92.0451
43,1.97987e+06,0,0.615,91.9626
44,1.97988e+06,0,0.644,91.935
45,1.9799e+06,0,0.595,91.8525
46,1.98076e+06,0,0.575,92.5406
47,1.98153e+06,0,0.588,91.8249
48,1.98232e+06,0,0.596,92.0727
49,1.98275e+06,0,0.612,91.9901
50,1.98366e+06,0,0.594,91.9626
51,1.98644e+06,0,0.595,92.2929
52,1.98675e+06,0,0.61,91.4121
53,1.98751e+06,0,0.625,91.7974
54,1.988e+06,0,0.597,92.2103
55,1.98906e+06,0,0.592,91.7699
56,1.98922e+06,0,0.602,91.6873
57,1.99013e+06,0,0.595,91.88
58,1.99069e+06,0,0.556,92.0451
59,1.99075e+06,0,0.58,92.7608
60,1.99133e+06,0,0.591,91.8525
61,1.99141e+06,0,0.576,92.458
62,1.99419e+06,0,0.608,91.9075
63,1.99497e+06,0,0.585,91.4946
64,1.99636e+06,0,0.626,92.2378
65,1.99664e+06,0,0.601,92.6232
66,1.99795e+06,0,0.585,92.7608
67,1.99951e+06,0,0.587,92.6507
68,2.00098e+06,0,0.595,92.5406
69,2.0016e+06,0,0.566,92.0451
70,2.00162e+06,0,0.61,91.7974
71,2.00213e+06,0,0.626,92.1552
72,2.00216e+06,0,0.583,91.5222
73,2.00233e+06,0,0.59,91.9626
74,2.00264e+06,0,0.539,92.6507
75,2.00283e+06,0,0.57,91.7148
76,2.00343e+06,0,0.562,92.5131
77,2.00404e+06,0,0.621,91.6323
78,2.00415e+06,0,0.677,91.6323
79,2.00718e+06,0,0.552,91.5772
80,2.00732e+06,0,0.571,91.935
81,2.00851e+06,0,0.618,91.7699
82,2.00947e+06,0,0.617,92.7058
83,2.00986e+06,0,0.577,92.0176
84,2.01007e+06,0,0.595,91.5497
85,2.01337e+06,0,0.564,92.3754
86,2.01352e+06,0,0.573,92.4855
87,2.01486e+06,0,0.603,91.6047
88,2.01558e+06,0,0.594,91.5772
89,2.01621e+06,0,0.569,91.8249
90,2.01701e+06,0,0.582,92.1552
91,2.01717e+06,0,0.609,91.6323
92,2.0172e+06,0,0.609,91.6323
93,2.0224e+06,0,0.598,92.2653
94,2.02258e+06,0,0.616,91.935
95,2.02661e+06,0,0.606,92.403
96,2.02862e+06,0,0.559,92.1277
97,2.0383e+06,0,0.62,91.9626
98,2.04838e+06,0,0.62,91.8525
99,1.9586e+06,0,0.602,93.1186
100,1.97436e+06,0,0.605,93.4489
101,1.97578e+06,0,0.604,92.926
102,1.98664e+06,0,0.612,92.5131
103,1.99079e+06,0,0.56,63.4187
104,1.99486e+06,0,0.56,63.3636
105,1.99539e+06,0,0.585,93.1186
106,2.00631e+06,0,0.592,93.559
