id,cost,hd_time,ls_time,diversity
0,3.29049e+06,1.59503e-314,48.272,65.942
1,3.29757e+06,0,46.579,66.1746
2,3.29931e+06,0,45.146,65.5256
3,3.31776e+06,0,45.944,65.9312
4,3.32422e+06,0,48.286,66.1421
5,3.32589e+06,0,46.899,65.2607
6,3.32644e+06,0,46.659,66.6559
7,3.32798e+06,0,47.309,66.4936
8,3.33689e+06,0,46.835,65.4499
9,3.33742e+06,0,45.431,66.4774
10,3.34277e+06,0,47.122,65.385
11,3.34368e+06,0,48.217,65.5905
12,3.35069e+06,0,46.454,65.769
13,3.35094e+06,0,47.371,65.3147
14,3.35114e+06,0,45.374,66.1962
15,3.35261e+06,0,46.531,65.4067
16,3.35533e+06,0,46.626,65.6067
17,3.35829e+06,0,46.772,65.9853
18,3.36373e+06,0,44.878,65.3255
19,3.36504e+06,0,47.359,65.5905
20,3.36542e+06,0,46.901,66.1421
21,3.36717e+06,0,47.515,65.2012
22,3.36724e+06,0,45.803,65.2066
23,3.36863e+06,0,46.326,66.3368
24,3.36901e+06,0,47.97,66.2719
25,3.36921e+06,0,47.427,65.5202
26,3.37267e+06,0,45.39,65.888
27,3.37381e+06,0,46.565,65.6554
28,3.37449e+06,0,46.352,65.8717
29,3.37644e+06,0,47.545,64.9903
30,3.37697e+06,0,46.044,65.8825
31,3.38007e+06,0,46.023,66.3206
32,3.38101e+06,0,46.311,65.3958
33,3.38147e+06,0,46.215,65.7798
34,3.38192e+06,0,46.361,65.5364
35,3.38211e+06,0,45.214,65.6608
36,3.38238e+06,0,46.793,65.7744
37,3.38273e+06,1.59738e-314,45.732,66.0177
38,3.38321e+06,0,44.955,65.888
39,3.38354e+06,0,46.232,65.8825
40,3.38406e+06,0,46.161,66.1908
41,3.3846e+06,0,46.289,65.6987
42,3.38843e+06,0,43.989,66.3801
43,3.39009e+06,0,46.216,65.4229
44,3.39024e+06,0,46.281,66.0989
45,3.3915e+06,0,45.239,66.0718
46,3.39224e+06,0,45.761,67.1263
47,3.39234e+06,0,45.76,66.4341
48,3.39333e+06,0,47.774,65.9312
49,3.39385e+06,0,46.452,65.8285
50,3.39508e+06,0,45.287,66.9154
51,3.39554e+06,0,46.891,65.915
52,3.39738e+06,0,45.936,65.239
53,3.3981e+06,0,45.935,66.3098
54,3.39812e+06,0,46.418,65.8447
55,3.39983e+06,0,47.106,65.7095
56,3.40015e+06,0,44.616,65.5202
57,3.40101e+06,0,45.656,65.6879
58,3.40487e+06,0,47.134,66.7153
59,3.40563e+06,0,46.843,66.2449
60,3.40735e+06,0,45.139,65.8501
61,3.40961e+06,0,45.987,66.0123
62,3.40984e+06,0,46.09,64.9957
63,3.41033e+06,0,46.295,65.0714
64,3.41118e+06,0,46.49,65.8177
65,3.41192e+06,0,47.139,65.7474
66,3.41193e+06,0,44.929,66.034
67,3.41264e+06,0,48.265,66.034
68,3.41314e+06,0,45.539,66.9262
69,3.41368e+06,0,45.444,66.1529
70,3.41658e+06,0,46.15,65.5635
71,3.41673e+06,0,46.794,66.6396
72,3.41678e+06,0,45.152,67.2777
73,3.4178e+06,0,46.466,65.4067
74,3.41891e+06,0,45.609,66.0718
75,3.42075e+06,0,45.484,65.7852
76,3.42294e+06,0,44.609,65.2228
77,3.42471e+06,0,46.203,65.212
78,3.42738e+06,0,45.431,66.4504
79,3.43078e+06,0,46.701,66.034
80,3.43347e+06,0,46.176,66.7099
81,3.43483e+06,0,45.86,66.061
82,3.43666e+06,0,44.856,65.8177
83,3.43745e+06,0,46.079,66.353
84,3.43958e+06,1.59723e-314,45.876,66.2989
85,3.44623e+06,0,46.123,66.4612
86,3.45042e+06,0,45.906,66.6018
87,3.45106e+06,0,45.493,65.3472
88,3.4595e+06,0,44.998,66.9262
89,3.46023e+06,0,44.457,66.1097
90,3.46266e+06,0,44.964,66.591
91,3.46826e+06,0,46.219,66.3801
92,3.46915e+06,0,46.981,65.8285
93,3.47051e+06,0,46.821,66.6342
94,3.47403e+06,0,45.653,66.234
95,3.47416e+06,0,46.34,66.9154
96,3.47513e+06,0,45.866,65.331
97,3.52121e+06,0,45.89,66.883
98,3.52433e+06,0,45.171,65.3904
99,3.58058e+06,0,44.895,66.9533
