id,cost,hd_time,ls_time,diversity
0,2.52254e+06,0,44.8,71.0589
1,2.5248e+06,0,43.793,71.866
2,2.52819e+06,0,43.847,71.5497
3,2.53079e+06,0,45.125,71.2171
4,2.541e+06,0,44.596,72.5027
5,2.54114e+06,0,44.155,71.4077
6,2.54156e+06,0,43.183,72.4581
7,2.55322e+06,0,44.251,71.7565
8,2.55369e+06,0,44.522,71.7281
9,2.55746e+06,0,44.044,72.1134
10,2.55758e+06,0,43.516,71.7322
11,2.55765e+06,0,44.53,72.3527
12,2.56059e+06,0,44.167,71.9228
13,2.56236e+06,0,43.683,72.1905
14,2.56516e+06,0,44.692,72.1377
15,2.56748e+06,3.60361e-314,43.688,72.9002
16,2.56868e+06,0,43.782,71.4767
17,2.56896e+06,0,44.72,71.7159
18,2.56944e+06,0,43.633,71.6064
19,2.57001e+06,0,44.429,71.72
20,2.57125e+06,0,44.236,72.1256
21,2.57244e+06,0,43.825,71.6876
22,2.57322e+06,0,44.561,71.8619
23,2.57397e+06,0,45.217,71.5821
24,2.57451e+06,0,44.828,71.3266
25,2.57632e+06,0,44.156,71.4483
26,2.5764e+06,0,45.065,71.8133
27,2.57686e+06,0,44.095,72.2959
28,2.57702e+06,0,42.923,71.8011
29,2.5772e+06,0,43.92,72.2107
30,2.57936e+06,0,44.284,72.012
31,2.57936e+06,0,43.315,72.4013
32,2.58028e+06,0,43.443,72.3
33,2.58148e+06,0,43.04,71.3753
34,2.58191e+06,0,43.232,71.3104
35,2.58207e+06,0,43.153,71.9958
36,2.58419e+06,0,44.567,72.1783
37,2.58521e+06,0,45.33,71.9836
38,2.58614e+06,3.6017e-314,43.794,71.4564
39,2.5866e+06,0,45.812,71.9917
40,2.58662e+06,0,44.539,72.2553
41,2.58669e+06,0,44.233,71.6551
42,2.58749e+06,0,43.921,71.428
43,2.58887e+06,0,43.786,71.1319
44,2.58952e+06,0,44.092,71.0833
45,2.59045e+06,0,44.485,71.9552
46,2.59122e+06,0,44.028,71.5132
47,2.59125e+06,0,43.23,71.8984
48,2.59153e+06,3.60361e-314,44.343,71.9431
49,2.59166e+06,0,43.889,72.3527
50,2.59288e+06,0,43.634,72.0282
51,2.59304e+06,0,45.421,71.7119
52,2.59389e+06,0,44.128,71.4929
53,2.59436e+06,0,44.6,72.0161
54,2.59627e+06,0,43.863,71.7078
55,2.59628e+06,0,44.57,72.2594
56,2.59694e+06,0,44.648,72.1418
57,2.59723e+06,0,44.544,71.9674
58,2.59819e+06,0,44.362,72.2837
59,2.59864e+06,0,43.664,71.8254
60,2.59866e+06,0,43.611,71.5943
61,2.59963e+06,0,43.951,71.3712
62,2.60038e+06,0,44.129,72.1337
63,2.60062e+06,0,43.911,71.8254
64,2.60095e+06,0,44.842,72.154
65,2.60097e+06,0,44.589,71.6389
66,2.60223e+06,0,43.537,71.8984
67,2.60354e+06,0,44.488,71.9998
68,2.60373e+06,0,45.24,71.2982
69,2.60508e+06,0,43.253,72.3324
70,2.60564e+06,0,43.391,71.9349
71,2.60642e+06,0,43.36,72.3324
72,2.60681e+06,0,44.281,72.0607
73,2.60743e+06,0,44.203,72.081
74,2.60768e+06,0,43.583,71.505
75,2.60779e+06,0,44.194,72.081
76,2.60802e+06,0,44.219,72.1742
77,2.6082e+06,0,44.772,72.1418
78,2.61063e+06,0,43.014,72.1742
79,2.61069e+06,0,44.19,71.8782
80,2.61369e+06,0,43.404,72.6041
81,2.61664e+06,0,43.45,72.2675
82,2.61861e+06,0,43.93,72.2797
83,2.61989e+06,0,45.149,72.231
84,2.62067e+06,0,43.637,71.9917
85,2.62235e+06,0,43.05,72.5595
86,2.62266e+06,0,43.108,72.085
87,2.62303e+06,0,44.393,71.7768
88,2.62699e+06,0,42.786,72.231
89,2.62862e+06,0,43.267,71.5497
90,2.63115e+06,0,44.119,72.3162
91,2.63572e+06,0,44.605,72.373
92,2.63671e+06,0,43.845,72.7177
93,2.64255e+06,0,43.734,71.9147
94,2.64457e+06,0,43.473,72.1621
95,2.64755e+06,0,43.16,72.5433
96,2.64759e+06,0,43.333,71.9674
97,2.65209e+06,0,43.301,72.012
98,2.6576e+06,0,43.794,71.9431
99,2.65852e+06,0,43.542,71.6429
