id,cost,hd_time,ls_time,diversity
0,2.69976e+06,0.547,1.203,58.9922
1,2.70227e+06,0.527,1.218,58.186
2,2.70335e+06,0.454,1.165,55.7674
3,2.70677e+06,0.532,1.231,56.4651
4,2.71017e+06,0.528,1.207,56.3411
5,2.71102e+06,0.571,1.179,58.6357
6,2.712e+06,0.604,1.161,58.155
7,2.71398e+06,0.552,1.042,56.8682
8,2.71424e+06,0.457,1.169,55.4729
9,2.7147e+06,0.522,1.11,51.5659
10,2.71527e+06,0.594,1.187,55.6744
11,2.71682e+06,0.52,1.125,56.0155
12,2.71919e+06,0.608,1.194,58.8372
13,2.71938e+06,0.513,1.125,56.4186
14,2.72148e+06,0.545,1.147,56.6822
15,2.72267e+06,0.513,1.101,55.7519
16,2.7231e+06,0.532,1.145,57.0233
17,2.72343e+06,0.547,1.167,58.7597
18,2.72367e+06,0.503,1.122,55.2558
19,2.72533e+06,0.46,1.08,55.2868
20,2.72612e+06,0.565,1.223,58.062
21,2.72684e+06,0.509,1.201,54.6977
22,2.7275e+06,0.531,1.214,55.2403
23,2.72789e+06,0.52,1.136,53.5659
24,2.72845e+06,0.661,1.173,57.5504
25,2.72871e+06,0.547,1.142,56.5426
26,2.72884e+06,0.532,1.181,57.4884
27,2.72893e+06,0.528,1.202,57.4729
28,2.72946e+06,0.545,1.188,58.6667
29,2.73028e+06,0.532,1.148,56.3256
30,2.73132e+06,0.523,1.1,56.6202
31,2.73306e+06,0.525,1.098,56.7907
32,2.73336e+06,0.639,1.171,57.7674
33,2.73371e+06,0.598,1.129,57.8295
34,2.73378e+06,0.552,1.212,56.7442
35,2.73395e+06,0.509,1.182,52.3101
36,2.73412e+06,0.535,1.205,56.6357
37,2.73453e+06,0.535,1.181,54.5581
38,2.73535e+06,0.56,1.236,58.5271
39,2.73562e+06,0.53,1.107,55.3798
40,2.73631e+06,0.531,1.176,58.4961
41,2.73649e+06,0.434,1.162,53.5349
42,2.73694e+06,0.518,1.143,57.2403
43,2.73715e+06,0.528,1.162,57.1473
44,2.73868e+06,0.655,1.178,60.031
45,2.73935e+06,0.614,1.201,58.1395
46,2.74049e+06,0.53,1.125,57.3798
47,2.7405e+06,0.543,1.153,57.938
48,2.74215e+06,0.589,1.105,59.1008
49,2.74304e+06,0.524,1.11,57.3643
50,2.74311e+06,0.522,1.111,53.1628
51,2.74341e+06,0.529,1.16,54.1395
52,2.74359e+06,0.063,1.09,56.062
53,2.74367e+06,0.607,1.207,55.7519
54,2.74466e+06,0.421,1.123,53.4884
55,2.74467e+06,0.443,1.152,52.4806
56,2.74562e+06,0.513,1.082,50.6667
57,2.74576e+06,0.55,1.081,55.5504
58,2.74631e+06,0.53,1.053,51.814
59,2.74699e+06,0.531,1.102,56.062
60,2.74737e+06,0.607,1.156,57.7984
61,2.74767e+06,0.552,1.109,56.5891
62,2.74798e+06,0.533,1.148,58.093
63,2.74851e+06,0.494,1.19,55.7829
64,2.74875e+06,0.505,1.165,52.6357
65,2.749e+06,0.411,1.175,56.7597
66,2.74996e+06,0.546,1.082,51.0388
67,2.75032e+06,0.528,1.144,56.062
68,2.7512e+06,0.413,1.1,55.0078
69,2.7513e+06,0.529,1.13,58.5736
70,2.75172e+06,0.435,1.148,54.9922
71,2.75249e+06,0.527,1.144,56.6512
72,2.75319e+06,0.42,1.141,55.9535
73,2.75346e+06,0.496,1.1,58.1705
74,2.75359e+06,0.531,1.079,54.1395
75,2.75474e+06,0.525,1.116,52.186
76,2.75525e+06,0.418,1.203,57.5659
77,2.75535e+06,0.513,1.103,53.4574
78,2.75678e+06,0.559,1.161,56.7442
79,2.757e+06,0.66,1.13,58.8682
80,2.75903e+06,0.542,1.107,55.7674
81,2.7593e+06,0.573,1.117,59.5349
82,2.75993e+06,0.56,1.141,57.7984
83,2.76146e+06,0.546,1.176,59.1628
84,2.76267e+06,0.525,1.154,58.3101
85,2.76295e+06,0.528,1.129,57.2248
86,2.76392e+06,0.539,1.065,51.6899
87,2.76506e+06,0.498,1.195,53.5194
88,2.76557e+06,0.559,1.116,57.5814
89,2.76668e+06,0.539,1.117,57.5814
90,2.76813e+06,0.529,1.139,53.5969
91,2.76904e+06,0.584,1.108,57.1938
92,2.76941e+06,0.585,1.184,59.1318
93,2.77067e+06,0.435,1.083,55.6434
94,2.77162e+06,0.559,1.16,59.5194
95,2.77199e+06,0.504,1.083,54.2326
96,2.77238e+06,0.519,1.091,54.3566
97,2.77314e+06,0.54,1.136,57.6744
98,2.77585e+06,0.695,1.125,58.1085
99,2.78561e+06,0.557,1.17,59.3643
100,2.70101e+06,0.547,1.203,60.1705
101,2.70186e+06,0.527,1.218,59.7364
102,2.72623e+06,0.545,1.147,58.4806
103,2.73032e+06,0.509,1.201,57.938
104,2.74272e+06,0.525,1.098,58.5271
105,2.75205e+06,0.546,1.082,58.2016
106,2.77646e+06,0.529,1.139,57.1008
