id,cost,hd_time,ls_time,diversity
0,1.85476e+06,0.127,0.249,72.7223
1,1.86142e+06,0.122,0.312,79.466
2,1.86274e+06,0.098,0.27,76.8786
3,1.86402e+06,0.092,0.25,60.8863
4,1.86802e+06,0.093,0.268,76.0804
5,1.86858e+06,0.127,0.295,77.7319
6,1.86928e+06,0.133,0.268,78.1723
7,1.87092e+06,0.118,0.272,74.9518
8,1.87124e+06,0.12,0.252,67.8778
9,1.87617e+06,0.102,0.297,74.4564
10,1.87729e+06,0.098,0.285,70.2175
11,1.87732e+06,0.092,0.267,62.2075
12,1.87742e+06,0.104,0.276,73.3829
13,1.87794e+06,0.125,0.258,78.9155
14,1.8781e+06,0.117,0.268,69.6119
15,1.87873e+06,0.113,0.282,77.7594
16,1.8792e+06,0.119,0.257,73.9334
17,1.87967e+06,0.125,0.255,75.4748
18,1.88022e+06,0.12,0.243,73.6857
19,1.88041e+06,0.125,0.26,73.4104
20,1.88045e+06,0.116,0.245,71.1258
21,1.8805e+06,0.126,0.295,77.6218
22,1.88052e+06,0.143,0.289,80.0716
23,1.88053e+06,0.093,0.252,74.2362
24,1.88066e+06,0.128,0.33,79.9064
25,1.88103e+06,0.118,0.264,74.6215
26,1.88105e+06,0.125,0.227,79.7688
27,1.88122e+06,0.117,0.268,72.9975
28,1.88198e+06,0.094,0.274,72.3094
29,1.88326e+06,0.099,0.284,77.9246
30,1.88352e+06,0.089,0.267,71.8965
31,1.88385e+06,0.128,0.268,76.5483
32,1.88464e+06,0.123,0.235,74.4564
33,1.88465e+06,0.12,0.28,70.7955
34,1.88477e+06,0.126,0.247,79.2458
35,1.8855e+06,0.109,0.269,61.6846
36,1.8856e+06,0.117,0.251,75.6675
37,1.88586e+06,0.135,0.272,78.3925
38,1.88686e+06,0.128,0.232,73.0801
39,1.88741e+06,0.107,0.266,76.6859
40,1.88857e+06,0.126,0.296,81.613
41,1.8897e+06,0.11,0.252,68.3182
42,1.88971e+06,0.093,0.246,74.5665
43,1.89001e+06,0.143,0.245,79.1357
44,1.89003e+06,0.119,0.249,69.0063
45,1.89014e+06,0.095,0.281,70.9331
46,1.89022e+06,0.094,0.275,73.3829
47,1.89067e+06,0.095,0.248,70.3826
48,1.89074e+06,0.089,0.244,68.5384
49,1.89099e+06,0.115,0.257,67.1346
50,1.89137e+06,0.107,0.261,73.0801
51,1.89171e+06,0.093,0.257,71.5662
52,1.89208e+06,0.093,0.246,75.2546
53,1.8921e+06,0.13,0.252,77.4842
54,1.89258e+06,0,0.258,73.0526
55,1.8928e+06,0.124,0.264,76.5758
56,1.8929e+06,0.122,0.275,75.5849
57,1.893e+06,0.094,0.269,75.172
58,1.89326e+06,0.101,0.257,77.4566
59,1.89342e+06,0.091,0.255,76.1905
60,1.89369e+06,0.094,0.235,61.9048
