id,cost,hd_time,ls_time,diversity
0,3.43426e+06,13.222,17.511,40.6121
1,3.44273e+06,12.474,17.189,36.0795
2,3.44588e+06,15.089,18.015,39.362
3,3.44649e+06,19.782,18.209,41.6848
4,3.44863e+06,21.392,17.582,39.6524
5,3.45181e+06,10.469,17.903,38.3458
6,3.45604e+06,29.266,17.531,42.7817
7,3.46333e+06,17.741,17.834,38.6725
8,3.46456e+06,22.461,18.907,43.3825
9,3.46597e+06,18.827,17.697,40.471
10,3.46903e+06,13.242,18.357,39.8863
11,3.46932e+06,22.217,18.08,41.7009
12,3.47099e+06,27.293,17.789,43.1043
13,3.47212e+06,20.934,17.511,39.6605
14,3.47244e+06,16.388,18.157,39.5072
15,3.47314e+06,31.135,18.171,43.0075
16,3.47334e+06,15.53,17.696,40.6968
17,3.47425e+06,14.953,17.487,39.233
18,3.47437e+06,13.748,17.769,41.6203
19,3.47458e+06,19.248,18.903,42.3381
20,3.47526e+06,23.112,18.456,42.4107
21,3.47601e+06,20.531,17.516,41.9913
22,3.47641e+06,12.715,17.512,40.0153
23,3.47734e+06,15.285,18.404,42.5962
24,3.47963e+06,17.68,17.374,39.2451
25,3.48252e+06,22.135,17.721,40.1
26,3.48289e+06,26.71,18.115,42.1123
27,3.48308e+06,9.985,17.421,36.9425
28,3.48353e+06,13.483,17.245,40.0395
29,3.48541e+06,12.403,17.358,36.3255
30,3.48652e+06,18.812,18.547,42.1244
31,3.48718e+06,11.766,16.947,39.9468
32,3.48798e+06,26.177,17.464,42.7172
33,3.4885e+06,15.431,17.029,38.2813
34,3.48916e+06,16.093,17.956,42.8099
35,3.48916e+06,25.479,18.343,42.8543
36,3.48982e+06,27.219,18.594,42.6284
37,3.49032e+06,21.142,17.209,39.5717
38,3.49043e+06,15.955,17.874,40.4266
39,3.49083e+06,26.794,17.93,42.6042
40,3.49157e+06,17.579,18.404,42.455
41,3.49228e+06,19.608,17.838,41.9026
42,3.49244e+06,29.685,18.365,43.8543
43,3.49325e+06,13.702,17.282,39.3701
44,3.49346e+06,25.876,17.984,41.4227
45,3.49375e+06,14.777,17.71,41.6526
46,3.49396e+06,17.946,17.604,42.9268
47,3.49574e+06,28.142,18.966,42.1244
48,3.49748e+06,30.969,17.899,43.9673
49,3.49859e+06,19.424,18.134,41.1001
50,3.49874e+06,17.201,19.655,42.0397
51,3.49979e+06,31.564,17.985,43.2333
52,3.49984e+06,23.962,17.531,39.7572
53,3.49997e+06,28.973,18.087,42.2131
54,3.50017e+06,13.07,17.172,38.9346
55,3.50102e+06,19.047,17.953,42.4954
56,3.5017e+06,17.175,17.559,41.9631
57,3.50193e+06,27.041,18.402,41.6203
58,3.50217e+06,18.085,17.733,41.6284
59,3.50235e+06,22.742,18.444,41.8179
60,3.50294e+06,27.575,18.007,42.3825
61,3.50364e+06,18.965,18.423,41.4146
62,3.50517e+06,19.106,17.678,43.7777
63,3.5052e+06,9.999,17.014,36.1884
64,3.50555e+06,23.525,17.747,41.5558
65,3.506e+06,15.417,18.404,41.4751
66,3.50625e+06,21.976,17.689,42.2736
67,3.50696e+06,22.806,17.654,40.8864
68,3.50717e+06,30.824,18.02,42.5881
69,3.50788e+06,25.683,17.503,43.8745
70,3.5082e+06,12.344,17.233,39.4387
71,3.50861e+06,22.398,17.861,41.1525
72,3.50974e+06,21.594,17.991,44.2818
73,3.50986e+06,21.541,17.99,42.3663
74,3.51066e+06,15.743,17.828,41.9711
75,3.51076e+06,13.017,17.245,39.5758
76,3.51093e+06,19.329,17.828,42.6204
77,3.51103e+06,15.002,17.145,40.8581
78,3.51401e+06,16.731,18.236,43.3624
79,3.51457e+06,13.895,17.296,39.6242
80,3.51718e+06,22.718,18.183,42.6446
81,3.51924e+06,16.609,17.694,42.1042
82,3.52159e+06,19.266,17.37,40.3904
83,3.52167e+06,24.781,18.172,41.0275
84,3.52215e+06,14.826,17.453,40.5678
85,3.52224e+06,26.889,17.74,42.322
86,3.5242e+06,15.61,17.768,42.5639
87,3.52465e+06,12.064,17.814,40.7614
88,3.52472e+06,17.583,17.542,41.4146
89,3.52511e+06,16.551,17.593,41.58
90,3.52612e+06,23.857,17.589,44.8746
91,3.52908e+06,25.794,17.69,44.7697
92,3.53019e+06,27.795,17.619,42.9873
93,3.53031e+06,17.478,17.504,42.7655
94,3.53222e+06,21.567,18.752,42.6163
95,3.53225e+06,16.516,18.021,42.9914
96,3.53427e+06,26.694,17.63,42.3704
97,3.53868e+06,19.584,18.074,41.8139
98,3.55138e+06,24.103,18.681,44.5358
99,3.57188e+06,9.875,17.141,39.5758
