id,cost,hd_time,ls_time,diversity
0,3.17491e+06,5.747,12.422,46.2957
1,3.19166e+06,8.247,12.981,48.0965
2,3.19986e+06,7.703,11.641,44.4462
3,3.20088e+06,9.601,11.439,47.4584
4,3.20242e+06,6.385,12.185,45.836
5,3.20536e+06,7.546,11.408,43.8189
6,3.2085e+06,6.249,11.473,43.7541
7,3.20934e+06,7.904,11.719,47.4043
8,3.20994e+06,7.517,11.87,47.0474
9,3.21426e+06,6.03,11.06,42.3264
10,3.21605e+06,7.664,11.445,46.8635
11,3.21872e+06,7.264,11.766,46.1497
12,3.21883e+06,5.325,11.295,46.4633
13,3.21975e+06,5.111,10.927,41.1583
14,3.2198e+06,7.654,10.973,43.3377
15,3.22e+06,7.076,11.095,46.366
16,3.22078e+06,5.709,11.471,44.695
17,3.22084e+06,5.253,10.746,40.8339
18,3.22265e+06,6.748,12.22,45.4737
19,3.22444e+06,7.388,11.514,47.6044
20,3.22519e+06,7.384,11.701,43.7108
21,3.2262e+06,5.23,11.786,46.0145
22,3.22685e+06,7.58,11.888,46.6688
23,3.22737e+06,7.072,11.762,45.4953
24,3.22857e+06,8.899,11.178,42.9321
25,3.22903e+06,5.42,10.797,45.0249
26,3.23063e+06,5.465,11.594,45.7171
27,3.23072e+06,7.575,11.284,46.658
28,3.23239e+06,9.078,15.594,48.1181
29,3.23258e+06,7.157,12.063,44.9438
30,3.23399e+06,5.138,10.603,44.6517
31,3.23552e+06,9.417,12.094,47.0366
32,3.23564e+06,6.675,11.357,45.5062
33,3.23587e+06,8.017,11.079,49.0212
34,3.23636e+06,7.283,11.84,45.2087
35,3.2367e+06,9.829,11.472,47.1609
36,3.23674e+06,7.792,11.715,47.772
37,3.23785e+06,7.484,12.455,45.809
38,3.23874e+06,9.665,11.491,47.7882
39,3.23877e+06,5.436,10.822,43.3971
40,3.2388e+06,8.294,11.465,47.7017
41,3.23962e+06,7.323,11.016,43.0565
42,3.23978e+06,5.125,10.812,40.8447
43,3.24196e+06,5.611,11.919,46.6905
44,3.24242e+06,6.983,11.309,46.1929
45,3.24275e+06,7.596,11.769,47.9018
46,3.24299e+06,7.946,11.364,45.5224
47,3.24312e+06,5.905,11.937,45.1493
48,3.24512e+06,5.687,11.282,46.0199
49,3.2455e+06,10.529,11.755,47.2691
50,3.24586e+06,9.454,11.009,46.4958
51,3.24689e+06,7.53,11.721,45.5332
52,3.24752e+06,6.812,10.96,45.9496
53,3.24761e+06,7.987,11.752,47.1555
54,3.24766e+06,6.295,11.326,41.7153
55,3.24789e+06,8.961,12.538,47.8748
56,3.24921e+06,5.768,10.893,44.8843
57,3.24943e+06,9.149,11.519,48.5724
58,3.24947e+06,6.253,11.409,44.0731
59,3.24982e+06,5.576,11.733,46.8202
60,3.25036e+06,7.186,11.07,43.7865
61,3.2507e+06,8.162,11.094,47.9667
62,3.25084e+06,7.97,11.606,46.7716
63,3.25182e+06,7.259,11.461,43.873
64,3.25211e+06,6.337,10.661,41.7262
65,3.25246e+06,8.801,11.59,46.3281
66,3.25289e+06,7.532,11.032,42.9645
67,3.25312e+06,5.784,11.467,40.4878
68,3.25324e+06,7.966,11.83,47.8423
69,3.25352e+06,7.422,11.437,46.1172
70,3.25366e+06,11.176,11.221,47.4367
71,3.25452e+06,7.625,10.743,43.3593
72,3.25519e+06,9.888,11.626,47.4259
73,3.25605e+06,6.682,11.015,43.262
74,3.25611e+06,7.888,11.485,48.3939
75,3.2566e+06,8.934,12.085,47.9613
76,3.25664e+06,9.297,11.229,48.0694
77,3.25729e+06,7.136,11.221,46.3444
78,3.25758e+06,7.856,11.388,47.0906
79,3.25956e+06,8.306,11.454,48.5183
80,3.26382e+06,7.154,11.147,43.9866
81,3.26466e+06,8.813,11.323,48.6264
82,3.26522e+06,5.126,10.956,43.2295
83,3.26667e+06,7.717,11.089,43.0348
84,3.26989e+06,6.108,10.81,40.5527
85,3.27172e+06,7.895,11.24,47.9667
86,3.27337e+06,5.579,11.07,46.3444
87,3.27473e+06,6.832,10.919,46.7986
88,3.27777e+06,7.411,11.699,47.0257
89,3.27816e+06,10.213,11.047,48.037
90,3.27823e+06,7.441,11.003,46.2254
91,3.27892e+06,9.314,11.183,47.7612
92,3.2805e+06,9.617,11.374,47.4259
93,3.2829e+06,7.413,10.774,45.1384
94,3.28383e+06,7.861,11.032,43.2241
95,3.2852e+06,7.48,11.313,46.1389
96,3.28982e+06,10.918,11.687,47.9559
97,3.29381e+06,7.423,11.046,42.8888
98,3.30797e+06,7.161,10.991,44.1975
99,3.20809e+06,7.546,11.408,51.8657
100,3.24666e+06,8.017,11.079,51.8873
101,3.25913e+06,7.136,11.221,51.9576
102,3.26125e+06,9.905,11.391,34.9502
103,3.26367e+06,9.905,11.391,34.9232
