id,cost,hd_time,ls_time,diversity
0,3.24678e+06,14.289,15.772,43.1624
1,3.25025e+06,19,15.938,45.2486
2,3.25378e+06,19.246,15.788,45.2836
3,3.25653e+06,18.048,16.228,45.6682
4,3.25729e+06,16.416,15.984,46.6123
5,3.2587e+06,17.041,15.717,45.6915
6,3.2602e+06,22.834,16.193,47.4903
7,3.26129e+06,21.231,15.873,45.4856
8,3.26181e+06,17.017,15.886,45.1709
9,3.26228e+06,19.985,16.109,46.6123
10,3.263e+06,20.828,15.87,46.5035
11,3.26315e+06,19.517,15.874,45.6294
12,3.26454e+06,13.017,15.904,43.9744
13,3.26486e+06,19.372,15.89,45.9013
14,3.2657e+06,20.247,16.115,46.0567
15,3.26571e+06,13.869,15.861,44.1725
16,3.26603e+06,29.657,15.78,46.5268
17,3.2678e+06,21.265,15.991,48.0575
18,3.2679e+06,19.322,16.072,46.9775
19,3.26865e+06,19.861,15.951,46.3131
20,3.26908e+06,13.447,15.903,44.4444
21,3.26916e+06,19.735,15.735,47.0435
22,3.27012e+06,19.558,15.895,46.8143
23,3.27016e+06,19.239,15.703,45.5556
24,3.27047e+06,16.053,15.631,46.8531
25,3.27057e+06,13.64,15.667,40.2758
26,3.27082e+06,17.292,15.909,46.5152
27,3.27115e+06,12.702,15.73,42.1445
28,3.27117e+06,11.631,15.721,43.1274
29,3.27261e+06,19.106,15.842,46.8065
30,3.27272e+06,14.202,15.976,44.3085
31,3.27274e+06,16.16,16.252,43.4305
32,3.27302e+06,19.917,16.067,47.9138
33,3.27383e+06,10.499,15.669,41.8765
34,3.27415e+06,14.306,16.438,42.4204
35,3.27427e+06,16.521,15.744,44.5416
36,3.2747e+06,16.197,15.645,44.9378
37,3.27484e+06,13.564,15.91,45.3341
38,3.275e+06,15.978,15.863,45.0699
39,3.27558e+06,18.329,15.855,46.2277
40,3.27571e+06,11.226,15.712,43.8889
41,3.27603e+06,13.373,15.84,44.4095
42,3.27605e+06,14.843,15.906,45.5517
43,3.27668e+06,17.099,15.884,43.8112
44,3.27705e+06,15.872,15.778,45.1282
45,3.27735e+06,14.771,15.744,44.6037
46,3.27739e+06,18.555,15.614,45.2059
47,3.27833e+06,17.318,16.357,45.6838
48,3.27834e+06,14.745,15.913,44.1841
49,3.27975e+06,13.755,15.682,43.2051
50,3.27984e+06,19.618,15.72,47.9138
51,3.28016e+06,13.844,16.042,44.0287
52,3.28047e+06,18.893,15.661,47.0785
53,3.28088e+06,13.406,16.101,42.9915
54,3.28168e+06,17.219,15.642,46.0878
55,3.28206e+06,14.984,15.988,43.7685
56,3.28214e+06,16.255,15.654,47.0085
57,3.28274e+06,19.06,15.945,46.5967
58,3.283e+06,17.72,15.864,45.4584
59,3.28326e+06,18.041,15.754,46.2782
60,3.28338e+06,13.719,15.885,40.4779
61,3.28349e+06,13.625,15.845,43.8617
62,3.28393e+06,14.83,15.556,45.1904
63,3.28474e+06,18.264,15.515,45.2253
64,3.28478e+06,16.476,15.638,45.9713
65,3.28511e+06,11.154,15.496,46.5074
66,3.28519e+06,15.116,16.201,44.7669
67,3.2852e+06,1.807,15.358,45.0389
68,3.28558e+06,18.36,15.935,45.1282
69,3.28561e+06,14.23,15.889,43.8733
70,3.28621e+06,11.704,15.875,45.4507
71,3.28665e+06,13.501,15.406,43.2323
72,3.28673e+06,19.169,15.801,45.7187
73,3.28683e+06,15.078,15.501,45.6876
74,3.28719e+06,15.283,16.074,45.3497
75,3.28743e+06,14.472,15.946,44.8601
76,3.28833e+06,18.683,15.554,46.3869
77,3.28863e+06,14.451,15.961,39.8563
78,3.28892e+06,16.04,25.058,44.5571
79,3.28918e+06,15.687,15.79,46.5851
80,3.28948e+06,17.367,15.909,45.4002
81,3.28974e+06,11.357,16.012,44.1298
82,3.28991e+06,14.291,15.905,42.7584
83,3.28993e+06,15.594,15.952,43.9044
84,3.29012e+06,14.23,15.869,44.5027
85,3.29041e+06,16.381,15.692,46.0684
86,3.29126e+06,13.081,15.69,44.1919
87,3.29166e+06,19.778,15.721,46.958
88,3.29167e+06,14.737,15.914,45.1243
89,3.29277e+06,10.683,15.621,44.5066
90,3.29341e+06,15.448,15.538,44.289
91,3.29457e+06,14.419,15.866,45.3186
92,3.29734e+06,11.539,15.83,44.3706
93,3.29961e+06,12.748,15.292,42.366
94,3.30151e+06,10.494,16.038,41.4297
95,3.3024e+06,14.373,15.73,45.5556
96,3.30259e+06,12.818,15.557,40.1127
97,3.30866e+06,13.953,17.251,43.6131
98,3.31247e+06,13.373,15.622,42.9798
99,3.31604e+06,10.657,20.188,45.6799
