id,cost,hd_time,ls_time,diversity
0,2.47717e+06,14.924,15.683,42.929
1,2.47927e+06,13.075,15.852,42.7668
2,2.48285e+06,30.308,15.362,43.2169
3,2.48311e+06,21.156,15.461,41.4487
4,2.48691e+06,17.908,15.084,43.1237
5,2.4878e+06,32.936,15.146,43.0263
6,2.49e+06,31.055,15.118,42.5599
7,2.49244e+06,25.567,15.22,42.637
8,2.4931e+06,19.343,15.061,44.1619
9,2.49373e+06,22.557,15.754,41.6352
10,2.49393e+06,23.181,16.346,42.783
11,2.49397e+06,15.387,15.357,43.5495
12,2.49402e+06,19.496,15.378,43.221
13,2.49413e+06,19.949,15.069,44.6648
14,2.49432e+06,16.999,15.453,43.9997
15,2.49483e+06,14.28,15.438,43.5211
16,2.49546e+06,33.471,15.283,41.2662
17,2.49552e+06,30.633,15.162,43.2737
18,2.4961e+06,13.838,15.209,42.714
19,2.49658e+06,25.835,15.687,43.3305
20,2.49756e+06,27.875,15.65,43.4319
21,2.49878e+06,34.505,15.121,44.5391
22,2.4989e+06,26.331,15.223,43.659
23,2.49892e+06,15.597,14.279,42.6086
24,2.4996e+06,24.656,15.633,43.7239
25,2.50038e+06,27.272,14.895,43.7523
26,2.50052e+06,16.699,15.186,43.3994
27,2.50082e+06,19.593,15.611,42.9939
28,2.50149e+06,28.39,14.991,43.3873
29,2.50185e+06,32.796,15.25,44.0605
30,2.5023e+06,20.745,15.268,44.2917
31,2.50289e+06,17.319,15.625,44.1335
32,2.50306e+06,14.815,15.099,42.5275
33,2.50317e+06,13.736,15.417,41.8745
34,2.50342e+06,26.637,15.297,42.5721
35,2.50368e+06,25.238,15.424,42.6654
36,2.50404e+06,11.248,15.389,41.7731
37,2.50444e+06,31.626,15.375,41.1648
38,2.50461e+06,19.013,15.386,44.1619
39,2.50493e+06,35.124,15.25,43.6103
40,2.50548e+06,15.255,15.573,42.2882
41,2.50655e+06,32.316,14.858,43.5495
42,2.50751e+06,21.286,15.3,41.4446
43,2.50773e+06,31.173,15.252,39.8426
44,2.50805e+06,30.314,14.813,41.4852
45,2.50897e+06,17.172,15.569,43.4076
46,2.50918e+06,18.637,15.228,43.1318
47,2.50965e+06,33.965,15.141,43.1561
48,2.50983e+06,18.763,15.766,40.0454
49,2.51028e+06,20.018,15.264,42.2111
50,2.51031e+06,17.093,15.265,42.7546
51,2.51055e+06,28.004,14.732,43.8942
52,2.51064e+06,35.645,15.097,43.5454
53,2.51097e+06,17.14,15.484,44.8067
54,2.51132e+06,12.604,15.266,42.4829
55,2.51136e+06,20.491,15.182,43.2534
56,2.51158e+06,31.595,14.64,42.0692
57,2.51191e+06,31.194,15.28,43.7726
58,2.51296e+06,21.7,15.415,44.2308
59,2.51354e+06,13.211,14.847,40.3699
60,2.51376e+06,21.037,15.422,44.9365
61,2.51412e+06,15.967,15.316,39.871
62,2.51424e+06,26.809,15.421,42.783
63,2.51442e+06,32.378,15.363,43.2332
64,2.51525e+06,22.678,15.232,44.7297
65,2.51551e+06,16.941,15.331,45.0947
66,2.51592e+06,17.604,15.148,43.3792
67,2.51666e+06,31.256,15.129,41.8583
68,2.51702e+06,29.463,15.1,41.5257
69,2.51816e+06,13.641,14.842,41.6961
70,2.51832e+06,25.796,15.055,41.0228
71,2.5184e+06,19.421,15.427,44.3606
72,2.51857e+06,28.826,14.891,42.3369
73,2.5187e+06,33.28,15.082,43.8942
74,2.51871e+06,23.291,15.157,44.2268
75,2.51872e+06,22.639,14.989,44.7135
76,2.51903e+06,17.107,15.123,42.2841
77,2.51932e+06,13.984,15.651,43.1399
78,2.51946e+06,14.276,15.168,39.2221
79,2.51966e+06,18.45,15.42,44.3363
80,2.51971e+06,12.03,15.155,42.2395
81,2.52139e+06,26.354,15.352,43.9226
82,2.52192e+06,36.443,15.246,44.4985
83,2.52303e+06,26.53,15.173,40.7105
84,2.52317e+06,30.843,15.372,42.0327
85,2.52355e+06,13.735,14.937,39.3803
86,2.52442e+06,17.452,15.116,41.0107
87,2.52444e+06,28.875,15.233,43.8009
88,2.52508e+06,12.542,15.386,41.2865
89,2.52516e+06,30.465,14.902,39.9238
90,2.52665e+06,19.255,14.879,42.5518
91,2.53134e+06,29.488,15.184,43.8699
92,2.53357e+06,11.224,15.237,44.024
93,2.53379e+06,18.874,15.039,38.9301
94,2.53622e+06,27.427,15.066,42.8844
95,2.53815e+06,33.445,15.001,43.0588
96,2.53889e+06,32.676,14.906,39.9238
97,2.53911e+06,35.938,15.148,44.2227
98,2.54895e+06,28.729,14.505,45.192
99,2.55741e+06,12.078,15.022,40.9823
