id,cost,hd_time,ls_time,diversity
0,2.6764e+06,0.455,1.14,50.8372
1,2.70334e+06,0.422,1.141,51.4419
2,2.70399e+06,0.454,1.109,50.4496
3,2.70443e+06,0.437,1.032,53.0233
4,2.7086e+06,0.453,1.047,49.5969
5,2.70975e+06,0.454,1.062,50.7597
6,2.71065e+06,0.454,1.078,50.5736
7,2.71218e+06,0.438,1.126,50.4651
8,2.71232e+06,0.453,1.141,49.907
9,2.71265e+06,0.437,1.063,52.2016
10,2.7136e+06,0.516,1.187,53.1008
11,2.71498e+06,0.454,1.14,49.6124
12,2.71511e+06,0.438,1.064,54.3566
13,2.71547e+06,0.517,1.108,51.5659
14,2.71695e+06,0.453,1.094,50.9302
15,2.71898e+06,0.453,1.047,50.9457
16,2.71928e+06,0.531,1.094,53.6279
17,2.71951e+06,0.452,1.047,51.8605
18,2.72003e+06,0.453,1.062,50.6977
19,2.72022e+06,0.499,1.187,52.9612
20,2.72088e+06,0.5,1.062,51.907
21,2.72091e+06,0.407,1.079,52.5891
22,2.72169e+06,0.5,1.109,51.8605
23,2.72218e+06,0.453,1.062,49.969
24,2.72345e+06,0.515,1.594,50.7597
25,2.72358e+06,0.422,1.062,52.3876
26,2.72419e+06,0.437,1.141,51.7054
27,2.7245e+06,0.61,1.078,50.9767
28,2.72487e+06,0.516,1.108,50.4651
29,2.72488e+06,0.437,1.063,50.7442
30,2.72504e+06,0.454,1.094,51.5039
31,2.72576e+06,0.422,1.142,50.5581
32,2.72579e+06,0.438,1.062,51.0388
33,2.72584e+06,0.407,1.096,53.0388
34,2.72609e+06,0.516,1.125,53.7984
35,2.7261e+06,0.454,1.077,49.2403
36,2.72761e+06,0.516,1.156,52.2946
37,2.72772e+06,0.515,1.126,51.5659
38,2.72903e+06,0.484,1.125,53.845
39,2.72934e+06,0.063,1.063,49.9845
40,2.73062e+06,0.515,1.125,50.1085
41,2.73067e+06,0.469,1.11,51.1318
42,2.73068e+06,0.436,1.078,50.2016
43,2.73234e+06,0.516,1.079,51.5194
44,2.73298e+06,0.437,1.126,52.5116
45,2.73351e+06,0.047,1.078,48.3876
46,2.7336e+06,0.5,1.11,52.4341
47,2.73372e+06,0.514,1.11,53.5659
48,2.73415e+06,0.516,1.077,51.4884
49,2.73415e+06,0.5,1.093,50.6047
50,2.73553e+06,0.5,1.078,54.5581
51,2.7362e+06,0.437,1.062,50.4961
52,2.73621e+06,0.047,1.079,48.5426
53,2.73906e+06,0.439,1.08,51.1318
54,2.73996e+06,0.609,1.048,51.0233
55,2.74028e+06,0.609,1.125,50.093
56,2.7403e+06,0.046,1.063,49.4884
57,2.74058e+06,0.438,1.078,52.9922
58,2.74186e+06,0.437,1.063,51.3953
59,2.74186e+06,0.422,1.109,51.7984
60,2.74246e+06,0.5,1.078,51.6744
61,2.74261e+06,0.502,1.076,50
62,2.74312e+06,0.436,1.063,53.8605
63,2.74324e+06,0.516,1.093,51.0853
64,2.74354e+06,0.593,1.156,53.2403
65,2.74367e+06,0.516,1.112,52.5581
66,2.74404e+06,0.454,1.031,50.9457
67,2.74406e+06,0.438,1.046,50.2016
68,2.74436e+06,0.062,1.047,49.3488
69,2.74447e+06,0.5,1.125,52.7442
70,2.74463e+06,0.452,1.078,51.2558
71,2.74464e+06,0.515,1.11,52.9767
72,2.74624e+06,0.499,1.079,50.6047
73,2.74704e+06,0.516,1.078,51.8605
74,2.74736e+06,0.516,1.141,52.124
75,2.74792e+06,0.438,1.062,50.186
76,2.75103e+06,0.497,1.062,50.6822
77,2.75281e+06,0.437,1.125,50.4651
78,2.75286e+06,0.515,1.14,50.186
79,2.75294e+06,0.407,1.062,52.2946
80,2.75326e+06,0.501,1.109,49.4109
81,2.75348e+06,0.499,1.094,51.7519
82,2.75729e+06,0.454,1.062,50.8992
83,2.75731e+06,0.515,1.079,49.7984
84,2.75824e+06,0.515,1.079,49.9845
85,2.75915e+06,0.499,1.11,51.2713
86,2.75978e+06,0.516,1.109,50.4806
87,2.76041e+06,0.515,1.11,50.3566
88,2.76105e+06,0.61,1.062,50.2481
89,2.76171e+06,0.5,1.141,51.3488
90,2.76191e+06,0.5,1.14,50.6047
91,2.76628e+06,0.048,1.093,49.4729
92,2.76713e+06,0.515,1.094,51.5194
93,2.76991e+06,0.5,1.062,52.2326
94,2.77196e+06,0.516,1.078,52.5426
95,2.77203e+06,0.515,1.078,51.1318
96,2.77266e+06,0.438,1.016,50.2016
97,2.77942e+06,0.516,1.047,53.3333
98,2.71158e+06,0.454,1.062,56.3101
99,2.72083e+06,0.452,1.047,55.7984
100,2.7226e+06,0.438,1.14,38.6667
101,2.72377e+06,0.422,1.062,56.3256
102,2.73807e+06,0.438,1.14,38.6202
103,2.74092e+06,0.609,1.125,52.5426
104,2.74347e+06,0.437,1.063,54.3566
105,2.74754e+06,0.436,1.063,56.124
106,2.75289e+06,0.515,1.11,38.4031
107,2.75359e+06,0.515,1.11,38.2946
108,2.75622e+06,0.497,1.062,52.4341
109,2.76909e+06,0.61,1.062,53.7519
