id,cost,hd_time,ls_time,diversity
0,3.42484e+06,9.607,18.015,35.7368
1,3.44206e+06,19.376,16.845,36.7247
2,3.44714e+06,9.91,17.341,36.7852
3,3.44724e+06,11.444,17.427,36.2408
4,3.44792e+06,16.023,17.528,37.3579
5,3.44962e+06,16.467,17.005,36.7772
6,3.45154e+06,10.788,17.529,36.4102
7,3.45392e+06,12.571,17.191,36.1965
8,3.455e+06,17.562,17.375,36.4304
9,3.45606e+06,15.592,16.956,35.886
10,3.45642e+06,21.81,17.561,37.1724
11,3.45682e+06,20.207,17.091,35.1883
12,3.46067e+06,11.85,18.257,35.3174
13,3.46069e+06,13.402,17.691,36.2691
14,3.46192e+06,16.753,17.305,36.1924
15,3.46238e+06,12.042,16.915,36.1965
16,3.46273e+06,16.987,16.766,35.7085
17,3.46318e+06,13.357,17.703,36.3134
18,3.46367e+06,9.802,17.263,36.4626
19,3.46485e+06,11.531,17.498,35.5916
20,3.46494e+06,10.238,17.625,35.9223
21,3.46612e+06,9.881,16.913,36.3578
22,3.46687e+06,9.735,16.966,35.8497
23,3.46772e+06,18.305,16.635,36.3537
24,3.46886e+06,11.205,17.321,36.1239
25,3.47052e+06,9.67,17.641,35.6359
26,3.47072e+06,12.877,17.085,35.5956
27,3.47127e+06,19.101,16.706,35.9061
28,3.47155e+06,18.908,16.877,36.2529
29,3.47219e+06,15.058,17.116,35.7972
30,3.47241e+06,10.061,17.267,36.1965
31,3.47246e+06,15.124,18.206,36.0997
32,3.47256e+06,16.367,17.567,35.7408
33,3.47263e+06,9.951,17.359,36.2045
34,3.4728e+06,15.532,16.765,35.8497
35,3.47384e+06,22.677,16.969,36.6118
36,3.47416e+06,20.232,16.989,37.2772
37,3.47602e+06,24.342,17.364,35.6077
38,3.47632e+06,13.658,17.094,35.7247
39,3.47665e+06,19.715,17.601,37.1401
40,3.47701e+06,12.468,16.998,36.265
41,3.47796e+06,10.498,17.779,35.765
42,3.47824e+06,15.654,16.937,35.3133
43,3.47939e+06,11.809,17.3,35.5714
44,3.47941e+06,12.765,17.11,36.6078
45,3.48039e+06,18.76,17.373,36.0553
46,3.48042e+06,15.338,16.581,36.0634
47,3.48104e+06,15.236,18.409,36.7852
48,3.48188e+06,16.186,17.178,35.8134
49,3.48284e+06,18.202,16.702,36.1602
50,3.4833e+06,21.62,16.97,36.7207
51,3.48352e+06,21.463,16.9,37.4224
52,3.48411e+06,9.53,17.467,36.1118
53,3.48442e+06,18.169,16.769,35.7892
54,3.48487e+06,21.818,17.516,36.4344
55,3.48701e+06,12.504,17.545,36.511
56,3.48736e+06,19.317,17.045,34.6842
57,3.48761e+06,0.785,17.485,36.0352
58,3.48941e+06,12.605,17.032,36.8578
59,3.48945e+06,12.125,18.674,36.9506
60,3.48959e+06,14.298,17.396,37.3417
61,3.49039e+06,11.939,17.313,37.0433
62,3.49061e+06,9.455,17.405,35.9182
63,3.49068e+06,17.167,17.234,36.7409
64,3.49113e+06,13.55,17.048,36.1158
65,3.49386e+06,19.984,18.037,37.62
66,3.49543e+06,19.431,17.321,35.0391
67,3.49562e+06,17.901,16.861,35.3214
68,3.49674e+06,14.224,17.34,37.4183
69,3.49688e+06,16.446,16.929,35.8658
70,3.49812e+06,14.218,16.916,34.8778
71,3.49933e+06,15.303,16.725,36.3497
72,3.4999e+06,13.304,17.413,36.5231
73,3.50062e+06,19.257,17.033,34.9988
74,3.50122e+06,14.766,16.802,34.6318
75,3.50156e+06,1.384,17.086,35.8577
76,3.50203e+06,17.155,17.015,35.4343
77,3.50336e+06,11.765,17.3,35.2811
78,3.50462e+06,12.071,17.358,36.7651
79,3.50469e+06,15.435,17.009,35.523
80,3.50914e+06,23.828,16.944,36.3618
81,3.51271e+06,13.072,17.737,36.5634
82,3.51276e+06,11.446,17.203,35.5271
83,3.51446e+06,10.125,16.858,35.3093
84,3.51464e+06,4.538,16.799,35.8214
85,3.51476e+06,13.171,17.139,34.9706
86,3.51501e+06,22.103,16.585,36.8739
87,3.5153e+06,11.45,16.656,35.7368
88,3.51578e+06,16.029,17.008,36.5755
89,3.51624e+06,17.617,16.844,36.3295
90,3.51684e+06,17.266,16.375,35.4101
91,3.52066e+06,14.691,16.892,36.507
92,3.52294e+06,14.556,16.519,36.0231
93,3.52802e+06,12.454,17.062,36.5957
94,3.52984e+06,10.677,17.077,34.6157
95,3.53685e+06,13.067,17.021,35.9747
96,3.53718e+06,11.915,16.902,34.8818
97,3.53732e+06,21.172,17.212,35.4101
98,3.54e+06,23.05,16.812,35.5593
99,3.54366e+06,12.205,16.606,35.5875
