id,cost,hd_time,ls_time,diversity
0,3.17544e+06,5.2,10.63,41.1908
1,3.20577e+06,4.779,10.31,39.5522
2,3.20837e+06,0.562,10.218,38.6059
3,3.2091e+06,6.195,10.739,42.2561
4,3.21257e+06,5.28,10.234,41.5964
5,3.21732e+06,0.499,10.313,38.7519
6,3.21739e+06,4.835,10.498,40.4607
7,3.21779e+06,0.879,10.169,38.2111
8,3.21991e+06,4.765,10.778,40.5094
9,3.22143e+06,0.998,10.156,38.3355
10,3.22145e+06,0.553,10.431,37.6595
11,3.22152e+06,4.703,10.661,40.5959
12,3.22186e+06,5.764,10.648,42.4454
13,3.22409e+06,0.457,10.223,38.9358
14,3.22464e+06,5.965,10.58,41.9587
15,3.22605e+06,0.63,9.83,38.4545
16,3.22746e+06,5.732,10.376,41.034
17,3.22783e+06,5.378,10.573,41.0394
18,3.22954e+06,5.753,10.402,41.4828
19,3.23013e+06,5.873,10.501,41.8127
20,3.23086e+06,5.695,10.753,41.3476
21,3.23112e+06,5.346,10.638,39.0764
22,3.23234e+06,4.95,11.052,41.3368
23,3.23237e+06,4.741,10.938,39.7794
24,3.23334e+06,0.89,9.866,38.4166
25,3.23448e+06,0.932,9.868,38.9682
26,3.2348e+06,0.615,10.044,37.8434
27,3.23592e+06,5.345,10.714,39.7253
28,3.23753e+06,6.024,10.222,41.353
29,3.23874e+06,5.792,10.34,40.8501
30,3.239e+06,4.761,10.404,39.7631
31,3.24047e+06,4.953,10.057,40.8447
32,3.2407e+06,4.754,10.499,39.9146
33,3.2407e+06,0.933,10.056,38.422
34,3.24071e+06,4.83,10.148,38.8546
35,3.24387e+06,4.877,10.421,40.5202
36,3.2439e+06,4.735,10.468,40.1795
37,3.24424e+06,0.972,9.961,38.0705
38,3.24544e+06,0.422,10.064,38.833
39,3.24591e+06,6.119,10.737,41.8181
40,3.24614e+06,5.079,9.883,39.7199
41,3.24686e+06,6.297,10.218,41.2719
42,3.24706e+06,4.976,9.953,40.1092
43,3.24749e+06,6.314,10.079,41.0123
44,3.24816e+06,4.829,10.777,39.9903
45,3.24862e+06,5.389,10.111,39.4873
46,3.24927e+06,4.773,10.618,41.6288
47,3.25018e+06,4.884,10.655,40.1958
48,3.25052e+06,5.151,10.499,39.4387
49,3.25174e+06,4.887,10.077,39.974
50,3.25379e+06,4.747,10.203,40.9583
51,3.2543e+06,6.079,10.529,41.9587
52,3.25442e+06,4.766,11.1,39.9524
53,3.25467e+06,5.008,10.797,38.9844
54,3.25575e+06,0.441,9.627,38.0002
55,3.2567e+06,4.798,10.27,40.6987
56,3.25708e+06,4.726,10.437,39.6279
57,3.25822e+06,4.876,10.05,40.4121
58,3.25888e+06,0.846,9.745,38.6383
59,3.25889e+06,5.67,10.096,41.4504
60,3.25973e+06,4.805,10.157,40.2661
61,3.26144e+06,5.907,10.52,41.2232
62,3.26146e+06,4.937,10.364,39.3954
63,3.26261e+06,5.833,10.408,41.3152
64,3.26309e+06,4.978,9.777,40.3796
65,3.26314e+06,5.337,10.291,39.8443
66,3.26459e+06,4.954,10.202,36.5834
67,3.26525e+06,5.269,10.297,40.7095
68,3.26607e+06,4.782,10.125,40.6987
69,3.26682e+06,6.302,9.792,41.3476
70,3.26709e+06,5.16,10.271,40.5256
71,3.26726e+06,5.32,10.182,41.3314
72,3.26816e+06,5.215,10.047,40.4121
73,3.27013e+06,4.781,10.02,38.1192
74,3.2712e+06,4.768,10.107,40.65
75,3.27128e+06,5.906,10.114,41.5639
76,3.27174e+06,6.329,10.337,41.2935
77,3.27208e+06,5.015,10.16,38.5626
78,3.27242e+06,5.076,10.139,37.0268
79,3.27457e+06,4.856,9.907,37.2539
80,3.27556e+06,5.179,10.049,39.4657
81,3.27569e+06,5.273,10.016,38.4382
82,3.27573e+06,5.308,9.764,39.4873
83,3.27578e+06,5.195,10.343,40.2282
84,3.27684e+06,5.256,9.607,36.7564
85,3.27777e+06,4.788,10.139,38.4166
86,3.27797e+06,4.999,10.477,37.5514
87,3.27805e+06,6.038,9.985,41.2773
88,3.28065e+06,4.925,9.717,41.1475
89,3.28654e+06,5.25,10.158,38.8222
90,3.28702e+06,4.814,9.733,37.4162
91,3.2885e+06,5.344,9.422,36.1508
92,3.28861e+06,5.035,9.846,38.1624
93,3.29668e+06,5.064,9.89,37.3513
94,3.29676e+06,4.892,9.958,40.9312
95,3.30232e+06,4.885,9.874,39.3251
96,3.30299e+06,4.976,10.374,37.043
97,3.30671e+06,4.809,9.806,37.8867
98,3.31597e+06,5.036,10.032,36.6266
99,3.33318e+06,6.152,10.111,41.3692
