id,cost,hd_time,ls_time,diversity
0,3.25516e+06,11.442,15.145,35.9518
1,3.25694e+06,16.269,15.584,39.2152
2,3.25816e+06,10.987,15.175,35.913
3,3.2584e+06,10.673,15.451,36.0995
4,3.25869e+06,10.873,15.436,36.3248
5,3.2605e+06,10.683,15.29,35.5556
6,3.26068e+06,11.571,15.109,36.1888
7,3.26225e+06,11.184,15.499,37.1717
8,3.26458e+06,10.87,15.264,35.9557
9,3.26496e+06,11.72,15.487,35.9829
10,3.26861e+06,11.318,15.245,35.7304
11,3.26872e+06,10.951,15.226,36.0956
12,3.26874e+06,10.676,15.66,40.6682
13,3.2689e+06,11.798,15.147,35.6527
14,3.26904e+06,10.608,15.633,38.1041
15,3.26973e+06,11.767,15.832,37.805
16,3.27048e+06,11.246,15.229,35.4002
17,3.27112e+06,11.86,15.122,36.7871
18,3.27205e+06,10.953,15.617,42.1717
19,3.27262e+06,11.327,15.465,40.8664
20,3.27292e+06,11.651,15.167,36.5268
21,3.27362e+06,10.703,15.614,36.1383
22,3.27438e+06,15.547,15.209,39.289
23,3.27502e+06,1.331,15.481,35.9557
24,3.27511e+06,12.766,15.192,39.0365
25,3.2753e+06,10.701,15.377,36.418
26,3.27548e+06,10.948,15.454,37.8127
27,3.27661e+06,11.144,15.664,37.9604
28,3.27793e+06,11.447,15.586,37.3427
29,3.27883e+06,10.652,15.685,38.4421
30,3.2792e+06,11.526,15.277,37.9604
31,3.28e+06,13.916,15.473,39.0171
32,3.28019e+06,10.773,15.893,37.5097
33,3.28076e+06,1.407,15.35,35.4973
34,3.28131e+06,14.252,15.566,38.8695
35,3.28158e+06,10.536,15.587,38.4071
36,3.2816e+06,10.442,15.808,38.3061
37,3.28222e+06,13.959,15.725,37.7739
38,3.28362e+06,11.704,15.246,37.9759
39,3.28467e+06,10.686,15.677,38.0886
40,3.2853e+06,13.3,15.7,37.4242
41,3.28538e+06,14.329,15.395,38.8306
42,3.28551e+06,11.83,15.31,37.8244
43,3.28569e+06,12.018,15.439,38.5781
44,3.28598e+06,10.9,15.563,38.3994
45,3.28658e+06,11.062,15.134,35.7731
46,3.28676e+06,11.152,15.297,43.6519
47,3.28687e+06,13.683,15.453,37.9604
48,3.28748e+06,13.385,15.477,38.9744
49,3.28821e+06,11.527,15.558,41.3326
50,3.28905e+06,11.765,15.45,42.4476
51,3.28911e+06,11.228,19.111,38.3644
52,3.28917e+06,11.029,15.38,38.3994
53,3.28943e+06,12.945,15.142,37.8244
54,3.28978e+06,13.666,15.301,43.1158
55,3.29099e+06,11.605,15.052,37.7195
56,3.29122e+06,2.123,15.118,35.3924
57,3.29123e+06,13.028,15.499,38.6869
58,3.29177e+06,13.421,15.418,39.899
59,3.29198e+06,2.372,15.031,35.1282
60,3.29202e+06,11.321,15.142,38.1507
61,3.29232e+06,15.623,15.546,38.582
62,3.29238e+06,10.791,15.195,38.3061
63,3.29239e+06,11.406,15.349,38.5392
64,3.29286e+06,13.719,15.279,38.9977
65,3.29359e+06,11.428,15.24,38.0886
66,3.29424e+06,11.42,15.187,37.3038
67,3.29432e+06,1.223,15.379,35.0699
68,3.29443e+06,1.803,15.367,35.5866
69,3.2949e+06,10.532,15.251,37.9099
70,3.29524e+06,11.572,16.406,38.0963
71,3.29625e+06,11.236,15.219,39.1259
72,3.29712e+06,11.212,15.57,37.467
73,3.29803e+06,11.48,15.158,37.9138
74,3.29871e+06,10.886,15.395,37.5835
75,3.29877e+06,12.796,15.225,39.0987
76,3.29908e+06,11.657,15.496,39.4017
77,3.29918e+06,10.594,15.94,38.446
78,3.29982e+06,11.186,15.482,38.7918
79,3.3004e+06,10.545,15.486,38.6597
80,3.30111e+06,16.068,15.193,39.2774
81,3.30126e+06,11.164,15.164,37.1251
82,3.30225e+06,10.953,15.134,40.3497
83,3.30278e+06,11.54,15.234,37.3232
84,3.30285e+06,13.001,15.329,37.8904
85,3.30346e+06,1.899,14.985,34.3862
86,3.30452e+06,13.312,15.668,38.4305
87,3.30618e+06,12.816,15.173,37.4631
88,3.30669e+06,11.722,15.372,38.0148
89,3.3069e+06,11.094,15.308,38.1663
90,3.30705e+06,10.583,15.307,37.8827
91,3.30775e+06,10.886,16.847,37.7933
92,3.30995e+06,11.773,15.375,38.9005
93,3.31067e+06,11.696,15.315,39.2075
94,3.3107e+06,11.686,15.225,38.1624
95,3.31306e+06,10.606,15.427,37.8477
96,3.31331e+06,11.14,15.25,37.972
97,3.31455e+06,13.546,15.138,37.6807
98,3.31664e+06,10.963,15.212,38.0769
99,3.32626e+06,10.984,15.919,37.6185
