id,cost,hd_time,ls_time,diversity
0,1.35126e+06,1.834,4.367,40.6481
1,1.35306e+06,1.584,4.341,37.7064
2,1.35634e+06,1.829,4.142,38.9796
3,1.35723e+06,1.579,4.43,39.4187
4,1.36328e+06,1.595,4.642,40.0773
5,1.36698e+06,1.82,4.257,37.759
6,1.36716e+06,0.127,4.35,35.432
7,1.36787e+06,1.557,4.36,39.4977
8,1.36845e+06,1.866,4.54,39.8929
9,1.36921e+06,1.61,4.25,37.7239
10,1.36932e+06,1.865,4.488,39.4977
11,1.37041e+06,0.125,4.129,36.5824
12,1.37045e+06,1.589,4.51,37.6625
13,1.3705e+06,1.873,4.217,37.8117
14,1.37062e+06,1.554,4.467,37.8469
15,1.37093e+06,1.874,4.335,37.522
16,1.37111e+06,1.828,4.08,38.5581
17,1.3721e+06,1.824,4.328,37.8556
18,1.37245e+06,1.614,4.292,38.8655
19,1.37272e+06,0.134,4.075,36.3102
20,1.37279e+06,1.549,4.145,39.0148
21,1.37355e+06,1.59,4.306,40.7885
22,1.37452e+06,1.579,4.593,39.6909
23,1.37496e+06,1.854,4.339,39.006
24,1.37518e+06,1.601,8.093,40.3495
25,1.37553e+06,1.839,4.434,38.1805
26,1.37553e+06,1.876,4.562,40.1563
27,1.37592e+06,1.532,4.399,39.9456
28,1.37642e+06,1.548,4.316,37.32
29,1.37678e+06,1.602,4.126,38.7162
30,1.37739e+06,1.589,4.352,39.2255
31,1.3777e+06,0.182,4.221,37.1092
32,1.37791e+06,1.56,4.26,39.4889
33,1.37806e+06,1.612,4.236,39.1201
34,1.37848e+06,1.835,4.38,40.2266
35,1.37961e+06,0.122,4.225,35.7745
36,1.38033e+06,1.518,4.563,38.6811
37,1.38078e+06,1.547,4.152,39.3836
38,1.38086e+06,1.851,4.17,37.882
39,1.38116e+06,1.852,4.419,40.5866
40,1.38202e+06,1.598,4.044,39.1904
41,1.38215e+06,0.157,4.026,35.5901
42,1.38319e+06,1.562,4.251,38.1191
43,1.38319e+06,1.538,4.389,38.602
44,1.38321e+06,1.879,4.297,38.1191
45,1.38371e+06,0.166,4.31,36.1345
46,1.38374e+06,1.575,4.208,38.8303
47,1.38407e+06,1.545,3.949,38.7338
48,1.38478e+06,1.594,4.218,37.3112
49,1.38523e+06,1.566,4.42,38.7777
50,1.38563e+06,1.546,4.288,39.1553
51,1.38584e+06,1.534,4.142,38.7952
52,1.386e+06,1.541,4.396,39.9807
53,1.38652e+06,1.593,4.124,37.803
54,1.38666e+06,1.576,4.311,40.0246
55,1.38669e+06,1.588,4.032,39.0235
56,1.38731e+06,1.611,4.305,37.7327
57,1.38755e+06,1.59,4.341,40.569
58,1.38847e+06,1.606,4.26,37.0478
59,1.38859e+06,1.549,4.163,40.1475
60,1.38899e+06,1.52,4.745,37.478
61,1.3892e+06,1.61,4.226,40.2441
62,1.38941e+06,1.594,4.431,38.9445
63,1.38955e+06,1.824,4.34,39.8051
64,1.38959e+06,1.86,4.348,37.5132
65,1.3896e+06,1.577,4.394,39.1026
66,1.38973e+06,1.579,4.322,39.6909
67,1.38999e+06,1.606,4.325,37.9347
68,1.39014e+06,1.579,4.221,39.4362
69,1.39019e+06,1.602,4.39,40.3407
70,1.39022e+06,1.572,4.196,37.3902
71,1.39031e+06,1.877,4.173,38.0137
72,1.39068e+06,1.574,4.49,39.1992
73,1.3908e+06,1.538,4.352,39.9631
74,1.39124e+06,1.535,4.199,40.5339
75,1.39248e+06,1.546,3.936,38.7074
76,1.39259e+06,1.588,4.33,39.1728
77,1.39269e+06,1.532,4.355,39.568
78,1.39313e+06,1.546,4.197,39.7787
79,1.39334e+06,1.567,4.086,39.849
80,1.39346e+06,1.61,4.387,37.601
81,1.3939e+06,1.859,4.279,40.973
82,1.39443e+06,1.598,4.007,37.1005
83,1.39448e+06,1.622,4.281,36.758
84,1.3947e+06,1.604,4.134,38.2859
85,1.39644e+06,1.614,4.141,39.3572
86,1.3971e+06,1.524,4.293,40.7007
87,1.39741e+06,1.537,4.075,38.5933
88,1.39743e+06,1.56,4.126,38.8303
89,1.39758e+06,1.546,4.412,38.8216
90,1.39779e+06,1.581,4.453,40.4724
91,1.39942e+06,1.866,4.214,38.2244
92,1.40082e+06,1.834,4.39,37.5483
93,1.40232e+06,1.589,4.296,38.2332
94,1.40379e+06,1.534,4.252,39.3923
95,1.40512e+06,1.517,4.089,37.6537
96,1.40611e+06,1.596,4.037,39.0674
97,1.40621e+06,1.577,4.266,39.0148
98,1.41115e+06,1.894,4.185,40.0773
99,1.41276e+06,1.545,4.157,38.3737
