id,cost,hd_time,ls_time,diversity
0,3.28444e+06,1.714,1.925,60.0279
1,3.29089e+06,4.258,1.894,64.0623
2,3.29549e+06,2.485,1.817,59.4233
3,3.29643e+06,2.031,1.752,59.3187
4,3.29787e+06,1.993,1.914,59.4233
5,3.29931e+06,2.462,1.804,59.2722
6,3.29952e+06,1.652,1.847,59.714
7,3.30172e+06,2.258,1.801,60.4813
8,3.30297e+06,4.883,1.892,64.3065
9,3.30413e+06,3.012,1.914,62.7136
10,3.3048e+06,1.528,1.796,59.1443
11,3.30637e+06,3.406,1.804,63.2717
12,3.30675e+06,2.922,1.811,61.8765
13,3.30827e+06,0.972,1.806,55.9935
14,3.30839e+06,3.046,1.778,61.7603
15,3.30974e+06,3.312,1.828,62.8299
16,3.31226e+06,5.1,1.873,65.9226
17,3.3145e+06,3.256,1.681,63.4229
18,3.31617e+06,0.952,1.847,55.1448
19,3.31896e+06,4.079,1.794,63.8763
20,3.31896e+06,2.064,1.765,59.4931
21,3.31948e+06,4.079,1.829,62.7834
22,3.31954e+06,3.736,1.779,62.6904
23,3.3198e+06,1.615,1.802,57.8537
24,3.32054e+06,4.032,1.739,63.6321
25,3.32068e+06,3.873,1.873,64.2716
26,3.32113e+06,3.32,1.858,63.0973
27,3.3216e+06,0.78,1.672,51.6684
28,3.32211e+06,1.052,1.765,56.1911
29,3.32246e+06,4.061,1.797,63.6438
30,3.32381e+06,4.714,1.758,63.9344
31,3.32402e+06,4.998,1.741,65.2482
32,3.32419e+06,1.499,1.797,56.5981
33,3.32466e+06,4.83,1.802,65.3412
34,3.3258e+06,3.356,1.805,63.6205
35,3.32589e+06,1.884,1.805,57.9816
36,3.32595e+06,2.284,1.775,61.0394
37,3.32711e+06,3.03,1.822,60.8069
38,3.32748e+06,4.902,1.794,65.1203
39,3.32828e+06,0.8,1.714,52.8078
40,3.32856e+06,4.487,1.754,64.1088
41,3.32881e+06,4.237,1.737,63.7717
42,3.3291e+06,0.808,1.704,52.7264
43,3.32912e+06,4.66,1.878,64.7367
44,3.33039e+06,2.253,1.871,61.8533
45,3.33075e+06,3.657,1.832,62.1091
46,3.33076e+06,1.907,1.754,59.121
47,3.33088e+06,2.97,1.799,59.5745
48,3.33156e+06,3.594,1.797,63.481
49,3.33158e+06,4.281,1.846,64.2483
50,3.33183e+06,2.601,1.762,61.2022
51,3.33232e+06,3.826,1.879,63.6205
52,3.3324e+06,3.059,1.774,61.4463
53,3.33246e+06,2.077,1.86,59.993
54,3.33305e+06,0.93,1.714,53.2264
55,3.33311e+06,4.096,1.845,64.0274
56,3.33556e+06,2.575,1.8,59.5628
57,3.33598e+06,3.807,1.791,62.981
58,3.33609e+06,1.016,1.759,56.1911
59,3.33748e+06,0.783,1.719,56.1446
60,3.33775e+06,3.974,1.734,63.3764
61,3.33785e+06,4.846,1.9,64.8297
62,3.33956e+06,2.723,2.265,60.2604
63,3.34012e+06,1.105,1.741,55.447
64,3.34109e+06,1.876,1.889,58.3769
65,3.34117e+06,2.275,1.773,60.2721
66,3.34132e+06,0.796,1.75,55.5284
67,3.342e+06,2.94,1.621,61.5626
68,3.34247e+06,2.967,1.844,62.016
69,3.34299e+06,1.194,1.835,56.4934
70,3.34348e+06,2.426,1.891,60.2953
71,3.34368e+06,0.823,1.754,56.6446
72,3.34375e+06,2.454,1.76,59.8884
73,3.34392e+06,2.262,1.79,61.2603
74,3.3442e+06,3.276,1.793,62.3997
75,3.34422e+06,1.488,1.801,56.6562
76,3.34496e+06,1.526,1.735,56.5748
77,3.34546e+06,4.381,1.657,63.7717
78,3.34639e+06,2.796,1.738,60.8534
79,3.34775e+06,4.379,1.92,63.9926
80,3.34969e+06,2.704,1.795,59.7837
81,3.35027e+06,0.916,1.75,53.0752
82,3.35044e+06,3.583,1.81,63.5275
83,3.35061e+06,1.767,1.834,60.2023
84,3.35077e+06,3.996,1.773,63.6205
85,3.3512e+06,3.969,1.754,64.1902
86,3.35178e+06,1.483,1.719,56.226
87,3.35185e+06,1.282,1.726,57.4236
88,3.35237e+06,2.772,1.818,61.1789
89,3.35274e+06,0.784,1.733,54.2379
90,3.35363e+06,2.342,1.821,61.2254
91,3.35437e+06,2.062,1.777,59.9814
92,3.35747e+06,4.266,1.795,63.667
93,3.35797e+06,3.187,1.767,61.9114
94,3.36243e+06,2.057,1.797,60.5162
95,3.36432e+06,1.864,1.806,58.5746
96,3.36438e+06,1.764,1.816,59.2722
97,3.37363e+06,5.341,1.785,67.062
98,3.41744e+06,2.657,1.748,61.8416
