id,cost,hd_time,ls_time,diversity
0,1.84518e+06,0.332,0.262,85.5216
1,1.85615e+06,0.189,0.264,84.4481
2,1.85648e+06,0.234,0.248,83.3196
3,1.86264e+06,0.112,0.283,75.0895
4,1.86665e+06,0.312,0.281,85.8519
5,1.86778e+06,0.191,0.283,85.1638
6,1.8682e+06,0.124,0.275,81.5855
7,1.87092e+06,0.187,0.265,82.8516
8,1.87169e+06,0.253,0.289,85.2188
9,1.87326e+06,0.19,0.278,82.6039
10,1.87357e+06,0.282,0.285,84.4756
11,1.87583e+06,0.127,0.264,80.8148
12,1.87616e+06,0.232,0.266,84.2554
13,1.87738e+06,0.213,0.266,82.1635
14,1.87749e+06,0.249,0.289,84.3931
15,1.87774e+06,0.187,0.251,84.6133
16,1.87876e+06,0.114,0.278,75.6124
17,1.87922e+06,0.3,0.264,85.7143
18,1.87933e+06,0.218,0.276,85.2464
19,1.87934e+06,0.322,0.251,84.916
20,1.87938e+06,0.076,0.259,69.0063
21,1.88042e+06,0.226,0.255,83.4297
22,1.88064e+06,0.125,0.253,76.0528
23,1.8812e+06,0.188,0.285,84.5032
24,1.88193e+06,0.204,0.278,82.136
25,1.88213e+06,0.155,0.286,82.2736
26,1.88252e+06,0.156,0.273,81.613
27,1.88252e+06,0.224,0.271,84.9986
28,1.88265e+06,0.281,0.263,85.4941
29,1.88284e+06,0.214,0.266,82.0259
30,1.88422e+06,0.195,0.27,83.0994
31,1.88465e+06,0.145,0.281,81.5579
32,1.8854e+06,0.249,0.25,85.9345
33,1.88577e+06,0.311,0.266,86.0446
34,1.88582e+06,0.281,0.25,85.7418
35,1.88592e+06,0.125,0.272,81.3653
36,1.88628e+06,0.282,0.274,84.916
37,1.88701e+06,0.132,0.259,84.0352
38,1.8871e+06,0.124,0.253,74.9243
39,1.88716e+06,0.186,0.261,85.2464
40,1.88763e+06,0.24,0.28,84.1178
41,1.88783e+06,0.195,0.25,84.5307
42,1.88866e+06,0.191,0.254,82.2736
43,1.88922e+06,0.187,0.258,83.7049
44,1.88939e+06,0.219,0.283,84.1453
45,1.88959e+06,0.187,0.249,82.3562
46,1.88961e+06,0.097,0.252,74.9518
47,1.89104e+06,0,0.266,72.2543
48,1.89107e+06,0.158,0.285,82.9342
49,1.89205e+06,0.094,0.236,66.997
50,1.89206e+06,0.101,0.243,74.0435
51,1.89219e+06,0.199,0.307,85.1087
52,1.89246e+06,0.246,0.297,86.2097
53,1.89275e+06,0.148,0.29,84.3105
54,1.89292e+06,0.156,0.244,82.6865
55,1.89299e+06,0.097,0.227,67.4924
56,1.8943e+06,0.234,0.269,84.3105
57,1.89494e+06,0.103,0.25,77.0438
58,1.89502e+06,0.219,0.265,85.4115
59,1.89612e+06,0.214,0.285,83.4021
60,1.89642e+06,0.204,0.265,83.3746
61,1.89682e+06,0.087,0.22,74.7867
62,1.89759e+06,0.279,0.282,84.6133
63,1.89782e+06,0.26,0.266,85.6868
64,1.89848e+06,0.188,0.273,85.0261
65,1.89898e+06,0.129,0.268,81.5304
66,1.89911e+06,0.253,0.258,85.3014
67,1.8997e+06,0.297,0.296,85.4115
68,1.90246e+06,0.09,0.26,75.0069
69,1.90323e+06,0.125,0.295,81.2276
70,1.9035e+06,0.095,0.215,75.8877
71,1.90375e+06,0.154,0.273,82.2461
72,1.90496e+06,0.149,0.281,82.0809
73,1.90592e+06,0.143,0.268,80.0991
74,1.90593e+06,0.298,0.281,85.5216
75,1.90603e+06,0.219,0.269,84.5582
76,1.90655e+06,0.126,0.256,81.6405
77,1.90659e+06,0.125,0.277,81.7781
78,1.90662e+06,0.071,0.256,76.4107
79,1.90676e+06,0.188,0.265,83.292
80,1.90772e+06,0.114,0.261,76.0253
81,1.90987e+06,0.211,0.247,83.8701
82,1.9102e+06,0.232,0.27,84.5582
83,1.91149e+06,0.175,0.295,82.1635
84,1.91211e+06,0.171,0.286,81.3653
85,1.91288e+06,0.257,0.269,85.4666
86,1.91358e+06,0.126,0.243,80.9799
87,1.91365e+06,0.184,0.256,84.3655
88,1.91404e+06,0.137,0.251,82.191
89,1.91407e+06,0.219,0.256,84.2279
90,1.91719e+06,0.308,0.274,85.1087
91,1.91874e+06,0.219,0.263,85.0812
92,1.91974e+06,0.094,0.226,75.8877
93,1.85926e+06,0.189,0.264,84.9711
94,1.87577e+06,0.157,0.27,55.8216
95,1.87641e+06,0.157,0.27,55.684
96,1.87841e+06,0.282,0.285,85.3565
97,1.87885e+06,0.187,0.265,84.338
98,1.88041e+06,0.127,0.264,82.6314
99,1.88085e+06,0.322,0.251,85.907
100,1.88125e+06,0.224,0.271,85.3289
101,1.88271e+06,0.232,0.266,85.7143
102,1.88287e+06,0.107,0.294,54.0875
103,1.88424e+06,0.204,0.258,58.3265
104,1.88548e+06,0.107,0.294,54.0875
105,1.88757e+06,0.195,0.25,85.2188
106,1.88761e+06,0.155,0.286,83.3196
107,1.88872e+06,0.249,0.25,85.3565
108,1.88997e+06,0.273,0.265,58.9871
109,1.89035e+06,0.204,0.258,58.2439
110,1.89082e+06,0.124,0.253,76.9612
111,1.89141e+06,0.187,0.251,85.5767
112,1.89207e+06,0.273,0.265,58.9871
113,1.89242e+06,0.158,0.285,82.9617
114,1.89461e+06,0.234,0.269,85.439
115,1.89528e+06,0.251,0.293,58.877
116,1.89603e+06,0.288,0.257,57.4181
117,1.89687e+06,0.288,0.257,57.3906
118,1.89925e+06,0.253,0.258,85.0537
119,1.89959e+06,0.214,0.285,84.3655
120,1.901e+06,0.251,0.293,58.877
