id,cost,hd_time,ls_time,diversity
0,3.2341e+06,78.939,15.293,51.7483
1,3.23464e+06,67.476,15.902,51.7327
2,3.23684e+06,96.937,15.625,54.1453
3,3.2388e+06,64.89,15.453,51.519
4,3.24071e+06,89.674,15.826,52.669
5,3.24137e+06,74.594,16.081,51.8959
6,3.24502e+06,90.549,15.322,53.6674
7,3.24553e+06,90.539,15.899,53.8384
8,3.24746e+06,104.046,15.856,54.2347
9,3.24809e+06,35.81,15.41,49.2269
10,3.24841e+06,67.68,15.397,51.8182
11,3.2491e+06,74.193,15.646,51.7211
12,3.25023e+06,35.256,15.768,48.6636
13,3.25139e+06,117.86,22.414,53.9472
14,3.25184e+06,15.329,15.393,47.8594
15,3.25189e+06,20.564,15.646,47.0008
16,3.25242e+06,32.437,15.742,49.4289
17,3.25394e+06,78.158,15.24,52.9565
18,3.25409e+06,127.718,15.332,54.4872
19,3.25443e+06,40.42,15.626,50.5167
20,3.25455e+06,93.108,15.456,53.7257
21,3.25476e+06,28.085,15.485,48.3566
22,3.25494e+06,79.343,15.295,52.0357
23,3.25497e+06,110.127,15.59,54.4949
24,3.25547e+06,110.126,22.267,54.2385
25,3.25587e+06,106.117,15.563,54.596
26,3.25649e+06,132.11,15.543,55.8353
27,3.2565e+06,71.384,16.348,52.3815
28,3.25669e+06,104.737,15.569,53.8656
29,3.25675e+06,101.936,15.542,53.6597
30,3.25682e+06,117.486,16.076,54.4716
31,3.25713e+06,138.19,15.533,55.2331
32,3.25731e+06,121.71,15.493,55.2758
33,3.2577e+06,89.749,21.768,52.8632
34,3.25796e+06,135.723,15.507,55.9713
35,3.25813e+06,103.608,15.363,54.5571
36,3.25839e+06,74.343,15.601,51.0956
37,3.25882e+06,115.397,15.191,54.4872
38,3.25886e+06,100.355,15.543,54.2152
39,3.25951e+06,88.266,15.638,53.9161
40,3.25983e+06,114.98,15.514,55.3924
41,3.2599e+06,147.219,23.203,55.1049
42,3.26004e+06,39.73,15.64,50.5206
43,3.26115e+06,93.337,15.41,53.38
44,3.26159e+06,86.937,15.676,52.6845
45,3.26163e+06,55.472,15.411,51.418
46,3.26182e+06,91.138,16.628,53.7102
47,3.26197e+06,38.995,15.142,49.5144
48,3.26216e+06,105.868,15.314,53.7918
49,3.26262e+06,60.036,15.216,51.655
50,3.26277e+06,93.686,15.393,53.4305
51,3.26286e+06,60.808,15.896,51.7483
52,3.2629e+06,88.301,15.433,53.7529
53,3.26326e+06,33.948,15.547,48.5781
54,3.26354e+06,20.834,15.209,47.397
55,3.26534e+06,78.495,15.494,53.3178
56,3.26607e+06,99.984,15.552,54.0831
57,3.26665e+06,16.059,15.188,45.9246
58,3.26665e+06,34.027,15.156,49.5455
59,3.26668e+06,36.843,15.286,49.3357
60,3.26723e+06,44.977,15.219,51.2782
61,3.2678e+06,73.118,15.365,52.1562
62,3.26782e+06,30.708,15.272,49.2696
63,3.26802e+06,34.31,15.517,49.1181
64,3.26817e+06,85.11,15.642,53.1119
65,3.26875e+06,89.359,15.457,53.3683
66,3.26894e+06,113.045,15.393,53.9938
67,3.26922e+06,57.995,15.519,51.7366
68,3.27051e+06,112.733,15.249,54.1531
69,3.2706e+06,57.518,15.328,52.5835
70,3.27073e+06,19.11,15.513,48.4266
71,3.27287e+06,63.08,15.18,51.7754
72,3.27374e+06,22.606,15.536,49.2269
73,3.27387e+06,84.403,15.939,52.8671
74,3.27455e+06,28.261,15.249,48.143
75,3.27513e+06,97.829,15.697,53.2673
76,3.27521e+06,134.559,15.294,55.575
77,3.2761e+06,89.701,15.196,52.9176
78,3.27654e+06,22.218,15.314,47.6651
79,3.27732e+06,47.045,15.188,51.2898
80,3.27734e+06,22.4,15.235,48.9744
81,3.27792e+06,98.651,15.584,53.4965
82,3.27941e+06,90.983,15.585,52.8244
83,3.27951e+06,25.8,15.191,48.2051
84,3.27952e+06,20.344,15.187,47.2183
85,3.28002e+06,25.547,16.231,47.9099
86,3.2815e+06,29.575,15.531,49.157
87,3.28182e+06,74.058,15.511,52.23
88,3.28265e+06,43.595,15.392,50.2525
89,3.28295e+06,19.03,15.28,46.9852
90,3.28334e+06,73.718,15.349,52.6301
91,3.28403e+06,119.513,15.301,54.7475
92,3.28734e+06,52.503,16.061,51.2044
93,3.28808e+06,126.686,15.473,55.2486
94,3.28826e+06,20.408,15.31,49.2735
95,3.2886e+06,33.597,15.229,48.9705
96,3.2918e+06,18.609,15.327,46.0256
97,3.2936e+06,13.996,15.248,48.1546
98,3.30484e+06,13.556,14.82,49.0482
99,3.30826e+06,18.293,15.033,47.5253
