id,cost,hd_time,ls_time,diversity
0,3.29474e+06,0.958,1.821,50.3546
1,3.29932e+06,0.759,1.77,52.9125
2,3.30132e+06,1.026,1.783,54.1797
3,3.3038e+06,0.751,1.701,51.8428
4,3.30485e+06,0.922,1.783,50.8662
5,3.30624e+06,1.1,1.75,55.0052
6,3.30732e+06,0.953,1.798,54.1681
7,3.31092e+06,0.808,1.798,51.9242
8,3.31121e+06,1.104,1.796,56.0865
9,3.31127e+06,0.922,1.798,51.1801
10,3.31211e+06,0.932,1.687,52.1218
11,3.31305e+06,0.833,1.771,55.0982
12,3.31357e+06,0.783,1.735,51.2382
13,3.31472e+06,0.985,1.746,55.0169
14,3.3168e+06,0.828,1.77,54.4007
15,3.3169e+06,1.11,1.752,56.4353
16,3.31773e+06,0.908,1.785,49.5756
17,3.31782e+06,0.922,1.687,51.3429
18,3.31794e+06,1.14,1.785,55.2494
19,3.31848e+06,0.934,1.751,52.8659
20,3.31906e+06,1.102,1.778,53.4822
21,3.31914e+06,0.945,1.749,50.7267
22,3.31964e+06,0.921,1.99,51.3777
23,3.31976e+06,0.924,1.707,50.4127
24,3.31983e+06,0.938,1.71,50.4011
25,3.32044e+06,0.937,1.675,52.9357
26,3.32085e+06,1.069,1.769,54.0984
27,3.32103e+06,0.933,1.706,51.122
28,3.32268e+06,1.01,1.759,53.6798
29,3.32305e+06,1.007,1.744,52.552
30,3.32472e+06,0.935,1.696,52.8078
31,3.32518e+06,0.919,1.73,52.3776
32,3.32571e+06,0.933,1.771,51.6103
33,3.32691e+06,0.826,1.653,47.4829
34,3.32761e+06,1.109,1.87,52.8427
35,3.32785e+06,1.041,1.75,53.4705
36,3.32832e+06,1.003,1.766,53.3543
37,3.32864e+06,0.94,1.722,51.5521
38,3.32883e+06,0.968,1.769,52.5753
39,3.32899e+06,1.266,1.751,55.6796
40,3.32904e+06,0.921,1.714,49.9709
41,3.32922e+06,0.948,1.75,50.808
42,3.32922e+06,0.93,1.797,52.4474
43,3.33037e+06,1.22,1.723,53.9007
44,3.33108e+06,0.957,1.642,53.6798
45,3.33134e+06,0.934,1.789,52.459
46,3.33235e+06,0.982,1.758,53.5519
47,3.33281e+06,0.799,1.7,49.8779
48,3.33324e+06,1.064,1.846,55.2726
49,3.33375e+06,0.954,1.752,51.0173
50,3.33395e+06,1.201,1.823,55.5401
51,3.33443e+06,0.971,1.788,47.3666
52,3.33556e+06,1.079,1.72,53.0636
53,3.33558e+06,0.794,1.753,50.622
54,3.336e+06,0.934,1.767,50.7964
55,3.33752e+06,0.937,1.734,49.4594
56,3.33788e+06,1.102,1.891,54.389
57,3.33841e+06,1.329,1.814,55.3308
58,3.33866e+06,0.784,1.73,50.7383
59,3.33898e+06,0.984,1.727,54.0635
60,3.33927e+06,0.989,1.819,53.7379
61,3.33944e+06,0.94,1.683,50.8894
62,3.34122e+06,0.811,1.75,47.0062
63,3.34164e+06,1.059,1.77,53.7612
64,3.34182e+06,1.1,1.758,53.9472
65,3.34392e+06,0.931,1.682,54.2611
66,3.34457e+06,0.904,1.716,50.6336
67,3.34656e+06,0.928,1.73,51.4475
68,3.34666e+06,0.073,1.61,49.1803
69,3.34675e+06,0.793,1.668,48.7734
70,3.34699e+06,1.14,1.806,56.7492
71,3.34873e+06,0.797,1.685,51.2964
72,3.34874e+06,1.102,1.643,53.1915
73,3.34893e+06,0.936,1.792,53.2031
74,3.34912e+06,1.058,1.781,54.4588
75,3.34979e+06,0.948,1.745,51.7847
76,3.3506e+06,0.908,1.735,50.9708
77,3.35297e+06,0.981,1.683,48.6804
78,3.35543e+06,0.848,1.643,46.7504
79,3.35592e+06,0.814,1.723,48.1572
80,3.35661e+06,0.792,1.702,51.7847
81,3.35729e+06,0.983,1.713,55.0052
82,3.35785e+06,1.06,1.707,53.9472
83,3.36216e+06,1.01,1.691,54.0286
84,3.36233e+06,1.041,1.763,56.3307
85,3.36464e+06,0.795,1.75,55.0169
86,3.36529e+06,0.843,1.685,47.3317
87,3.36562e+06,1.14,1.801,55.5168
88,3.36577e+06,1.032,1.724,54.575
89,3.36628e+06,1.029,1.765,55.3424
90,3.36762e+06,0.937,1.727,53.0287
91,3.36763e+06,0.963,1.703,55.3657
92,3.36922e+06,1.033,1.797,55.4587
93,3.36948e+06,0.98,1.766,47.8316
94,3.37109e+06,1.032,1.685,54.8773
95,3.37243e+06,1.178,1.72,54.0635
96,3.38231e+06,0.965,1.769,54.9006
97,3.38632e+06,1.068,1.793,54.9355
98,3.38992e+06,0.965,1.769,55.4819
99,3.38998e+06,1.007,1.736,53.6333
100,3.31437e+06,0.751,1.701,57.2957
101,3.31935e+06,1.14,1.785,57.7258
102,3.32739e+06,0.921,1.99,57.377
103,3.35161e+06,1.058,1.781,58.6792
104,3.36941e+06,1.029,1.765,57.7491
105,3.37329e+06,0.843,1.685,57.7258
