id,cost,hd_time,ls_time,diversity
0,1.8629e+06,0.11,0.261,75.9427
1,1.86396e+06,0.122,0.297,79.1357
2,1.86427e+06,0.095,0.255,71.4286
3,1.86483e+06,0.11,0.248,78.0072
4,1.86804e+06,0.139,0.267,78.3099
5,1.87056e+06,0.122,0.267,75.4198
6,1.87084e+06,0.113,0.272,78.1448
7,1.8728e+06,0.112,0.261,74.3738
8,1.87288e+06,0.125,0.263,79.5211
9,1.87298e+06,0.128,0.286,78.42
10,1.87559e+06,0.108,0.26,76.6859
11,1.87594e+06,0.12,0.281,79.1357
12,1.87646e+06,0.131,0.273,77.5117
13,1.87736e+06,0.085,0.255,66.9144
14,1.87738e+06,0.089,0.263,71.0983
15,1.87797e+06,0.124,0.286,78.4751
16,1.88035e+06,0.078,0.249,71.401
17,1.88154e+06,0.119,0.253,75.695
18,1.88164e+06,0.138,0.267,77.8971
19,1.88276e+06,0.09,0.245,72.8599
20,1.88309e+06,0.103,0.236,74.8693
21,1.88369e+06,0.153,0.263,78.1173
22,1.88385e+06,0.126,0.281,77.2364
23,1.88408e+06,0.104,0.266,71.1258
24,1.88452e+06,0.11,0.255,79.1908
25,1.88591e+06,0.123,0.265,73.1902
26,1.88595e+06,0.132,0.248,75.5299
27,1.88629e+06,0,0.244,61.3267
28,1.88722e+06,0.087,0.282,71.2359
29,1.88744e+06,0.099,0.278,76.218
30,1.8877e+06,0.101,0.286,73.7132
31,1.88832e+06,0.107,0.247,78.6402
32,1.88872e+06,0.097,0.256,78.7503
33,1.8892e+06,0.103,0.238,72.1718
34,1.88923e+06,0.109,0.271,69.3091
35,1.88962e+06,0.094,0.265,71.3735
36,1.8898e+06,0.126,0.265,77.4016
37,1.89014e+06,0.143,0.25,77.5117
38,1.89026e+06,0.118,0.267,79.466
39,1.89062e+06,0.108,0.266,72.9975
40,1.89101e+06,0.104,0.252,69.6669
41,1.89108e+06,0.096,0.251,72.0617
42,1.89112e+06,0.093,0.251,70.7129
43,1.89123e+06,0.118,0.256,77.1263
44,1.89184e+06,0.125,0.264,78.0347
45,1.89216e+06,0.094,0.238,68.6485
46,1.89241e+06,0.121,0.236,77.6493
47,1.89247e+06,0.109,0.252,73.7132
48,1.89317e+06,0.126,0.261,76.2455
49,1.89357e+06,0.1,0.244,77.1539
50,1.89362e+06,0.092,0.283,77.9521
51,1.89422e+06,0.094,0.256,69.144
52,1.89428e+06,0.111,0.284,72.9149
53,1.89442e+06,0.071,0.254,70.7955
54,1.89468e+06,0.093,0.269,77.1263
55,1.89498e+06,0.095,0.254,66.474
56,1.89534e+06,0.098,0.239,67.4099
57,1.89579e+06,0.094,0.248,71.1808
58,1.89601e+06,0.015,0.251,65.6207
59,1.89617e+06,0.101,0.243,68.0705
60,1.89624e+06,0.109,0.267,78.4476
61,1.89658e+06,0.084,0.25,69.8871
62,1.89878e+06,0.104,0.243,72.9425
63,1.89883e+06,0.096,0.284,77.8695
64,1.89886e+06,0.124,0.261,78.1173
65,1.89925e+06,0.095,0.22,73.1627
66,1.89963e+06,0.093,0.251,63.281
67,1.89993e+06,0.092,0.233,76.7685
68,1.9e+06,0.094,0.234,67.2447
69,1.90088e+06,0.086,0.266,73.8783
70,1.90124e+06,0.119,0.251,77.2089
71,1.90135e+06,0.097,0.262,72.6672
72,1.90149e+06,0.102,0.344,76.163
73,1.9019e+06,0.109,0.257,67.52
74,1.9039e+06,0.094,0.298,68.5384
75,1.9039e+06,0.125,0.255,74.7316
76,1.90413e+06,0.126,0.254,71.5662
77,1.9042e+06,0.125,0.281,80.3743
78,1.90659e+06,0.134,0.252,78.1998
79,1.90873e+06,0.095,0.244,73.6857
80,1.91022e+06,0.091,0.256,78.1173
81,1.91058e+06,0.063,0.219,64.0517
82,1.91097e+06,0.011,0.222,61.3818
83,1.91154e+06,0.095,0.228,77.7044
84,1.91168e+06,0.104,0.256,77.5392
85,1.91389e+06,0.094,0.218,62.3727
86,1.91428e+06,0.107,0.26,72.9425
87,1.91546e+06,0.124,0.265,77.1539
88,1.9171e+06,0.109,0.252,71.1258
89,1.92057e+06,0.093,0.27,74.1261
90,1.92861e+06,0.094,0.242,72.6672
91,1.86513e+06,0.095,0.255,73.8783
92,1.87163e+06,0.086,0.25,45.8024
93,1.87179e+06,0.11,0.248,80.9799
94,1.87453e+06,0.101,0.249,48.4448
95,1.87474e+06,0.093,0.227,54.2802
96,1.87552e+06,0.126,0.255,55.7391
97,1.87583e+06,0.101,0.249,48.5549
98,1.87707e+06,0.143,0.361,51.7203
99,1.87818e+06,0.131,0.273,77.787
100,1.87834e+06,0.126,0.255,55.5739
101,1.87986e+06,0.089,0.263,73.8233
102,1.88091e+06,0.085,0.255,63.3361
103,1.88151e+06,0.093,0.227,53.5921
104,1.88267e+06,0.143,0.361,51.6102
105,1.88314e+06,0.125,0.263,81.09
106,1.8846e+06,0.124,0.292,54.9959
107,1.88479e+06,0.11,0.255,80.2918
108,1.88532e+06,0.124,0.292,54.9408
109,1.8865e+06,0.155,0.27,52.8214
110,1.88655e+06,0.099,0.278,76.1079
111,1.88863e+06,0.086,0.25,45.362
112,1.88878e+06,0.078,0.249,71.2359
113,1.89038e+06,0.109,0.271,76.218
114,1.89113e+06,0.155,0.27,52.7938
115,1.89193e+06,0.103,0.238,76.8511
116,1.89407e+06,0.097,0.256,80.2642
117,1.89473e+06,0.093,0.269,76.9612
118,1.89477e+06,0.094,0.265,70.3551
119,1.89495e+06,0.084,0.25,63.7214
120,1.89516e+06,0.107,0.247,80.0716
121,1.89596e+06,0.132,0.248,76.5483
122,1.89643e+06,0.094,0.248,75.1445
123,1.89776e+06,0.015,0.251,69.6394
124,1.90105e+06,0.109,0.252,73.1352
125,1.9035e+06,0.083,0.229,43.8481
126,1.90444e+06,0.096,0.257,50.1789
127,1.90694e+06,0.083,0.229,43.7655
128,1.90695e+06,0.096,0.257,50.5918
129,1.91246e+06,0.094,0.298,73.4104
130,1.91252e+06,0.104,0.256,77.3741
131,1.91261e+06,0.011,0.222,67.6851
132,1.91816e+06,0.095,0.228,76.1079
