id,cost,hd_time,ls_time,diversity
0,3.41875e+06,11.193,18.175,39.4871
1,3.45689e+06,15.634,17.697,42.7736
2,3.45867e+06,23.103,17.53,37.9103
3,3.46167e+06,23.186,17.502,39.725
4,3.46186e+06,17.92,18.172,41.0799
5,3.46565e+06,26.076,17.854,38.9023
6,3.46603e+06,19.063,17.51,39.6685
7,3.46898e+06,20.702,17.516,39.9871
8,3.47053e+06,12.317,17.175,39.4387
9,3.47249e+06,14.07,17.397,37.749
10,3.47355e+06,13.643,18.272,42.8704
11,3.47359e+06,13.232,18.033,42.0236
12,3.47374e+06,13.471,17.126,41.0598
13,3.47376e+06,15.717,17.712,38.4305
14,3.47465e+06,16.965,17.262,39.3459
15,3.47473e+06,16.077,17.376,41.1041
16,3.47474e+06,26.282,17.363,41.092
17,3.47508e+06,14.383,16.95,38.1361
18,3.47513e+06,21.104,17.564,40.2936
19,3.47533e+06,17.203,17.419,39.9589
20,3.47555e+06,24.602,17.328,42.5075
21,3.47604e+06,17.096,17.611,41.2533
22,3.4772e+06,17.054,17.391,40.9348
23,3.47739e+06,18.597,17.22,39.5919
24,3.47824e+06,13.091,17.048,40.0234
25,3.48087e+06,22.088,17.853,43.5519
26,3.48131e+06,12.986,17.454,38.4668
27,3.48137e+06,15.465,18.203,41.1203
28,3.48363e+06,23.927,17.292,40.7009
29,3.48377e+06,12.812,17.737,40.713
30,3.48395e+06,18.089,17.142,40.9993
31,3.48397e+06,16.109,17.507,40.8743
32,3.4852e+06,13.289,17.656,41.3743
33,3.48564e+06,13.706,17.199,40.8218
34,3.48722e+06,24.541,17.745,43.5519
35,3.48724e+06,15.606,17.146,37.9466
36,3.48755e+06,21.044,17.359,43.0478
37,3.48765e+06,15.809,17.919,41.4751
38,3.48892e+06,19.487,18.028,43.1204
39,3.48915e+06,20.631,17.917,38.6201
40,3.48921e+06,23.305,17.637,42.1405
41,3.48972e+06,23.798,17.165,38.9628
42,3.49055e+06,27.158,17.794,42.6002
43,3.49082e+06,12.938,17.743,38.0555
44,3.49193e+06,27.435,17.943,43.8987
45,3.49229e+06,18.449,17.344,42.6083
46,3.49274e+06,19.612,17.791,42.5518
47,3.49279e+06,29.051,17.822,42.7252
48,3.49441e+06,21.346,17.519,36.1078
49,3.49474e+06,14.322,17.378,41.3299
50,3.49503e+06,14.875,17.878,40.8017
51,3.49685e+06,5.509,17.205,36.1118
52,3.49716e+06,25.647,17.902,41.0194
53,3.49736e+06,18.429,17.098,37.4022
54,3.49756e+06,15.881,25.156,40.6081
55,3.49774e+06,18.38,17.165,39.0394
56,3.49837e+06,16.927,17.589,42.826
57,3.49898e+06,29.687,17.391,43.0156
58,3.4991e+06,19.076,17.348,39.4588
59,3.49916e+06,22.119,17.387,42.8623
60,3.4992e+06,19.215,17.64,42.9107
61,3.49968e+06,19.065,17.792,42.4994
62,3.50083e+06,25.11,18.063,42.4187
63,3.50257e+06,19.658,17.683,42.4228
64,3.50513e+06,13.63,17.321,36.6683
65,3.50513e+06,16.742,17.695,43.197
66,3.50589e+06,12.339,17.251,40.1887
67,3.50739e+06,25.667,17.666,43.4591
68,3.50766e+06,26.261,17.508,42.4389
69,3.50792e+06,16.544,17.48,42.447
70,3.50804e+06,14.554,18.168,42.7373
71,3.51031e+06,17.818,17.863,43.4833
72,3.51055e+06,18.152,17.102,39.8298
73,3.51068e+06,23.386,17.461,41.0356
74,3.51104e+06,24.313,17.793,40.1
75,3.51363e+06,23.724,16.999,41.2049
76,3.5158e+06,23.454,17.548,39.1443
77,3.51586e+06,16.298,17.373,41.4348
78,3.51762e+06,16.732,17.75,42.9067
79,3.51886e+06,28.08,18.191,43.3704
80,3.52024e+06,13.181,17.47,39.6121
81,3.52056e+06,17.876,17.532,43.0277
82,3.52088e+06,16.727,17.72,42.197
83,3.52164e+06,21.157,17.883,39.1322
84,3.5228e+06,18.667,17.519,43.0035
85,3.52331e+06,13.135,17.155,38.3741
86,3.5251e+06,16.187,17.235,41.4832
87,3.52573e+06,24.137,17.775,43.1527
88,3.52815e+06,18.953,18.004,42.5478
89,3.52821e+06,10.015,16.815,36.1239
90,3.52868e+06,23.75,17.394,43.2011
91,3.52884e+06,16.898,17.814,43.8785
92,3.53511e+06,25.761,17.581,42.6526
93,3.53522e+06,26.683,17.817,44.5197
94,3.53671e+06,25.265,17.815,43.6406
95,3.53924e+06,19.999,18.01,42.7696
96,3.5409e+06,24.657,17.492,42.6405
97,3.54509e+06,18.947,17.948,44.3665
98,3.56821e+06,23.241,18.276,43.8543
99,3.5756e+06,21.063,16.837,42.818
