id,cost,hd_time,ls_time,diversity
0,3.18767e+06,5.067,11.298,45.4142
1,3.19769e+06,6.983,10.809,42.3372
2,3.20054e+06,9.238,10.981,47.8639
3,3.21026e+06,6.814,10.968,45.2844
4,3.21068e+06,8.388,10.791,46.8527
5,3.21394e+06,0.92,10.304,40.1958
6,3.21479e+06,5.264,11.483,45.1763
7,3.21492e+06,6.062,11.141,43.5648
8,3.21641e+06,5.363,10.203,40.4986
9,3.21672e+06,5.398,10.945,45.398
10,3.22054e+06,4.885,10.736,41.5044
11,3.22076e+06,7.047,11.099,41.5044
12,3.22107e+06,7.475,10.979,43.0456
13,3.22108e+06,6.721,11.142,45.0411
14,3.22114e+06,6.174,11.183,46.3498
15,3.22148e+06,5.204,10.671,45.0303
16,3.22376e+06,6.951,10.813,41.8722
17,3.22427e+06,5.383,10.537,41.645
18,3.22457e+06,7.469,10.555,46.0307
19,3.22598e+06,5.22,10.89,42.4454
20,3.22618e+06,5.323,10.239,41.2503
21,3.2263e+06,5.031,10.765,44.5274
22,3.22765e+06,6.62,11.266,45.8577
23,3.22826e+06,8.229,10.688,47.5936
24,3.23002e+06,0.495,10.141,40.8771
25,3.2305e+06,6.732,11.281,45.0087
26,3.23068e+06,6.392,11.426,46.7824
27,3.23127e+06,6.632,10.483,45.3169
28,3.2323e+06,6.562,10.861,45.398
29,3.23234e+06,6.376,10.359,41.5315
30,3.23369e+06,6.204,11.187,43.4729
31,3.23512e+06,7.343,11.06,45.3223
32,3.23525e+06,5.09,10.367,44.9059
33,3.23534e+06,7.439,10.485,43.0565
34,3.2359e+06,7.87,10.853,46.6959
35,3.23727e+06,6.375,10.709,42.0236
36,3.23782e+06,6.86,10.608,41.0448
37,3.23842e+06,6.782,11.074,47.0906
38,3.23851e+06,5.717,10.97,44.7599
39,3.24259e+06,7.816,10.728,46.6526
40,3.24378e+06,4.861,10.641,42.3156
41,3.2443e+06,7.738,10.672,46.8905
42,3.24511e+06,6.722,10.324,42.4724
43,3.2457e+06,6.025,10.657,44.3543
44,3.24647e+06,7.33,11.16,46.0848
45,3.24697e+06,6.448,11.079,43.1917
46,3.24722e+06,8.035,11.043,46.4579
47,3.24775e+06,8.742,10.553,48.594
48,3.24833e+06,1.113,10.464,39.8767
49,3.24846e+06,8.779,10.671,48.2695
50,3.24847e+06,7.314,10.983,46.2146
51,3.24856e+06,6.86,11.171,44.9816
52,3.24914e+06,5.012,11.091,44.722
53,3.24917e+06,5.877,10.329,45.2087
54,3.25088e+06,7.348,10.845,45.7928
55,3.2516e+06,7.859,10.689,45.982
56,3.25192e+06,5.056,10.597,45.4142
57,3.25362e+06,4.778,10.955,41.6829
58,3.25397e+06,6.861,10.651,40.9258
59,3.2542e+06,5.047,10.203,41.6234
60,3.25427e+06,7.216,10.954,47.0203
61,3.25429e+06,9.436,11.103,47.6476
62,3.2551e+06,6.294,11.159,46.3444
63,3.25528e+06,6.638,10.341,45.2141
64,3.25627e+06,5.062,10.572,44.3705
65,3.25636e+06,6.765,10.078,42.0452
66,3.25678e+06,5.815,10.773,42.4292
67,3.25724e+06,8.968,10.973,46.6148
68,3.25863e+06,7.533,10.782,46.9392
69,3.25962e+06,6.403,10.666,44.9708
70,3.26166e+06,7.998,11.41,47.8477
71,3.26302e+06,7.747,11.141,44.8789
72,3.26323e+06,6.694,10.56,43.8352
73,3.26326e+06,7.875,11.688,46.2254
74,3.26486e+06,4.817,10.887,41.4449
75,3.26508e+06,7.895,10.566,45.5981
76,3.26528e+06,10.638,11.141,47.9775
77,3.26682e+06,8.218,11.39,46.339
78,3.26701e+06,5.107,10.904,43.0619
79,3.26829e+06,6.971,11.659,46.5445
80,3.2686e+06,6.967,11.148,46.8743
81,3.26904e+06,6.699,10.69,44.2516
82,3.26919e+06,4.823,10.345,41.4449
83,3.26996e+06,7.905,10.472,45.4737
84,3.27086e+06,5.751,10.969,45.2412
85,3.27162e+06,6.751,10.983,44.1975
86,3.27203e+06,7.5,11.049,45.9388
87,3.27239e+06,5.982,10.416,40.6933
88,3.27634e+06,7.312,10.969,46.247
89,3.27667e+06,5.405,10.793,45.1925
90,3.27698e+06,7.159,10.401,46.3498
91,3.27737e+06,6.925,10.353,46.4255
92,3.28363e+06,5.743,10.414,43.7054
93,3.28391e+06,7.279,10.451,47.3448
94,3.28559e+06,8.063,10.568,45.8036
95,3.28574e+06,7.76,10.624,47.0528
96,3.29079e+06,6.599,10.684,45.7766
97,3.29817e+06,5.343,10.643,45.1763
98,3.30427e+06,5.011,9.755,43.3323
99,3.31946e+06,8.94,10.64,46.8365
