id,cost,hd_time,ls_time,diversity
0,3.25676e+06,10.781,15.143,47.028
1,3.25781e+06,11.493,15.651,42.2145
2,3.25804e+06,16.313,15.058,45.9751
3,3.25838e+06,18.511,15.29,44.561
4,3.26009e+06,18.955,15.436,45.373
5,3.26065e+06,17.868,15.771,45.5089
6,3.26124e+06,13.5,15.233,45.237
7,3.26161e+06,17.14,15.156,45.8003
8,3.26276e+06,13.635,15.472,44.6853
9,3.26403e+06,16.182,15.069,45.6799
10,3.26408e+06,15.608,15.663,43.7956
11,3.26664e+06,19.427,15.435,45.3497
12,3.26709e+06,15.347,15.585,45.9596
13,3.26785e+06,16.028,15.835,43.446
14,3.26834e+06,18.248,15.266,45.7537
15,3.2684e+06,15.09,15.44,42.5291
16,3.27117e+06,19.376,15.692,46.1033
17,3.27139e+06,17.124,15.413,45.6022
18,3.27165e+06,15.734,15.273,43.4654
19,3.27296e+06,18.284,15.403,44.6542
20,3.27314e+06,17.218,16.171,44.6387
21,3.27368e+06,20.092,15.107,45.1787
22,3.27425e+06,17.71,15.318,45.5711
23,3.2752e+06,15.84,15.681,44.0715
24,3.27596e+06,16.944,15.424,45.4002
25,3.27607e+06,13.905,15.251,42.0979
26,3.27639e+06,14.934,15.326,43.7374
27,3.27684e+06,17.515,15.174,44.864
28,3.27693e+06,17.746,15.21,42.9138
29,3.27723e+06,17.656,15.615,43.7685
30,3.27726e+06,15.316,15.321,44.0831
31,3.27794e+06,17.203,14.95,45.8042
32,3.278e+06,17.023,14.989,44.2657
33,3.27841e+06,17.543,15.547,45.0699
34,3.27858e+06,13.76,15.625,44.1919
35,3.27877e+06,19.5,15.278,46.4297
36,3.27958e+06,15.428,15.188,45.9907
37,3.27983e+06,10.095,15.119,42.5913
38,3.28001e+06,14.235,15.599,43.0109
39,3.28052e+06,16.452,15.504,44.1103
40,3.28054e+06,20.991,15.408,47.0241
41,3.2808e+06,18.506,15.605,45.4623
42,3.28105e+06,18.738,15.341,44.0443
43,3.28115e+06,15.496,15.437,45.2953
44,3.28135e+06,15.014,15.367,41.5152
45,3.2822e+06,18.598,15.192,44.2347
46,3.28286e+06,14.872,15.222,43.3178
47,3.28309e+06,16.743,15.273,44.0793
48,3.28322e+06,19.325,15.282,45.54
49,3.28325e+06,17.533,15.708,43.3994
50,3.2833e+06,18.202,16.543,42.2766
51,3.2834e+06,17.441,15.091,42.9409
52,3.28407e+06,19.688,15.171,45.6915
53,3.28412e+06,19.306,15.219,45.7653
54,3.28493e+06,19.594,15.184,46.2665
55,3.285e+06,13.984,15.741,44.2036
56,3.28535e+06,11.774,14.983,42.2455
57,3.28539e+06,17.198,15.376,46.453
58,3.28581e+06,20.966,15.344,45.7887
59,3.28605e+06,11.495,15.611,43.3683
60,3.28625e+06,16.231,15.133,43.7568
61,3.28636e+06,13.35,21.855,43.6519
62,3.28642e+06,16.027,15.574,44.8096
63,3.28683e+06,14.444,15.273,44.425
64,3.287e+06,11.438,15.27,45.4002
65,3.28754e+06,19.372,15.359,45.5983
66,3.28771e+06,16.656,15.457,45.5012
67,3.28844e+06,17.445,15.607,44.8329
68,3.28908e+06,16.742,14.986,45.9052
69,3.28965e+06,15.743,15.41,43.7607
70,3.28973e+06,18.243,15.103,45.8974
71,3.29014e+06,17.16,15.361,45.2836
72,3.29034e+06,21.562,15.259,45.404
73,3.29079e+06,16.721,15.403,43.3566
74,3.29162e+06,16.206,15.309,44.9417
75,3.2918e+06,11.193,15.292,42.0008
76,3.29189e+06,14.745,15.438,45.0855
77,3.29192e+06,19.902,15.737,45.8897
78,3.29256e+06,11.453,15.367,41.8337
79,3.29286e+06,13.493,21.407,45.2176
80,3.29393e+06,14.794,15.219,44.0754
81,3.29406e+06,13.143,15.111,42.265
82,3.29416e+06,15.773,15.178,45.2681
83,3.29569e+06,15.606,14.902,43.8578
84,3.29626e+06,13.058,15.241,45.8081
85,3.2976e+06,13.126,15.132,42.9293
86,3.29828e+06,16.881,15.171,43.9549
87,3.29906e+06,13.791,15.362,44.6037
88,3.29973e+06,17.903,15.695,44.864
89,3.29984e+06,10.546,14.982,44.5998
90,3.30097e+06,13.307,15.517,42.4398
91,3.30215e+06,14.333,15.265,43.2012
92,3.30709e+06,13.087,15.339,44.5299
93,3.30821e+06,16.433,15.315,40.9635
94,3.30926e+06,15.898,15.353,40.1943
95,3.31011e+06,16.265,15.031,44.0287
96,3.31019e+06,18.187,15.159,43.209
97,3.31066e+06,21.643,15.313,45.202
98,3.31788e+06,16.267,15.401,40.6643
99,3.32385e+06,14.659,15.199,44.2385
