id,cost,hd_time,ls_time,diversity
0,3.29463e+06,1.094,1.865,59.2606
1,3.30104e+06,0.786,1.872,52.9938
2,3.31305e+06,0.94,1.808,51.7149
3,3.31336e+06,0.839,1.707,50.1453
4,3.31483e+06,0.931,1.819,51.8196
5,3.31802e+06,0.936,1.772,52.0172
6,3.31929e+06,0.964,1.84,53.424
7,3.32097e+06,0.792,1.725,50.6453
8,3.32114e+06,1.258,1.755,53.5984
9,3.32161e+06,1.187,1.861,56.6097
10,3.32213e+06,0.986,1.825,51.7382
11,3.32338e+06,1,1.766,57.1096
12,3.32717e+06,0.956,1.768,52.9938
13,3.32832e+06,0.954,1.832,54.9471
14,3.3284e+06,0.802,1.823,53.8426
15,3.32852e+06,0.958,1.791,54.1681
16,3.32931e+06,1.12,1.876,58.4234
17,3.33028e+06,0.839,1.853,57.9468
18,3.33033e+06,0.828,1.715,50.2732
19,3.33129e+06,1.055,1.756,58.9234
20,3.33157e+06,0.816,1.764,52.4474
21,3.33173e+06,0.988,1.783,56.5748
22,3.33196e+06,0.971,1.776,53.8658
23,3.33316e+06,0.973,1.773,50.7848
24,3.33477e+06,0.954,1.793,51.7614
25,3.33491e+06,0.11,1.641,53.7496
26,3.33491e+06,1.184,1.77,58.5281
27,3.33506e+06,0.941,1.826,52.5404
28,3.336e+06,0.948,1.77,52.4939
29,3.33613e+06,1.016,1.854,54.3309
30,3.33706e+06,1.102,1.8,59.3768
31,3.33736e+06,1.1,1.851,57.8072
32,3.33766e+06,0.957,1.74,51.773
33,3.33912e+06,0.994,1.934,57.3887
34,3.33985e+06,0.933,1.831,53.4705
35,3.34079e+06,1.073,1.843,59.3536
36,3.34226e+06,0.932,1.752,52.6218
37,3.34281e+06,0.962,1.756,51.6684
38,3.34283e+06,0.77,1.886,52.18
39,3.34359e+06,1.079,1.892,59.4815
40,3.34375e+06,1.018,1.865,57.0166
41,3.34413e+06,0.973,1.775,55.8423
42,3.34576e+06,0.953,1.827,55.1215
43,3.34581e+06,0.946,1.781,51.5173
44,3.34581e+06,0.967,1.755,50.6104
45,3.34601e+06,0.972,1.764,56.8655
46,3.34648e+06,1.096,1.748,57.2259
47,3.34701e+06,0.998,1.786,55.761
48,3.34711e+06,1.011,1.754,57.2375
49,3.34805e+06,1.094,1.798,58.0746
50,3.34862e+06,0.807,1.727,50.0523
51,3.34868e+06,0.931,1.739,50.6569
52,3.3487e+06,1.001,1.796,55.8656
53,3.349e+06,0.81,1.822,51.9591
54,3.34907e+06,0.966,1.703,52.1451
55,3.35061e+06,0.938,1.738,51.9242
56,3.35204e+06,0.988,2.136,54.9122
57,3.35257e+06,0.98,1.803,56.8655
58,3.35259e+06,0.839,1.703,49.9477
59,3.35354e+06,0.964,1.735,56.1446
60,3.35415e+06,1.026,1.775,57.1678
61,3.3557e+06,0.946,1.798,54.8192
62,3.35577e+06,1.125,1.766,58.5165
63,3.35644e+06,1.107,1.742,52.2846
64,3.35813e+06,0.954,1.759,53.7496
65,3.35848e+06,1.033,1.852,57.6445
66,3.35936e+06,0.97,1.829,56.0981
67,3.35975e+06,0.795,1.798,52.9822
68,3.36025e+06,1.05,1.766,58.3537
69,3.36052e+06,0.93,1.818,51.7265
70,3.36342e+06,0.97,1.745,52.8659
71,3.36382e+06,0.94,1.782,52.9706
72,3.36412e+06,0.784,1.809,54.7378
73,3.36478e+06,1.056,1.801,57.7724
74,3.36492e+06,1.187,1.738,57.7258
75,3.36556e+06,0.981,1.957,55.4703
76,3.36617e+06,0.921,1.789,51.6335
77,3.36618e+06,0.985,1.708,55.168
78,3.36683e+06,0.796,1.771,52.1102
79,3.36727e+06,1.032,1.835,57.2492
80,3.36822e+06,0.813,1.778,54.482
81,3.36832e+06,0.97,1.79,54.0635
82,3.36842e+06,0.812,1.676,50.5406
83,3.36994e+06,1.019,1.778,57.3422
84,3.37043e+06,0.944,1.813,55.0285
85,3.37405e+06,0.96,1.829,56.1446
86,3.37651e+06,1.156,1.877,59.7372
87,3.37708e+06,1.019,1.801,58.4351
88,3.37831e+06,0.778,1.906,53.3078
89,3.37926e+06,1.173,1.748,55.854
90,3.37997e+06,0.989,1.754,54.0867
91,3.38067e+06,0.95,1.771,57.3422
92,3.38228e+06,1.019,1.77,57.191
93,3.38361e+06,1.001,1.706,56.6446
94,3.38473e+06,0.795,1.758,52.9706
95,3.38528e+06,0.993,1.738,54.9238
96,3.38645e+06,0.826,1.704,52.8078
97,3.39589e+06,1.153,1.78,56.4237
98,3.41182e+06,1.051,1.794,57.4933
99,3.41746e+06,1.081,1.824,58.5746
