id,cost,hd_time,ls_time,diversity
0,1.86553e+06,0.11,0.327,71.9791
1,1.86873e+06,0.105,0.255,75.4748
2,1.86894e+06,0.105,0.244,73.6581
3,1.87147e+06,0.094,0.266,76.1079
4,1.87462e+06,0.091,0.275,76.0253
5,1.87514e+06,0.139,0.272,81.668
6,1.8769e+06,0.073,0.258,72.3094
7,1.87809e+06,0.077,0.278,68.3182
8,1.87879e+06,0.127,0.311,83.237
9,1.8795e+06,0.111,0.296,74.8142
10,1.87977e+06,0.097,0.263,71.4836
11,1.88225e+06,0.124,0.297,78.8604
12,1.88301e+06,0.118,0.254,77.787
13,1.88378e+06,0.102,0.276,81.5855
14,1.8839e+06,0.119,0.263,78.0897
15,1.88393e+06,0.092,0.274,78.7503
16,1.88417e+06,0.091,0.253,74.9794
17,1.88536e+06,0.124,0.273,79.6587
18,1.8854e+06,0.088,0.277,81.3653
19,1.88578e+06,0.111,0.278,81.5304
20,1.8863e+06,0.093,0.265,68.3457
21,1.88667e+06,0.092,0.264,72.0066
22,1.88716e+06,0.107,0.257,77.1539
23,1.88739e+06,0.089,0.244,74.0985
24,1.88881e+06,0.099,0.241,74.4288
25,1.88927e+06,0.14,0.283,80.6221
26,1.88936e+06,0.094,0.284,76.2455
27,1.89018e+06,0.092,0.25,70.1349
28,1.89074e+06,0.095,0.274,69.4467
29,1.89077e+06,0.097,0.277,75.7225
30,1.89121e+06,0.066,0.298,75.3372
31,1.8916e+06,0.121,0.301,78.5852
32,1.89182e+06,0.093,0.26,72.2819
33,1.89199e+06,0.125,0.312,74.7592
34,1.89217e+06,0.082,0.222,73.6581
35,1.89288e+06,0.099,0.28,75.4473
36,1.89317e+06,0,0.231,78.0897
37,1.89413e+06,0.093,0.251,71.4836
38,1.89416e+06,0.126,0.248,81.1175
39,1.89478e+06,0.118,0.258,79.0806
40,1.89479e+06,0.111,0.275,82.7691
41,1.89508e+06,0.125,0.263,79.1082
42,1.89549e+06,0.115,0.265,80.0991
43,1.89565e+06,0.12,0.26,78.0072
44,1.89643e+06,0.125,0.279,82.2186
45,1.89666e+06,0.093,0.262,79.1082
46,1.89682e+06,0.097,0.257,70.3276
47,1.89717e+06,0.093,0.315,68.7586
48,1.89791e+06,0.133,0.243,77.7594
49,1.89792e+06,0.124,0.281,80.512
50,1.89814e+06,0.124,0.29,76.741
51,1.89876e+06,0.113,0.343,76.218
52,1.899e+06,0.085,0.242,70.3276
53,1.89915e+06,0.094,0.238,71.7589
54,1.89922e+06,0.091,0.22,71.6488
55,1.89932e+06,0.094,0.261,78.7503
56,1.90064e+06,0.128,0.263,80.3468
57,1.90074e+06,0.124,0.304,80.6771
58,1.90113e+06,0.094,0.292,77.6769
59,1.90126e+06,0.098,0.262,77.842
60,1.90172e+06,0.091,0.252,67.9604
61,1.90287e+06,0.091,0.248,74.2912
62,1.90288e+06,0.095,0.251,72.8048
63,1.90289e+06,0.071,0.253,64.7124
64,1.90318e+06,0.129,0.255,79.7413
65,1.90367e+06,0.105,0.28,77.0438
66,1.90399e+06,0.086,0.254,70.823
67,1.90498e+06,0.106,0.287,76.5208
68,1.90531e+06,0.132,0.251,78.4751
69,1.90632e+06,0.104,0.259,77.6493
70,1.90658e+06,0.125,0.281,82.9893
71,1.90669e+06,0.096,0.255,77.6769
72,1.9067e+06,0.105,0.221,73.8508
73,1.9067e+06,0.089,0.257,77.5667
74,1.90725e+06,0.126,0.248,81.2001
75,1.90759e+06,0.112,0.301,70.5753
76,1.90771e+06,0.108,0.267,81.4203
77,1.90782e+06,0.148,0.259,78.5301
78,1.91052e+06,0.095,0.273,81.2001
79,1.91079e+06,0.095,0.233,75.4473
80,1.91408e+06,0.093,0.28,78.9155
81,1.91412e+06,0.125,0.263,81.8882
82,1.91436e+06,0.126,0.283,77.8971
83,1.91689e+06,0.092,0.271,75.64
84,1.91695e+06,0.092,0.246,75.0344
85,1.91708e+06,0.124,0.265,82.2186
86,1.91899e+06,0.125,0.259,79.7413
87,1.92159e+06,0.105,0.26,78.9155
88,1.92186e+06,0.123,0.286,75.9152
89,1.92263e+06,0.096,0.282,76.5483
90,1.92286e+06,0.129,0.261,76.218
91,1.92517e+06,0.111,0.263,79.5486
92,1.92994e+06,0.093,0.219,65.4005
93,1.93526e+06,0.121,0.31,80.044
94,1.9364e+06,0.1,0.243,75.5849
95,1.87291e+06,0.105,0.255,78.4751
96,1.87564e+06,0.091,0.275,76.1905
97,1.87646e+06,0.094,0.266,77.8145
98,1.87754e+06,0.11,0.327,79.9064
99,1.87829e+06,0.101,0.282,55.4913
100,1.88065e+06,0.127,0.311,82.5764
101,1.88192e+06,0.124,0.297,80.8698
102,1.88338e+06,0.119,0.263,77.4016
103,1.88418e+06,0.101,0.282,55.3812
104,1.88443e+06,0.091,0.253,74.4564
105,1.88542e+06,0.124,0.273,81.5029
106,1.88877e+06,0.094,0.284,78.6402
107,1.8909e+06,0.092,0.25,79.1082
108,1.89178e+06,0.089,0.244,73.9884
109,1.8986e+06,0.133,0.243,78.3099
110,1.89907e+06,0.094,0.238,77.0438
111,1.9034e+06,0.121,0.301,77.9246
112,1.90522e+06,0.091,0.252,75.0069
113,1.90927e+06,0.098,0.246,52.381
114,1.90941e+06,0.098,0.246,52.3259
115,1.91163e+06,0.068,0.268,51.858
116,1.91165e+06,0.086,0.254,77.1263
117,1.91229e+06,0.068,0.268,51.7203
118,1.9153e+06,0.132,0.251,79.9615
119,1.92339e+06,0.124,0.28,55.4088
120,1.92379e+06,0.148,0.259,79.1082
121,1.92698e+06,0.124,0.28,55.4913
122,1.92884e+06,0.105,0.26,78.8604
123,1.92935e+06,0.093,0.265,53.3719
124,1.93024e+06,0.093,0.265,53.3443
125,1.9377e+06,0.125,0.259,80.4294
