id,cost,hd_time,ls_time,diversity
0,3.18521e+06,5.313,10.562,46.339
1,3.18695e+06,6.998,11.687,45.5927
2,3.19687e+06,6.452,11.308,47.4746
3,3.19962e+06,5.137,11.72,46.5607
4,3.20402e+06,4.832,10.505,45.782
5,3.20557e+06,0.551,10.577,47.2042
6,3.20723e+06,6.108,11.184,47.2096
7,3.20796e+06,5.341,11.658,45.9875
8,3.21274e+06,4.937,10.365,45.4088
9,3.21444e+06,6.042,11.161,45.5116
10,3.21691e+06,6.628,11.008,46.0199
11,3.2173e+06,6.61,11.245,45.6576
12,3.21843e+06,9.498,10.985,49.2862
13,3.21894e+06,7.406,11.428,47.3881
14,3.21903e+06,7.092,11.357,46.4309
15,3.21955e+06,6.885,11.083,46.9663
16,3.21988e+06,6.78,11.032,46.2092
17,3.22234e+06,6.716,10.92,45.6738
18,3.22506e+06,5.462,10.975,45.8306
19,3.22593e+06,7.59,11.382,47.1988
20,3.22593e+06,6.705,11.071,45.7063
21,3.22874e+06,9.268,10.93,48.7778
22,3.23119e+06,5.771,10.952,45.69
23,3.23336e+06,7.027,11.516,46.3822
24,3.23461e+06,6.228,11.266,47.1231
25,3.23515e+06,7.703,12.188,46.9392
26,3.23596e+06,6.671,10.996,45.544
27,3.23636e+06,8.015,11.468,47.745
28,3.23683e+06,6.337,10.956,41.5369
29,3.23822e+06,5.875,10.757,42.5914
30,3.23879e+06,5.87,11.114,46.3065
31,3.24005e+06,6.761,10.786,44.7978
32,3.24046e+06,7.583,10.892,48.0154
33,3.24068e+06,6.422,10.747,45.6522
34,3.24181e+06,6.748,11.402,46.3444
35,3.24184e+06,5.845,10.861,42.3751
36,3.24247e+06,6.784,11.268,46.8851
37,3.24349e+06,5.287,10.128,45.6954
38,3.24407e+06,6.933,11.324,46.9122
39,3.24429e+06,6.386,11.158,46.5661
40,3.24506e+06,7.348,10.995,46.3335
41,3.24512e+06,8.967,10.919,48.1992
42,3.24545e+06,6.702,10.718,47.653
43,3.24605e+06,4.929,10.925,45.0681
44,3.24661e+06,6.275,10.825,47.6855
45,3.24708e+06,5.64,11.017,45.8577
46,3.2474e+06,7.229,10.709,45.2736
47,3.24872e+06,7.093,10.955,47.1988
48,3.24878e+06,6.092,10.581,44.8356
49,3.2491e+06,8.874,11.327,50.0162
50,3.24916e+06,7.418,11.309,46.9717
51,3.2493e+06,5.655,11.064,45.3872
52,3.25084e+06,5.39,10.581,45.8577
53,3.25168e+06,7.516,11.21,46.8202
54,3.25177e+06,5.408,10.711,45.9009
55,3.25248e+06,6.357,11.29,47.1826
56,3.25297e+06,7.145,10.891,47.2799
57,3.25355e+06,7.091,11.137,47.8423
58,3.25386e+06,5.965,10.781,40.7582
59,3.25476e+06,4.812,10.689,45.4791
60,3.25528e+06,6.262,10.862,41.1421
61,3.25598e+06,5.681,11.781,45.9875
62,3.25612e+06,7.418,10.732,49.3294
63,3.25635e+06,6.359,11.014,46.2416
64,3.25661e+06,6.836,10.842,47.3556
65,3.25708e+06,6.57,10.954,46.8365
66,3.26031e+06,6.112,11.139,43.1376
67,3.26104e+06,6.7,10.995,46.7229
68,3.26135e+06,8.591,11.125,48.9455
69,3.26228e+06,9.617,11.358,50.4326
70,3.26399e+06,4.867,10.706,47.0582
71,3.26402e+06,7.895,10.968,49.1564
72,3.26501e+06,7.613,11.264,46.1389
73,3.26555e+06,7.273,10.406,46.2146
74,3.26578e+06,8.8,11.15,48.7021
75,3.26601e+06,8.563,10.999,48.1722
76,3.26635e+06,6.281,10.763,41.3638
77,3.2668e+06,5.757,10.933,45.4629
78,3.26782e+06,9,10.937,49.1726
79,3.26802e+06,8.03,10.746,49.0428
80,3.2719e+06,4.764,11.056,46.4904
81,3.27328e+06,4.81,10.372,45.4629
82,3.27506e+06,6.965,10.879,47.48
83,3.27597e+06,7.361,10.857,48.5075
84,3.27983e+06,6.404,10.83,47.069
85,3.28198e+06,6.575,11.107,47.7342
86,3.28269e+06,7.666,11.033,48.6967
87,3.28428e+06,7.972,10.821,47.4151
88,3.28588e+06,7.531,11.293,47.5881
89,3.28652e+06,6.728,11.214,47.9126
90,3.28871e+06,6.606,10.905,45.7874
91,3.28933e+06,6.7,10.696,47.6206
92,3.2923e+06,7.329,10.901,48.4318
93,3.29254e+06,9.549,10.811,48.7724
94,3.29591e+06,7.153,10.627,47.7071
95,3.29877e+06,7.213,10.557,49.2321
96,3.30115e+06,7.632,10.786,47.0366
97,3.30396e+06,6.277,10.327,40.942
98,3.30644e+06,7.176,10.672,48.0208
99,3.31438e+06,7.795,10.695,49.3348
