id,cost,hd_time,ls_time,diversity
0,2.48645e+06,18.68,14.426,42.5437
1,2.4868e+06,27.61,15.413,44.9609
2,2.49057e+06,2.239,15.153,43.0223
3,2.49074e+06,11.842,15.32,41.4406
4,2.49078e+06,34.474,15.64,45.0055
5,2.49301e+06,32.172,15.156,45.4759
6,2.49446e+06,13.373,14.838,41.2986
7,2.49518e+06,26.089,15.601,44.8351
8,2.49525e+06,21.343,15.826,46.7088
9,2.49754e+06,30.954,15.146,41.7366
10,2.49767e+06,19.521,15.45,46.0559
11,2.49794e+06,15.106,15.473,42.6938
12,2.49919e+06,20.5,15.141,40.232
13,2.49955e+06,16.613,15.593,41.1486
14,2.501e+06,21.16,15.657,43.3427
15,2.50138e+06,17.64,15.038,42.641
16,2.50235e+06,28.381,15.236,46.7048
17,2.50298e+06,33.922,15.462,45.1353
18,2.50436e+06,29.872,15.297,39.7818
19,2.50468e+06,17.978,15.344,39.8143
20,2.50515e+06,36.325,15.313,45.6503
21,2.50608e+06,31.557,14.797,39.725
22,2.50621e+06,28.377,14.874,41.1242
23,2.50658e+06,34.015,15.503,45.2285
24,2.5068e+06,12.098,14.963,40.1995
25,2.50773e+06,10.37,21.303,39.7088
26,2.50807e+06,35.812,15.317,42.9087
27,2.5087e+06,26.28,15.59,43.6712
28,2.50879e+06,32.764,15.239,44.9
29,2.50893e+06,27.097,15.307,45.0176
30,2.5094e+06,29.689,14.993,42.6005
31,2.50941e+06,29.908,15.077,39.6966
32,2.50961e+06,37.93,15.175,45.2083
33,2.51025e+06,11.717,14.743,40.8971
34,2.51036e+06,11.481,15.035,40.305
35,2.5104e+06,32.312,15.409,41.7488
36,2.5106e+06,16.289,15.866,42.9371
37,2.51141e+06,29.253,15.475,44.6689
38,2.51176e+06,25.687,15.329,43.6712
39,2.51179e+06,15.6,15.757,42.8722
40,2.51185e+06,16.19,15.374,45.4962
41,2.51206e+06,9.247,15.297,42.4504
42,2.51211e+06,17.921,15.541,40.8079
43,2.51229e+06,33.974,15.471,45.3056
44,2.5126e+06,22.189,15.425,42.6491
45,2.51294e+06,21.58,15.169,44.8027
46,2.51367e+06,39.655,15.375,44.5634
47,2.51491e+06,19.342,15.217,45.553
48,2.51512e+06,22.08,15.463,44.8514
49,2.51532e+06,20.627,14.872,40.9823
50,2.51593e+06,20.425,15.794,44.4093
51,2.51674e+06,27.5,15.39,44.9933
52,2.51683e+06,35.534,14.781,45.3826
53,2.51818e+06,20.58,15.375,41.7488
54,2.5182e+06,30.866,15.627,45.4475
55,2.51847e+06,24.238,15.639,44.8798
56,2.51873e+06,21.527,14.937,39.6317
57,2.51875e+06,26.812,15.187,41.6352
58,2.51885e+06,14.534,15.202,38.7922
59,2.51978e+06,27.648,14.918,39.0923
60,2.51982e+06,20.765,15.97,45.703
61,2.52e+06,29.108,15.11,42.4342
62,2.52088e+06,26.617,14.673,42.9777
63,2.52104e+06,21.902,14.991,42.1341
64,2.52122e+06,10.716,15.108,41.7488
65,2.52276e+06,37.015,15.272,46.6237
66,2.52291e+06,14.919,15.359,43.947
67,2.523e+06,23.283,15.481,43.5252
68,2.52313e+06,16.26,15.429,42.4707
69,2.52324e+06,12.796,15.235,40.3618
70,2.52355e+06,20.652,15.173,45.188
71,2.5243e+06,31.142,15.18,44.5959
72,2.52434e+06,13.629,15.245,39.2465
73,2.52441e+06,32.434,14.845,42.1665
74,2.52442e+06,12.159,15.068,39.867
75,2.52447e+06,18.582,15.573,39.3681
76,2.52471e+06,15.831,15.222,44.9
77,2.52477e+06,31.906,14.922,40.6862
78,2.52482e+06,15.255,15.364,41.2256
79,2.52559e+06,17.969,15.196,44.7337
80,2.5257e+06,13.743,14.922,40.9985
81,2.52611e+06,34.985,14.976,43.874
82,2.52646e+06,35.328,15.36,43.4076
83,2.52675e+06,26.316,15.204,42.0854
84,2.52678e+06,21.578,15.157,42.6654
85,2.52841e+06,35.471,15.044,45.2245
86,2.52858e+06,10.873,14.115,39.0721
87,2.52865e+06,13.145,14.996,42.495
88,2.5288e+06,30.492,14.918,41.6271
89,2.52973e+06,17.641,15.471,45.8815
90,2.53007e+06,30.602,15.387,44.2673
91,2.53036e+06,14.598,15.382,46.1532
92,2.5308e+06,28.282,14.843,41.7569
93,2.53172e+06,17.417,15.376,42.3612
94,2.535e+06,13.422,14.965,41.9151
95,2.53701e+06,34.789,15.024,47.2077
96,2.53721e+06,14.253,15.481,43.4238
97,2.53888e+06,16.581,14.7,40.2076
98,2.53961e+06,9.802,15.111,39.0842
99,2.54491e+06,31.564,14.609,45.3015
