id,cost,hd_time,ls_time,diversity
0,3.4932e+06,0,70.694,67.699
1,3.49913e+06,0,69.977,67.1949
2,3.50855e+06,0,69.68,68.1103
3,3.51609e+06,0,70.542,67.6184
4,3.52157e+06,0,72.745,67.4046
5,3.5229e+06,0,69.444,67.8522
6,3.524e+06,0,70.625,66.5457
7,3.52426e+06,0,70.992,67.703
8,3.52429e+06,0,70.003,67.82
9,3.52603e+06,0,70.177,67.4933
10,3.52608e+06,0,69.959,67.4329
11,3.52811e+06,0,70.918,67.8805
12,3.52848e+06,0,70.889,68.1507
13,3.53336e+06,0,70.2,67.5861
14,3.5353e+06,0,71.957,67.8724
15,3.53794e+06,0,68.735,67.6667
16,3.5418e+06,0,70.165,67.8039
17,3.54884e+06,0,70.654,67.449
18,3.54887e+06,0,69.808,68.0015
19,3.54888e+06,0,70.812,67.4167
20,3.55077e+06,0,70.906,67.7313
21,3.55247e+06,0,69.389,68.0539
22,3.55253e+06,0,68.663,67.7797
23,3.55284e+06,0,70.123,68.2958
24,3.55488e+06,0,70.484,66.9772
25,3.5557e+06,0,69.116,68.0297
26,3.55647e+06,0,70.527,67.6829
27,3.55856e+06,0,68.111,67.5095
28,3.55999e+06,0,70.413,67.332
29,3.56056e+06,0,70.008,67.0861
30,3.56204e+06,0,69.447,67.9127
31,3.56382e+06,0,74.434,68.1023
32,3.56436e+06,0,68.638,67.1103
33,3.565e+06,0,70.109,67.8926
34,3.56595e+06,0,69.187,67.57
35,3.56752e+06,3.73067e-314,71.42,67.7918
36,3.56905e+06,0,70.242,67.9974
37,3.56958e+06,0,69.353,66.8683
38,3.57272e+06,0,71.765,67.57
39,3.57565e+06,0,69.859,67.8442
40,3.57629e+06,0,67.29,67.5982
41,3.57635e+06,0,69.421,67.6506
42,3.57703e+06,0,69.726,67.8563
43,3.57848e+06,0,71.925,67.2151
44,3.57857e+06,0,68.489,68.1426
45,3.57976e+06,0,74.631,68.4773
46,3.5859e+06,0,70.016,68.1184
47,3.58745e+06,0,68.966,68.0337
48,3.5914e+06,0,70.813,68.2192
49,3.59339e+06,0,69.166,67.7676
50,3.59436e+06,3.72459e-314,70.001,67.57
51,3.59455e+06,0,72.075,68.3483
52,3.59472e+06,0,66.779,68.07
53,3.59536e+06,0,67.942,68.1507
54,3.59585e+06,0,68.624,68.1507
55,3.59633e+06,0,71.148,67.9652
56,3.59741e+06,0,69.608,67.3119
57,3.59748e+06,0,68.747,68.441
58,3.5975e+06,0,69.89,67.5095
59,3.59922e+06,0,68.025,67.2272
60,3.60196e+06,0,72.466,68.6104
61,3.60211e+06,0,69.659,67.5861
62,3.60479e+06,0,71.085,67.0215
63,3.60509e+06,0,73.704,67.7837
64,3.60521e+06,0,70.473,67.7998
65,3.60553e+06,0,72.916,67.8966
66,3.60581e+06,0,69.207,67.2554
67,3.60818e+06,0,68.091,67.7514
68,3.60844e+06,0,72.344,67.2635
69,3.61425e+06,0,69.775,68.0337
70,3.61428e+06,0,69.791,67.6426
71,3.61492e+06,0,70.042,68.0579
72,3.61685e+06,0,69.771,67.4732
73,3.61779e+06,3.73095e-314,69.906,67.5821
74,3.61831e+06,0,69.27,67.8926
75,3.61865e+06,0,71.412,68.2192
76,3.61872e+06,0,68.498,68.3241
77,3.61877e+06,0,69.431,68.0821
78,3.62155e+06,0,72.251,67.5377
79,3.62521e+06,0,71.344,68.445
80,3.62845e+06,0,68.171,67.8522
81,3.6293e+06,0,71.512,67.8603
82,3.63863e+06,0,71.843,68.1265
83,3.64194e+06,0,72.583,68.2595
84,3.64321e+06,0,67.802,67.5861
85,3.6475e+06,0,69.543,67.4127
86,3.65586e+06,0,69.437,68.0256
87,3.65763e+06,0,68.268,67.941
88,3.65983e+06,0,67.821,67.7474
89,3.66222e+06,0,68.245,68.0821
90,3.66863e+06,0,69.793,67.8119
91,3.66887e+06,0,69.976,68.1668
92,3.66953e+06,0,70.38,68.5338
93,3.67523e+06,0,69.693,67.4812
94,3.67603e+06,0,69.615,67.9087
95,3.67713e+06,0,69.942,68.1184
96,3.67893e+06,0,70.388,69.1104
97,3.72998e+06,0,69.011,67.8684
98,3.77606e+06,0,67.901,68.2031
99,3.79239e+06,0,69.408,68.6063
