id,cost,hd_time,ls_time,diversity
0,3.31678e+06,0,36.667,73.5587
1,3.35249e+06,0,37.318,74.5377
2,3.36075e+06,0,36.554,74.1725
3,3.3608e+06,0,36.908,73.9782
4,3.36813e+06,0,36.4,74.1064
5,3.36899e+06,0,36.768,74.9106
6,3.36942e+06,0,37.801,73.9782
7,3.37322e+06,0,36.41,74.0637
8,3.37443e+06,0,36.127,74.3395
9,3.37488e+06,0,36.759,74.3085
10,3.37574e+06,0,37.216,74.4794
11,3.37936e+06,0,36.72,74.4872
12,3.38071e+06,0,37.501,74.5221
13,3.38155e+06,0,36.308,73.9355
14,3.38494e+06,0,35.705,74.4328
15,3.3861e+06,0,36.343,74.4794
16,3.38711e+06,0,36.776,74.3007
17,3.38716e+06,0,36.486,74.5183
18,3.38776e+06,0,36.369,74.7863
19,3.38934e+06,0,36.642,74.7047
20,3.39022e+06,0,36.965,74.0637
21,3.39083e+06,0,36.544,74.2269
22,3.3911e+06,0,36.963,74.4289
23,3.39169e+06,0,37.469,74.289
24,3.39266e+06,0,37.71,74.9534
25,3.39272e+06,0,36.454,74.7047
26,3.39333e+06,0,37.047,75.6061
27,3.39504e+06,0,36.658,74.1298
28,3.39568e+06,0,37.121,74.7397
29,3.39764e+06,0,36.003,74.6659
30,3.39888e+06,0,36.529,74.5882
31,3.40018e+06,0,37.022,74.1764
32,3.40129e+06,0,36.369,73.683
33,3.40346e+06,0,36.439,74.8485
34,3.40386e+06,0,36.514,73.9005
35,3.4039e+06,0,36.22,74.4017
36,3.40408e+06,0,36.133,74.4367
37,3.40477e+06,0,36.097,74.6698
38,3.40589e+06,0,36.78,74.9495
39,3.40614e+06,0,38.084,74.6387
40,3.407e+06,0,36.408,74.2852
41,3.40704e+06,0,35.707,75.1399
42,3.40732e+06,0,36.727,74.3745
43,3.40806e+06,0,36.338,73.9239
44,3.40921e+06,0,36.626,73.5859
45,3.4104e+06,0,35.797,74.6193
46,3.41059e+06,0,35.925,74.4794
47,3.41076e+06,0,35.479,74.7669
48,3.41214e+06,0,36.538,74.596
49,3.41224e+06,0,36.171,74.1375
50,3.41372e+06,0,36.613,74.4561
51,3.41443e+06,0,35.751,74.5882
52,3.41577e+06,0,36.643,74.6892
53,3.41611e+06,0,37.414,74.3279
54,3.41692e+06,0,36.734,74.258
55,3.41791e+06,0,36.312,74.5571
56,3.41857e+06,0,36.458,75.6099
57,3.41928e+06,0,36.596,74.7824
58,3.42152e+06,0,35.996,74.4211
59,3.42344e+06,0,36.276,73.9782
60,3.42421e+06,0,36.241,74.3551
61,3.42648e+06,0,37.167,75.54
62,3.42653e+06,0,36.664,74.9573
63,3.42737e+06,0,36.278,73.7257
64,3.42776e+06,0,37.045,74.561
65,3.42842e+06,0,35.991,74.6465
66,3.42938e+06,0,37.971,74.2036
67,3.42974e+06,0,36.481,74.2735
68,3.43051e+06,0,35.834,74.9223
69,3.43141e+06,0,36.66,74.8796
70,3.43257e+06,0,36.058,74.4095
71,3.43385e+06,0,41.89,74.5804
72,3.43464e+06,0,36.702,74.3939
73,3.43472e+06,0,36.253,74.2657
74,3.43788e+06,0,36.407,75.1282
75,3.44102e+06,0,37.298,74.1531
76,3.44383e+06,0,36.11,74.3201
77,3.44425e+06,0,36.563,75.3846
78,3.44586e+06,0,36.171,74.5066
79,3.4469e+06,0,36.67,75.202
80,3.44816e+06,0,35.849,74.8912
81,3.44963e+06,0,37.016,74.763
82,3.45164e+06,0,36.401,75.1787
83,3.45323e+06,0,36.119,74.7786
84,3.45329e+06,0,36.302,75.136
85,3.45345e+06,0,36.319,74.9145
86,3.45434e+06,0,37.282,74.4755
87,3.45611e+06,0,36.186,74.5105
88,3.45636e+06,0,36.944,74.4289
89,3.45661e+06,0,35.625,74.6037
90,3.45686e+06,0,36.935,74.627
91,3.46453e+06,0,35.848,74.5066
92,3.46678e+06,0,37.442,74.8485
93,3.46852e+06,0,37.468,74.6931
94,3.4708e+06,0,36.219,74.5377
95,3.4714e+06,0,36.155,75.2564
96,3.47323e+06,0,35.791,75.0194
97,3.47815e+06,0,35.844,74.8757
98,3.49085e+06,0,36.326,74.798
99,3.50495e+06,0,36.614,74.7242
