id,cost,hd_time,ls_time,diversity
0,1.38702e+06,5.92436e-315,22.267,61.9424
1,1.39444e+06,0,22.45,63.6108
2,1.39495e+06,0,22.691,63.0927
3,1.40401e+06,0,21.851,62.4341
4,1.40422e+06,0,21.434,63.8216
5,1.40454e+06,0,21.973,62.759
6,1.40469e+06,0,22.691,64.2431
7,1.4055e+06,0,21.863,63.3649
8,1.40707e+06,0,21.946,63.3825
9,1.40858e+06,0,22.859,61.7668
10,1.40944e+06,0,23.578,62.7327
11,1.40989e+06,0,22.904,63.1981
12,1.41063e+06,0,22.19,63.6723
13,1.41103e+06,0,21.469,63.6459
14,1.41119e+06,0,22.75,64.2167
15,1.41199e+06,0,22.619,64.0587
16,1.41218e+06,0,22.76,63.0752
17,1.41352e+06,0,23.106,63.4703
18,1.41376e+06,0,22.297,64.1465
19,1.41389e+06,0,22.647,64.445
20,1.41401e+06,0,23,63.2859
21,1.41459e+06,0,22.741,63.6723
22,1.41559e+06,0,22.139,62.9347
23,1.41587e+06,0,34.948,62.7766
24,1.41615e+06,0,22.867,64.0499
25,1.41778e+06,0,22.246,62.9347
26,1.41896e+06,0,23.217,62.7415
27,1.41983e+06,0,23.236,63.242
28,1.42042e+06,0,21.809,62.9698
29,1.42104e+06,0,22.683,64.4099
30,1.42179e+06,0,22.169,63.0137
31,1.42257e+06,0,21.66,63.2859
32,1.42447e+06,0,22.939,63.2332
33,1.42452e+06,0,22.924,63.2947
34,1.42511e+06,0,23.889,64.1201
35,1.42527e+06,0,21.773,63.6108
36,1.42655e+06,0,22.021,64.1201
37,1.4271e+06,0,21.888,64.1113
38,1.42722e+06,0,22.038,63.8743
39,1.42728e+06,0,22.922,63.6723
40,1.4275e+06,0,23.11,63.9357
41,1.42773e+06,0,23.328,63.5494
42,1.42815e+06,0,22.589,64.1465
43,1.42847e+06,0,23.605,64.2431
44,1.4286e+06,0,22.333,64.3133
45,1.42869e+06,0,21.448,63.4352
46,1.43024e+06,0,22.168,63.5494
47,1.43227e+06,0,21.847,63.5757
48,1.43278e+06,0,22.727,64.7524
49,1.43319e+06,0,22.072,62.803
50,1.43344e+06,0,22.527,64.2782
51,1.4339e+06,0,21.148,64.0938
52,1.43404e+06,0,22.991,64.4626
53,1.4343e+06,0,22.185,63.1015
54,1.43432e+06,0,23.254,63.8655
55,1.43483e+06,0,22.301,64.1289
56,1.43536e+06,0,22.291,65.007
57,1.43548e+06,0,23.069,63.2684
58,1.43566e+06,0,23.387,63.9094
59,1.43639e+06,0,22.717,63.8303
60,1.43781e+06,0,21.773,64.4802
61,1.43814e+06,0,21.563,63.9884
62,1.439e+06,0,22.214,64.4187
63,1.43936e+06,0,22.395,64.0938
64,1.44068e+06,0,22.031,64.3836
65,1.44094e+06,0,23.119,64.5241
66,1.44116e+06,0,22.537,63.1718
67,1.44142e+06,0,22.916,63.4176
68,1.44308e+06,0,22.696,64.6733
69,1.44577e+06,0,21.454,63.883
70,1.44634e+06,0,22.627,64.5592
71,1.44766e+06,0,21.959,64.1728
72,1.45093e+06,0,23.344,63.0752
73,1.45114e+06,0,22.609,64.9017
74,1.4527e+06,0,22.7,63.0839
75,1.45369e+06,0,23.113,64.3397
76,1.45401e+06,0,22.206,63.7513
77,1.45427e+06,0,22.868,63.8655
78,1.45444e+06,0,21.622,64.8051
79,1.45513e+06,0,22.466,63.9621
80,1.45538e+06,0,21.558,63.4615
81,1.45738e+06,0,22.966,64.849
82,1.45743e+06,0,23.113,64.0938
83,1.45878e+06,0,21.887,63.7952
84,1.46085e+06,0,23.289,64.0938
85,1.46236e+06,0,21.173,63.2859
86,1.46566e+06,0,22.495,62.9347
87,1.46598e+06,0,23.293,65.2441
88,1.46666e+06,0,23.01,64.3748
89,1.46715e+06,0,23.029,63.2244
90,1.46731e+06,0,22.36,63.5406
91,1.47033e+06,0,21.362,64.726
92,1.47256e+06,0,21.894,64.3309
93,1.4738e+06,0,22.854,63.8391
94,1.48018e+06,0,21.767,63.5933
95,1.48393e+06,0,21.781,64.7875
96,1.48448e+06,0,22.39,64.3748
97,1.49424e+06,0,21.277,65.1124
98,1.50152e+06,0,23.031,65.5515
99,1.51699e+06,0,24.57,63.8918
