id,cost,hd_time,ls_time,diversity
0,1.35421e+06,2.484,4.663,44.6962
1,1.35559e+06,2.093,4.658,42.8258
2,1.36053e+06,1.981,4.924,43.3175
3,1.36108e+06,2.279,4.689,44.8015
4,1.36117e+06,2.264,4.813,44.5557
5,1.36209e+06,1.688,4.97,40.2441
6,1.36305e+06,2.45,4.79,45.4777
7,1.36428e+06,2.328,4.765,44.1781
8,1.36533e+06,1.709,4.641,41.0081
9,1.36574e+06,1.688,4.624,40.3495
10,1.36586e+06,1.969,4.838,39.0148
11,1.36682e+06,1.937,4.564,42.8433
12,1.36802e+06,1.997,4.846,41.4032
13,1.36909e+06,1.938,4.522,39.4275
14,1.36921e+06,2.427,4.657,45.4162
15,1.36938e+06,1.734,4.472,44.2571
16,1.36952e+06,2.843,4.795,45.7675
17,1.37051e+06,1.935,4.77,37.4166
18,1.37098e+06,1.992,4.333,43.3614
19,1.37105e+06,1.942,4.591,39.0235
20,1.37106e+06,2.039,4.431,42.2638
21,1.37146e+06,2.478,4.578,45.3109
22,1.37148e+06,2.14,4.513,44.661
23,1.37195e+06,2.276,4.867,44.1605
24,1.37234e+06,2.298,4.505,46.0485
25,1.37257e+06,1.949,4.44,40.8237
26,1.37295e+06,1.96,5.014,42.0004
27,1.3735e+06,1.985,4.535,37.3551
28,1.37351e+06,2.03,4.627,39.6119
29,1.37424e+06,2.343,4.704,44.1693
30,1.37426e+06,2.357,4.798,44.2922
31,1.37443e+06,2.196,4.618,44.0464
32,1.37458e+06,2.132,4.79,43.0014
33,1.37489e+06,2.445,4.674,45.0738
34,1.37505e+06,1.69,4.361,39.1465
35,1.37547e+06,2.407,4.508,45.3284
36,1.37555e+06,0.188,4.134,40.4022
37,1.37571e+06,2.08,4.564,44.0288
38,1.37584e+06,2.169,4.615,44.3361
39,1.37591e+06,1.984,4.453,42.536
40,1.37598e+06,1.686,4.279,40.7798
41,1.37718e+06,1.908,4.542,38.7425
42,1.37733e+06,1.66,4.639,42.7907
43,1.37736e+06,2.268,4.397,43.9498
44,1.37769e+06,2.384,4.578,43.5546
45,1.37807e+06,1.948,4.547,41.6403
46,1.37846e+06,2.179,4.309,44.0639
47,1.37946e+06,2.251,4.487,43.7302
48,1.3795e+06,1.748,4.57,42.5448
49,1.37983e+06,2.487,4.643,44.8894
50,1.37999e+06,2.001,4.406,42.3955
51,1.38058e+06,1.688,4.566,40.0509
52,1.3806e+06,1.93,4.559,41.4384
53,1.38074e+06,2.851,4.645,44.942
54,1.38079e+06,2.346,4.753,45.2933
55,1.38088e+06,1.96,4.601,40.7359
56,1.38096e+06,1.948,4.719,43.1419
57,1.38103e+06,1.641,4.644,39.2782
58,1.38114e+06,1.959,4.515,43.3878
59,1.38161e+06,1.922,4.812,39.9456
60,1.38211e+06,2.022,4.456,44.2396
61,1.38241e+06,2.351,4.461,45.6006
62,1.38259e+06,1.686,4.566,39.5504
63,1.38318e+06,2.253,4.69,45.3548
64,1.38372e+06,2.123,4.582,44.2835
65,1.3838e+06,1.938,4.493,40.973
66,1.38385e+06,2.016,4.569,43.8795
67,1.38408e+06,2.267,4.597,44.5732
68,1.38464e+06,1.984,4.372,43.0453
69,1.38493e+06,1.936,4.416,39.6119
70,1.38505e+06,1.966,4.499,40.8851
71,1.38522e+06,2.685,4.491,44.2132
72,1.38542e+06,1.873,4.707,43.1419
73,1.38657e+06,2.819,4.738,44.301
74,1.38664e+06,1.963,4.558,41.6579
75,1.38709e+06,2.297,4.598,45.2143
76,1.38749e+06,1.831,4.28,43.6249
77,1.38762e+06,2.457,4.562,44.2044
78,1.38782e+06,1.954,4.435,41.5789
79,1.38804e+06,2.437,4.273,45.2494
80,1.38857e+06,2.006,4.394,41.6491
81,1.38975e+06,2.393,4.451,44.5996
82,1.39039e+06,2.843,4.282,46.3031
83,1.39119e+06,2.221,4.582,45.9168
84,1.39182e+06,2.354,4.41,45.1001
85,1.3923e+06,2.014,4.421,40.3671
86,1.39279e+06,1.977,4.609,43.5371
87,1.39375e+06,2.329,4.425,46.5753
88,1.39515e+06,2.13,4.411,44.3186
89,1.39574e+06,2.093,4.439,45.2143
90,1.39701e+06,2.079,4.834,43.6161
91,1.39791e+06,1.937,4.337,40.1212
92,1.39798e+06,1.662,4.39,42.0618
93,1.39801e+06,1.641,4.265,41.2979
94,1.39811e+06,2.084,4.65,42.9136
95,1.39875e+06,1.949,4.438,39.8051
96,1.40011e+06,1.682,4.162,39.6294
97,1.40033e+06,0.141,4.204,40.4549
98,1.40632e+06,1.999,4.413,41.1398
99,1.41708e+06,2,4.408,40.5866
