id,cost,hd_time,ls_time,diversity
0,3.28904e+06,0.926,1.755,50.6453
1,3.29024e+06,0.067,1.618,47.6107
2,3.298e+06,0.839,1.72,46.3318
3,3.31058e+06,0.947,1.743,50.1802
4,3.31161e+06,0.968,1.775,48.7385
5,3.31246e+06,0.779,1.783,49.7384
6,3.31353e+06,0.797,2.061,49.2385
7,3.31484e+06,0.824,1.696,48.7385
8,3.31781e+06,0.796,1.88,46.9364
9,3.3181e+06,0.749,1.716,51.6452
10,3.31929e+06,0.94,1.767,48.5409
11,3.31943e+06,0.812,1.686,46.6922
12,3.31993e+06,0.843,1.676,45.1227
13,3.32068e+06,0.783,1.725,49.4826
14,3.32298e+06,0.92,1.735,50.5639
15,3.32504e+06,0.97,1.735,45.518
16,3.32528e+06,0.824,1.717,48.0409
17,3.32543e+06,0.828,1.683,46.576
18,3.32629e+06,0.802,1.705,50.6569
19,3.32678e+06,0.793,1.71,48.2618
20,3.32742e+06,0.932,1.719,52.459
21,3.328e+06,0.836,1.725,46.7853
22,3.32802e+06,0.953,1.778,48.8083
23,3.32841e+06,0.745,1.763,48.692
24,3.3304e+06,0.86,1.695,45.9598
25,3.33098e+06,0.756,1.652,47.634
26,3.33141e+06,0.826,1.71,46.7388
27,3.3326e+06,0.098,1.595,47.8898
28,3.33287e+06,0.919,1.815,49.6105
29,3.33293e+06,0.937,1.692,49.0873
30,3.33298e+06,0.931,1.704,49.4477
31,3.33393e+06,0.762,1.679,47.3782
32,3.33452e+06,0.813,1.674,46.3667
33,3.33459e+06,0.766,1.717,47.8084
34,3.3357e+06,0.765,1.783,46.9713
35,3.33592e+06,0.815,1.675,46.6457
36,3.33618e+06,0.815,1.753,46.3667
37,3.33633e+06,0.754,1.713,50.1221
38,3.33724e+06,1.125,1.674,52.0521
39,3.33807e+06,0.078,1.563,47.6572
40,3.33852e+06,0.789,1.824,48.8897
41,3.33927e+06,0.093,1.531,47.6921
42,3.33971e+06,0.928,1.739,50.8894
43,3.34016e+06,0.806,1.634,45.5761
44,3.34035e+06,0.951,1.678,46.7388
45,3.34106e+06,0.78,1.617,46.8318
46,3.34146e+06,0.835,1.687,45.4831
47,3.34169e+06,0.932,1.691,49.7268
48,3.34216e+06,0.82,1.676,48.0758
49,3.34258e+06,0.935,1.744,49.0873
50,3.34328e+06,0.767,1.733,47.8898
51,3.34407e+06,0.808,1.687,45.2622
52,3.3445e+06,0.971,1.59,44.6809
53,3.34475e+06,0.749,1.659,48.2618
54,3.34593e+06,0.749,1.679,47.1689
55,3.34622e+06,0.991,1.781,45.7272
56,3.34622e+06,0.776,1.683,48.6804
57,3.34664e+06,0.797,1.716,48.4362
58,3.34692e+06,0.815,1.659,48.4827
59,3.34748e+06,0.797,1.894,47.0992
60,3.34774e+06,0.751,1.699,49.2733
61,3.34784e+06,0.804,1.721,47.0992
62,3.34865e+06,0.93,1.721,51.308
63,3.34914e+06,0.776,1.71,48.1804
64,3.35016e+06,0.828,1.749,47.8433
65,3.35096e+06,1,1.757,45.5645
66,3.35383e+06,0.969,1.713,50.6569
67,3.35524e+06,0.796,1.623,47.9944
68,3.35603e+06,0.906,1.732,50.8429
69,3.35695e+06,0.936,1.697,50.3081
70,3.35832e+06,0.841,1.677,46.1109
71,3.35851e+06,0.798,1.689,47.9944
72,3.35877e+06,0.846,1.671,45.6459
73,3.36053e+06,0.792,1.745,48.1107
74,3.36082e+06,0.967,1.634,46.8899
75,3.36104e+06,0.78,1.749,48.5757
76,3.36206e+06,0.775,1.733,45.4598
77,3.36283e+06,0.816,1.731,50.5988
78,3.36314e+06,0.802,1.683,47.5294
79,3.36349e+06,0.966,1.651,48.006
80,3.36359e+06,0.927,1.64,48.692
81,3.36434e+06,1.001,1.671,45.7854
82,3.36706e+06,0.806,1.688,46.7969
83,3.36727e+06,0.824,1.666,46.2969
84,3.36779e+06,0.792,1.67,45.5877
85,3.36792e+06,0.991,1.692,47.2387
86,3.36826e+06,0.794,1.692,46.9597
87,3.36836e+06,0.809,1.649,45.3901
88,3.36846e+06,0.755,1.75,49.7617
89,3.37243e+06,0.966,1.746,46.7271
90,3.37395e+06,0.794,1.706,48.2502
91,3.37535e+06,0.813,1.671,46.39
92,3.3759e+06,0.795,1.685,46.9248
93,3.37606e+06,0.783,1.704,48.4944
94,3.37612e+06,0.796,1.694,48.0991
95,3.37938e+06,0.813,1.7,46.7388
96,3.3827e+06,0.811,1.707,45.3203
97,3.38878e+06,0.948,1.713,48.2386
98,3.3905e+06,0.794,1.692,49.3315
99,3.39351e+06,0.95,1.615,52.5753
100,3.33311e+06,0.86,1.695,53.5403
101,3.33814e+06,1.125,1.674,55.9702
102,3.34282e+06,0.789,1.824,55.7377
103,3.34302e+06,0.82,1.676,52.366
104,3.35089e+06,0.749,1.659,56.1563
105,3.35776e+06,0.815,1.659,52.6567
