id,cost,hd_time,ls_time,diversity
0,1.86558e+06,0.082,0.227,60.0881
1,1.866e+06,0.067,0.281,64.85
2,1.86674e+06,0.059,0.222,56.5373
3,1.86774e+06,0.096,0.248,59.7303
4,1.86811e+06,0.071,0.25,61.8222
5,1.86876e+06,0.09,0.268,60.8863
6,1.86983e+06,0.097,0.261,61.657
7,1.87116e+06,0.095,0.231,59.6752
8,1.87133e+06,0.094,0.26,72.7498
9,1.872e+06,0.088,0.261,60.0055
10,1.87205e+06,0.085,0.245,59.0972
11,1.87233e+06,0.086,0.254,60.4459
12,1.87295e+06,0.094,0.269,63.5012
13,1.87337e+06,0.09,0.259,65.2078
14,1.87495e+06,0.076,0.262,58.7393
15,1.87518e+06,0.095,0.262,64.7399
16,1.87616e+06,0.112,0.233,65.4831
17,1.87672e+06,0.093,0.238,62.4002
18,1.87865e+06,0.102,0.248,57.9411
19,1.87876e+06,0.1,0.232,73.9884
20,1.87916e+06,0.094,0.249,61.9598
21,1.87963e+06,0.076,0.214,56.6199
22,1.88003e+06,0.119,0.257,62.6204
23,1.88012e+06,0.076,0.267,58.9871
24,1.88119e+06,0.06,0.24,60.8863
25,1.88157e+06,0,0.278,57.3355
26,1.8817e+06,0.082,0.229,60.4459
27,1.88226e+06,0.108,0.23,63.1434
28,1.88248e+06,0.094,0.267,65.2629
29,1.8827e+06,0.07,0.238,61.1065
30,1.88312e+06,0.063,0.229,59.3449
31,1.88338e+06,0.096,0.265,63.3361
32,1.88342e+06,0.094,0.25,59.7578
33,1.88401e+06,0.092,0.253,61.7947
34,1.88408e+06,0.106,0.234,62.3727
35,1.88414e+06,0,0.266,59.2898
36,1.88473e+06,0.084,0.252,57.886
37,1.88486e+06,0.092,0.261,62.7581
38,1.88503e+06,0.093,0.223,70.0523
39,1.88534e+06,0.119,0.22,71.7864
40,1.88564e+06,0.094,0.262,63.9141
41,1.8858e+06,0.094,0.232,63.4462
42,1.886e+06,0.093,0.252,65.4831
43,1.88604e+06,0.062,0.251,58.7118
44,1.88617e+06,0.097,0.262,61.3818
45,1.88643e+06,0.098,0.272,62.4277
