id,cost,hd_time,ls_time,diversity
0,2.47366e+06,17.008,14.188,37.0605
1,2.47844e+06,1.107,14.375,35.7018
2,2.47966e+06,18.156,14.522,36.2088
3,2.48078e+06,10.015,14.341,36.1114
4,2.48123e+06,17.039,14.396,36.4359
5,2.48292e+06,7.889,14.407,36.4359
6,2.48302e+06,2.951,14.469,36.7279
7,2.4889e+06,19.97,14.951,37.5796
8,2.4898e+06,13.043,14.201,37.4011
9,2.49042e+06,24.734,14.996,39.1978
10,2.49276e+06,18.759,14.592,38.849
11,2.49418e+06,15.447,14.658,38.5124
12,2.49443e+06,13.574,14.548,35.7505
13,2.49457e+06,4.711,14.566,36.9996
14,2.49457e+06,2.616,14.11,35.9817
15,2.49507e+06,24.75,15.159,39.1207
16,2.49589e+06,22.395,14.762,36.1723
17,2.49637e+06,24.994,14.428,36.9712
18,2.49709e+06,20.972,14.483,37.3768
19,2.49768e+06,15.364,14.058,37.1051
20,2.49866e+06,21.913,14.647,36.8982
21,2.499e+06,12.697,14.196,38.2974
22,2.49971e+06,15.035,14.846,38.8774
23,2.50058e+06,26.9,14.721,38.2934
24,2.5007e+06,1.473,14.246,36.7928
25,2.50098e+06,13.355,14.513,37.3606
26,2.50145e+06,11.571,14.3,38.0095
27,2.50233e+06,25.737,14.703,36.8131
28,2.50253e+06,25.617,14.601,40.743
29,2.50261e+06,14.204,14.891,37.7621
30,2.50369e+06,11.774,14.305,38.5935
31,2.50376e+06,13.683,14.528,41.8907
32,2.50379e+06,9.921,14.584,35.2963
33,2.50505e+06,13.144,14.832,37.2754
34,2.50557e+06,26.207,14.86,38.9463
35,2.50612e+06,16.477,14.094,36.0303
36,2.50698e+06,21.156,14.553,35.4828
37,2.50711e+06,24.575,14.903,39.9927
38,2.50727e+06,12.599,14.642,38.63
39,2.50729e+06,26.813,14.341,37.243
40,2.50763e+06,28.647,14.875,37.4498
41,2.50772e+06,10.344,14.727,38.4962
42,2.50778e+06,11.513,14.488,34.5297
43,2.50791e+06,15.242,14.509,37.7094
44,2.50838e+06,11.481,14.392,37.612
45,2.50858e+06,26.029,14.644,37.9203
46,2.50879e+06,14.403,14.648,38.3056
47,2.51007e+06,18.546,14.878,38.0663
48,2.5101e+06,13.016,14.463,37.9405
49,2.51061e+06,18.392,14.159,37.0929
50,2.51086e+06,13.509,14.345,39.4006
51,2.51237e+06,12.581,14.468,35.3571
52,2.51243e+06,10.466,14.3,41.2134
53,2.51299e+06,27.275,14.516,38.9139
54,2.51312e+06,23.241,14.854,40.3212
55,2.5132e+06,15.751,14.41,34.9353
56,2.51337e+06,21.693,14.815,37.7864
57,2.514e+06,15.696,14.5,38.0338
58,2.51525e+06,14.124,14.13,38.8936
59,2.51548e+06,11.75,14.884,37.4336
60,2.51565e+06,9.533,14.578,38.776
61,2.51573e+06,11.921,14.615,37.4458
62,2.51604e+06,9.437,14.378,37.1254
63,2.51628e+06,14.245,14.385,37.5553
64,2.51762e+06,13.203,14.658,37.7297
65,2.51788e+06,14.646,14.757,37.7459
66,2.51799e+06,26.562,14.547,37.4174
67,2.51854e+06,26.662,15.273,40.6051
68,2.51855e+06,25.516,14.644,36.2575
69,2.51954e+06,10.406,14.323,37.9892
70,2.51995e+06,24.91,14.481,40.8768
71,2.52197e+06,20.482,14.158,35.6288
72,2.52237e+06,12.102,14.456,34.9272
73,2.52279e+06,19.925,14.448,40.9133
74,2.52402e+06,26.428,14.101,37.4863
75,2.52574e+06,11.778,14.424,40.3374
76,2.526e+06,19.118,14.313,37.1416
77,2.5262e+06,20.21,14.587,37.1537
78,2.52651e+06,8.732,14.426,37.2957
79,2.52684e+06,26.244,14.4,35.2395
80,2.52777e+06,19.802,14.486,35.422
81,2.5282e+06,21.557,14.218,36.0466
82,2.52845e+06,9.962,14.047,37.1781
83,2.53097e+06,10.909,14.548,35.9452
84,2.53116e+06,15.924,14.47,38.4921
85,2.5329e+06,28.746,14.383,36.5089
86,2.53294e+06,25.406,14.649,38.4962
87,2.53297e+06,17.432,14.976,36.0749
88,2.53462e+06,11.332,14.607,36.8577
89,2.53528e+06,24.391,14.151,38.1352
90,2.53836e+06,23.943,14.687,38.3096
91,2.5391e+06,12.092,13.876,37.6039
92,2.53915e+06,24.017,14.386,37.0564
93,2.53933e+06,18.269,14.497,38.4232
94,2.53974e+06,16.703,14.305,36.8455
95,2.5415e+06,24.138,14.329,35.0935
96,2.54342e+06,18.965,14.36,37.2349
97,2.54769e+06,25.516,14.168,37.0442
98,2.54939e+06,10.287,14.495,37.243
99,2.5508e+06,21.297,14.19,37.5269
