id,cost,hd_time,ls_time,diversity
0,3.42134e+06,106.638,18.224,47.6853
1,3.4222e+06,114.935,17.853,47.2377
2,3.42439e+06,87.482,18.512,47.4474
3,3.43278e+06,90.615,17.953,47.2216
4,3.43283e+06,129.157,18.109,47.9676
5,3.43643e+06,127.472,17.665,48.387
6,3.43906e+06,69.827,18.121,47.5401
7,3.44072e+06,86.487,17.946,48.0361
8,3.44128e+06,121.95,18.045,48.1128
9,3.44391e+06,117.975,17.378,48.0765
10,3.44414e+06,103.548,18.073,47.1248
11,3.44623e+06,43.583,17.608,45.3787
12,3.44626e+06,108.097,17.963,47.4111
13,3.44721e+06,95.474,17.519,47.5845
14,3.4479e+06,86.091,18.746,47.4837
15,3.44904e+06,106.66,17.699,47.8547
16,3.45058e+06,134.001,18.124,48.0966
17,3.45104e+06,136.432,18.156,48.3184
18,3.45128e+06,123.784,18.166,48.2257
19,3.45227e+06,89.821,18.125,48.4596
20,3.45287e+06,122.733,17.732,48.2297
21,3.45296e+06,67.931,17.95,46.7538
22,3.4536e+06,52.487,17.804,46.4876
23,3.45413e+06,117.982,17.485,47.6288
24,3.45717e+06,119.481,17.812,48.4515
25,3.45803e+06,113.924,17.512,48.516
26,3.45859e+06,81.352,18.633,48.5967
27,3.4603e+06,79.454,17.39,47.2901
28,3.46164e+06,41.651,18.089,45.4593
29,3.46316e+06,109.721,17.991,47.8587
30,3.46494e+06,86.23,17.552,47.3748
31,3.46597e+06,32.75,18.906,45.4391
32,3.46635e+06,118.561,18.067,48.1652
33,3.46675e+06,136.075,17.938,48.2257
34,3.46688e+06,69.51,17.894,47.9837
35,3.46749e+06,15.235,17.662,42.9188
36,3.46811e+06,130.723,17.849,49.5725
37,3.469e+06,30.035,17.94,45.3222
38,3.47276e+06,100.042,17.906,47.8103
39,3.47286e+06,123.414,17.268,48.8144
40,3.47314e+06,100.254,18.042,48.016
41,3.47314e+06,87.483,17.707,47.778
42,3.47382e+06,100.61,18.217,47.9756
43,3.47396e+06,42.156,17.933,45.9956
44,3.47462e+06,67.765,17.991,47.6006
45,3.4753e+06,135.766,17.436,48.4958
46,3.4756e+06,44.703,17.588,46.661
47,3.47627e+06,123.346,17.346,48.4515
48,3.47648e+06,38.373,19.091,46.1005
49,3.47698e+06,134.947,18.102,47.6611
50,3.47784e+06,106.08,17.784,47.6692
51,3.47791e+06,122.76,17.989,49.0483
52,3.47843e+06,27.15,17.47,45.5682
53,3.47895e+06,25.047,17.947,45.0157
54,3.47992e+06,102.913,17.543,47.5966
55,3.48001e+06,130.226,17.787,49.1491
56,3.48003e+06,101.309,18.641,48.1329
57,3.48185e+06,135.247,18.018,48.7217
58,3.482e+06,78.966,18.09,48.2257
59,3.483e+06,78.631,18.704,48.3345
60,3.48328e+06,125.113,17.111,47.6046
61,3.48575e+06,21.085,18.11,45.673
62,3.48578e+06,130.703,17.235,47.7821
63,3.48724e+06,66.999,17.752,46.8183
64,3.49156e+06,60.746,17.975,46.4796
65,3.49218e+06,122.87,18.68,48.6249
66,3.49226e+06,87.441,18.05,48.4031
67,3.49323e+06,21.04,17.375,44.9794
68,3.49564e+06,33.595,17.748,45.9916
69,3.49585e+06,15.745,17.595,42.326
70,3.49679e+06,124.479,17.844,47.4111
71,3.49744e+06,26.404,17.621,45.0399
72,3.49881e+06,77.986,18.2,47.2054
73,3.49896e+06,45.854,17.629,46.1529
74,3.49927e+06,34.653,17.761,45.8666
75,3.4994e+06,68.435,18.35,46.2416
76,3.5005e+06,28.645,17.978,45.1569
77,3.50064e+06,88.261,18.115,47.8426
78,3.50082e+06,122.123,17.531,47.9595
79,3.50243e+06,42.012,17.515,46.2578
80,3.50305e+06,28.294,17.821,45.6246
81,3.50392e+06,47.78,18.219,46.4997
82,3.50428e+06,96.452,18.315,49.3024
83,3.50499e+06,105.163,17.637,48.7297
84,3.50631e+06,47.485,18.083,46.1973
85,3.50644e+06,54.59,17.693,46.5602
86,3.50738e+06,68.204,17.773,46.5763
87,3.50743e+06,12.193,17.252,44.427
88,3.50794e+06,55.452,17.485,47.1691
89,3.50796e+06,50.822,18.157,46.6449
90,3.50846e+06,48.88,17.604,46.7941
91,3.513e+06,69.229,17.429,47.8345
92,3.51868e+06,19.947,17.517,45.6488
93,3.51906e+06,107.895,17.934,48.1934
94,3.51933e+06,60.534,17.34,47.528
95,3.52472e+06,18.389,17.682,44.4471
96,3.52513e+06,41.897,17.217,46.04
97,3.52859e+06,34.416,17.337,45.4795
98,3.52939e+06,132.132,26.774,49.4193
99,3.57959e+06,33.651,17.613,45.2093
