id,cost,hd_time,ls_time,diversity
0,3.1442e+06,48.85,11.375,53.1906
1,3.18723e+06,44.227,11.404,53.0283
2,3.19393e+06,45.53,11.211,53.7043
3,3.2001e+06,38.934,11.467,52.9959
4,3.20264e+06,15.289,11.144,50.3894
5,3.20425e+06,23.008,11.605,50.5354
6,3.21064e+06,13.365,10.716,48.156
7,3.21214e+06,19.94,10.33,49.6106
8,3.21218e+06,44.134,11.088,52.5308
9,3.21276e+06,21.375,11.36,51.9738
10,3.21385e+06,48.672,10.878,53.661
11,3.21558e+06,46.83,10.858,55.0941
12,3.21751e+06,31.891,11.193,51.9252
13,3.21925e+06,22.16,10.761,50.8382
14,3.21961e+06,27.351,16.847,52.2983
15,3.21982e+06,49.38,11.451,54.2721
16,3.22143e+06,46.642,11.402,53.9531
17,3.22144e+06,21.418,11.407,50.6922
18,3.2231e+06,19.296,10.956,50.2596
19,3.22347e+06,18.745,10.796,51.5142
20,3.22427e+06,35.006,10.317,52.9418
21,3.22444e+06,37.295,11.422,53.4123
22,3.22678e+06,36.014,10.922,54.0612
23,3.22779e+06,21.09,10.65,51.0653
24,3.2293e+06,12.793,10.585,49.7621
25,3.22985e+06,12.836,10.521,49.1942
26,3.23133e+06,27.999,11.147,52.2334
27,3.23182e+06,5.118,10.033,48.1992
28,3.23234e+06,46.073,11.166,53.2501
29,3.23236e+06,4.864,12.796,45.6089
30,3.23272e+06,6.745,10.672,49.2808
31,3.23278e+06,46.898,17.269,54.4452
32,3.23293e+06,30.656,11.251,52.4876
33,3.23355e+06,17.371,10.96,50.146
34,3.23365e+06,18.539,10.537,51.2762
35,3.23405e+06,50.285,10.715,54.0937
36,3.23477e+06,24.749,10.587,52.6931
37,3.23568e+06,38.13,10.764,53.8179
38,3.23571e+06,10.946,10.553,49.735
39,3.23668e+06,19.134,11.265,51.6169
40,3.23753e+06,18.716,11,51.1789
41,3.23826e+06,37.843,10.609,53.2392
42,3.23838e+06,15.469,10.559,51.8981
43,3.23838e+06,21.561,10.682,50.5894
44,3.23978e+06,23.141,10.899,51.7034
45,3.23998e+06,29.077,10.669,52.6606
46,3.24106e+06,12.628,10.778,48.9022
47,3.24144e+06,49.063,11.058,54.4506
48,3.24168e+06,41.001,10.594,54.31
49,3.24248e+06,44.201,17.995,54.2397
50,3.24388e+06,0.764,10.266,45.2899
51,3.24403e+06,42.737,10.707,54.045
52,3.24405e+06,16.121,10.756,51.3249
53,3.24446e+06,29.391,10.34,51.5628
54,3.24514e+06,33.214,10.573,53.5583
55,3.24569e+06,6.968,10.203,49.7188
56,3.24575e+06,45.603,10.625,54.0612
57,3.24707e+06,14.271,10.486,50.8436
58,3.24832e+06,37.431,10.546,54.0017
59,3.2484e+06,11.931,10.309,49.4754
60,3.24854e+06,18.459,10.524,51.406
61,3.24874e+06,6.863,10.075,48.8157
62,3.24898e+06,16.981,10.346,50.265
63,3.25033e+06,32.527,10.903,52.7742
64,3.25114e+06,15.081,10.754,49.9351
65,3.25194e+06,16.881,10.638,51.26
66,3.25268e+06,13.261,10.752,48.9347
67,3.25465e+06,14.573,10.343,49.3294
68,3.2568e+06,34.954,10.624,53.1257
69,3.2568e+06,34.004,10.638,53.0392
70,3.25721e+06,44.404,10.673,54.0234
71,3.25851e+06,11.427,10.471,49.0915
72,3.25966e+06,19.393,10.261,52.1307
73,3.25994e+06,42.904,11.142,53.1149
74,3.2615e+06,38.748,10.694,53.7908
75,3.26269e+06,35.229,10.601,53.3312
76,3.26304e+06,20.812,10.971,50.0595
77,3.26333e+06,6.798,11.06,48.9239
78,3.266e+06,38.796,10.399,54.5209
79,3.26622e+06,5.635,10.235,48.1127
80,3.26849e+06,32.263,10.453,52.8445
81,3.26978e+06,22.391,10.874,51.5412
82,3.27112e+06,39.08,10.469,54.4235
83,3.27219e+06,20.544,10.625,51.0599
84,3.2733e+06,25.595,10.862,52.7742
85,3.27614e+06,21.927,10.666,50.2217
86,3.27643e+06,12.641,10.565,49.7512
87,3.27706e+06,41.437,10.641,54.0234
88,3.27739e+06,44.263,11.18,53.8179
89,3.27764e+06,24.309,10.61,52.1793
90,3.28126e+06,38.263,17.791,54.4992
91,3.28593e+06,5.5,10.656,46.9663
92,3.28614e+06,17.879,10.312,50.9788
93,3.28717e+06,22.734,11.001,51.2276
94,3.2901e+06,18.297,10.417,50.3515
95,3.29093e+06,10.877,10.705,49.151
96,3.30462e+06,8.215,10.17,49.5566
97,3.31919e+06,50.549,10.299,54.921
98,3.32252e+06,48.64,10.285,54.7318
99,3.25554e+06,11.931,10.309,55.6998
100,3.25876e+06,27.091,10.705,37.5784
101,3.25962e+06,27.091,10.705,37.6217
102,3.26708e+06,42.904,11.142,56.446
103,3.28905e+06,22.734,11.001,55.3212
