id,cost,hd_time,ls_time,diversity
0,2.46205e+06,128.263,15.063,53.1776
1,2.46216e+06,103.7,15.209,51.3647
2,2.46432e+06,99.951,15.019,50.8943
3,2.46647e+06,102.311,15.492,52.4922
4,2.46836e+06,25.187,15.14,46.79
5,2.47352e+06,79.797,15.747,51.3688
6,2.47384e+06,43.262,15.955,48.1121
7,2.47496e+06,83.268,23.681,50.9754
8,2.47598e+06,74.295,15.241,51.7054
9,2.47627e+06,36.719,14.892,46.4006
10,2.47639e+06,38.52,14.892,46.8508
11,2.47796e+06,109.685,15.194,52.1272
12,2.48094e+06,45.972,15.047,47.5808
13,2.48103e+06,109.18,14.997,51.9244
14,2.48123e+06,58.454,14.415,48.5704
15,2.48144e+06,121.771,23.702,51.8392
16,2.48157e+06,28.915,14.891,46.4087
17,2.48203e+06,96.483,15.032,51.4174
18,2.4839e+06,110.702,15.45,52.9748
19,2.48539e+06,71.45,15.102,51.0443
20,2.48766e+06,118.737,15.097,53.3966
21,2.48879e+06,115.905,15.038,53.8346
22,2.4889e+06,120.237,25.136,53.498
23,2.48929e+06,95.318,15.453,51.6567
24,2.48959e+06,109.716,14.64,51.6081
25,2.48979e+06,111.373,15.177,51.8149
26,2.49005e+06,94.914,14.86,51.4337
27,2.49008e+06,100.161,23.827,51.7581
28,2.49072e+06,37.522,14.797,48.3554
29,2.49078e+06,74.348,14.588,49.9452
30,2.49081e+06,54.891,15.026,49.1585
31,2.49115e+06,81.656,14.666,50.6955
32,2.49131e+06,91.23,15.081,51.1254
33,2.49147e+06,108.365,15.254,51.7906
34,2.49156e+06,53.405,15.001,49.2882
35,2.49179e+06,44.502,14.653,47.5078
36,2.4921e+06,49.549,14.762,48.1202
37,2.49314e+06,70.795,15.173,50.9957
38,2.49376e+06,100.422,15.347,51.6648
39,2.49379e+06,77.531,15.353,50.1643
40,2.49449e+06,129.341,15.001,52.6869
41,2.49465e+06,131.451,15.206,52.9667
42,2.49511e+06,77.028,14.875,50.5049
43,2.49554e+06,111.772,15.151,52.1718
44,2.49638e+06,72.044,14.968,49.8804
45,2.49647e+06,27.673,14.536,45.1231
46,2.49683e+06,61.999,15.296,49.5884
47,2.49708e+06,81.841,15.072,51.5594
48,2.49751e+06,42.735,14.711,47.5484
49,2.49757e+06,69.278,14.837,49.6411
50,2.49764e+06,108.896,15.129,52.772
51,2.49808e+06,136.799,14.928,53.5223
52,2.49833e+06,116.471,16.003,51.4742
53,2.49838e+06,51.875,14.555,47.8282
54,2.49902e+06,40.006,14.383,46.0113
55,2.49938e+06,28.02,15.2,46.8427
56,2.49952e+06,86.551,15.133,52.0785
57,2.49959e+06,71.031,15.081,49.7303
58,2.4998e+06,120.099,15.354,53.502
59,2.49984e+06,127.355,24.75,53.5872
60,2.49987e+06,98.368,24.056,51.9731
61,2.50028e+06,65.42,14.704,50.5414
62,2.50032e+06,78.562,14.911,51.2917
63,2.5005e+06,73.449,14.963,51.3809
64,2.50057e+06,28.432,15.254,46.3317
65,2.50091e+06,63.435,14.832,50.0872
66,2.50135e+06,71.359,14.984,50.4279
67,2.50364e+06,35.765,14.629,47.0941
68,2.50421e+06,14.017,14.89,46.4898
69,2.5046e+06,58.668,14.603,50.7929
70,2.50524e+06,25.985,15.256,47.228
71,2.50588e+06,82.161,14.953,51.2268
72,2.50639e+06,47.265,15.294,48.6596
73,2.50641e+06,89.64,15.166,51.2796
74,2.50756e+06,57.858,14.725,49.6938
75,2.5077e+06,71.417,15.237,50.6428
76,2.50779e+06,46.896,14.601,47.7309
77,2.50804e+06,58.327,15.067,50.1602
78,2.50983e+06,34.058,14.724,47.1306
79,2.51068e+06,65.085,14.69,50.075
80,2.51083e+06,112.735,14.809,52.1677
81,2.51169e+06,50.361,14.72,49.706
82,2.51235e+06,20.719,14.43,45.4881
83,2.51266e+06,123.815,14.952,52.3056
84,2.51437e+06,46.082,14.839,46.8143
85,2.51487e+06,80.984,15.072,50.2697
86,2.51538e+06,60.111,14.624,48.9111
87,2.51577e+06,47.514,15.078,48.0229
88,2.51586e+06,40.777,15.346,47.885
89,2.51858e+06,9.591,15.109,47.0374
90,2.52119e+06,38.945,14.874,47.7187
91,2.52257e+06,54.53,15.159,47.962
92,2.52262e+06,37.64,14.632,47.6335
93,2.52278e+06,102.653,14.766,52.4111
94,2.52348e+06,47.297,15.1,48.104
95,2.5252e+06,75.617,14.978,51.4093
96,2.52528e+06,22.737,14.973,44.0362
97,2.5294e+06,48.001,15.125,48.4731
98,2.53052e+06,96.343,15.095,52.8978
99,2.5329e+06,22.669,14.986,46.9238
