id,cost,hd_time,ls_time,diversity
0,1.35488e+06,7.226,4.338,47.0847
1,1.35859e+06,12.219,4.835,50.4039
2,1.36131e+06,6.171,4.745,47.8486
3,1.36228e+06,10.856,4.597,50.5005
4,1.36267e+06,11.965,4.456,49.1746
5,1.36321e+06,3.411,4.45,46.4963
6,1.3633e+06,8.465,4.469,47.9803
7,1.36441e+06,6.347,4.471,47.6466
8,1.36659e+06,1.813,4.346,44.8542
9,1.36791e+06,3.443,4.366,46.1363
10,1.36802e+06,1.808,4.596,43.3
11,1.36925e+06,2.029,4.4,42.9399
12,1.36967e+06,6.639,4.514,47.392
13,1.3703e+06,6.186,4.344,47.9715
14,1.37101e+06,11.679,4.508,49.1746
15,1.37153e+06,1.809,4.453,43.5722
16,1.37155e+06,9.874,4.509,48.9989
17,1.37239e+06,3.654,4.129,45.9168
18,1.37274e+06,4.244,4.315,46.4085
19,1.37294e+06,12.642,5.004,49.4204
20,1.37299e+06,12.544,4.516,49.4907
21,1.37302e+06,10.751,4.39,49.0341
22,1.37412e+06,7.566,4.356,48.5774
23,1.37458e+06,12.188,4.5,49.7102
24,1.37475e+06,7.179,4.534,46.549
25,1.37484e+06,13.098,8.737,49.6751
26,1.37525e+06,13.581,4.474,49.6312
27,1.37528e+06,8.719,4.727,48.6389
28,1.37537e+06,6.312,4.469,48.112
29,1.37619e+06,13.003,4.56,50.8518
30,1.37632e+06,3.561,4.275,45.5128
31,1.37658e+06,3.814,4.223,46.2768
32,1.3766e+06,3.401,4.566,46.7071
33,1.37667e+06,9.799,4.343,49.2009
34,1.37704e+06,8.205,4.343,47.5325
35,1.37735e+06,8.269,4.247,47.2515
36,1.37754e+06,7.496,4.407,47.6554
37,1.37761e+06,11.256,4.68,50.36
38,1.37781e+06,10.219,4.655,48.6214
39,1.3783e+06,13.722,4.387,50.1581
40,1.37841e+06,12.267,4.503,50.2547
41,1.37893e+06,7.14,4.372,47.8311
42,1.37908e+06,9.343,4.595,49.1043
43,1.37939e+06,6.701,4.376,48.4018
44,1.37978e+06,11.811,4.558,49.5434
45,1.37979e+06,2.291,4.254,44.1342
46,1.3804e+06,12.165,4.733,49.0955
47,1.3806e+06,12.763,4.478,50.0615
48,1.38122e+06,10.972,4.425,50.0527
49,1.38151e+06,5.562,4.251,47.3217
50,1.38162e+06,3.528,4.219,46.2504
51,1.38178e+06,9.958,4.439,49.9298
52,1.38183e+06,13.963,4.632,50.1317
53,1.38232e+06,1.618,4.093,41.9564
54,1.38243e+06,1.936,4.094,42.3779
55,1.38346e+06,1.562,4.242,43.9234
56,1.38354e+06,12.597,4.459,49.1307
57,1.38358e+06,6.643,4.34,46.8476
58,1.38397e+06,3.155,4.39,46.2856
59,1.38426e+06,1.927,4.099,41.7633
60,1.38426e+06,2.859,4.36,47.0759
61,1.38471e+06,4.485,4.104,46.1538
62,1.38474e+06,3.04,4.395,46.7773
63,1.38481e+06,7.126,4.214,47.2076
64,1.38516e+06,8.789,4.344,49.359
65,1.38519e+06,2.277,4.338,43.9761
66,1.38538e+06,1.875,4.467,45.5567
67,1.38546e+06,7.15,4.344,48.0155
68,1.38552e+06,14.205,4.532,50.3776
69,1.38557e+06,7.554,4.248,48.2789
70,1.38644e+06,7.534,4.332,47.9979
71,1.38649e+06,1.686,4.329,42.4131
72,1.38661e+06,12.509,4.359,49.5522
73,1.38723e+06,1.542,4.312,43.019
74,1.38727e+06,11.835,4.399,49.7629
75,1.3884e+06,1.657,4.637,43.0629
76,1.38846e+06,7.19,4.577,47.7169
77,1.38872e+06,7.919,4.293,47.1198
78,1.38912e+06,8.689,4.607,47.7257
79,1.38931e+06,2.005,4.386,42.5536
80,1.38978e+06,12.86,4.465,49.2887
81,1.39e+06,2.18,4.169,44.0815
82,1.3901e+06,2.015,4.408,42.0179
83,1.39037e+06,10.367,4.458,49.6663
84,1.39038e+06,7.18,4.695,47.5149
85,1.39073e+06,13.709,4.357,49.5434
86,1.3908e+06,4.422,4.535,46.9881
87,1.39102e+06,11.148,4.252,49.1131
88,1.39111e+06,3.835,4.282,45.7148
89,1.39197e+06,11.709,4.391,50.1142
90,1.39232e+06,13.522,4.331,50.1405
91,1.39235e+06,12.936,4.684,50.3688
92,1.39262e+06,3.188,4.266,46.8388
93,1.3932e+06,9.96,4.513,49.236
94,1.39333e+06,2.322,4.425,44.3713
95,1.39668e+06,11.075,4.783,51.3084
96,1.3968e+06,2.595,4.294,44.8718
97,1.40149e+06,8.898,4.316,50.0615
98,1.40256e+06,1.535,4.25,42.6677
99,1.4032e+06,2.269,4.344,43.7039
