n_iter,elapsed_time,cost,n_routes,mechanism
0,167.378,3.48441e+06,0,initialization80,227.236,3.28659e+06,48,crossover
120,299.923,3.27474e+06,48,crossover
156,366.189,3.274e+06,48,mutation
192,431.969,3.27394e+06,48,mutation
138,462.922,3.32543e+06,48,crossover
160,511.267,3.31828e+06,48,crossover
216,634.548,3.31446e+06,48,crossov332,703.299,3.22024e+06,48,mutation
344,7261,731.031,3.30219e+06,48,cros357,752284,783.598,3.30211e+06,48,cro391,816.33,3.20327e+06,48,mutation
406,845.567,3.20006e+06,47,mutation
414,861.0371,977.924,3.27557e+06,48,crossover
412,1075.27,3.26546e+06,48,crossover
437,1147.47,3.26509e+06,48,crossover
461,1198.46,3.25752e+06,48,crossover
515,1347.83,3.25011e+06,47,crossover
520,1364.69,3.23942e+06,47,crossover
541,1425.57,3.22839e+06,47,crossover
626,1677.33,3.21458e+06,47,crossover
679,1825.69,3.20175e+06,47,crossover
928,2535.78,3.19956e+06,47,crossover
1122,3093.71,3.19893e+06,47,crossover
1156,3188.84,3.19258e+06,48,crossover
1164,3213.19,3.17734e+06,47,crossover
1360,3785.36,3.17072e+06,47,crossover
1435,4009.86,3.17025e+06,47,crossover
1571,4387.45,3.16382e+06,48,crossover
1701,4774.06,3.16039e+06,47,crossover
1726,4836.59,3.15917e+06,47,crossover
1743,4884.45,3.15307e+06,47,crossover
1780,4980.33,3.14961e+06,47,crossover
1848,5161.6,3.14915e+06,47,crossover
1917,5342.75,3.14714e+06,47,crossover
2746,7643.39,3.14632e+06,47,crossover
2890,8013.28,3.14255e+06,47,crossover
2940,8150.4,3.14077e+06,47,crossover
3403,9462.89,3.13416e+06,47,crossover
3468,9648.45,3.133e+06,47,crossover
3780,10512.8,3.13022e+06,47,crossover
4440,12414.5,3.13021e+06,47,crossover
4479,12509.1,3.1287e+06,47,crossover
4961,13858.5,3.12745e+06,47,crossover
5871,16441.2,3.12712e+06,47,crossover
6104,17109.7,3.12688e+06,47,crossover
6340,17753.5,3.1261e+06,47,crossover
6783,19019.5,3.12486e+06,47,crossover
7533,21169.8,3.12444e+06,47,crossover
1299e+06,47,mutation
2158,4974.03,3.11294e+06,47,mutation
2160,4976.95,3.11284e+06,47,crossover
2318,5371.48,3.11271e+06,47,mutation
2326,5394.47,3.11247e+06,47,mutation
2412,5601.67,3.11234e+06,47,mutation
2421,5618.92,3.11137e+06,47,mutation
2452,5693.97,3.11108e+06,47,mutation
2504,5838.11,3.10988e+06,47,crossover
2616,6133.75,3.10971e+06,47,mutation
3210,7668.89,3.10969e+06,47,mutation
3430,8203.67,3.10958e+06,47,mutation
3685,8823.33,3.10897e+06,47,crossover
3757,8995.05,3.10896e+06,47,mutation
3813,9138.66,3.10878e+06,47,mutation
3833,9180.77,3.1087e+06,47,mutation
3978,9537.8,3.10868e+06,47,mutation
4025,9659.19,3.10709e+06,47,mutation
4270,10264,3.10605e+06,47,mutation
4373,10525.8,3.10603e+06,47,mutation
4641,11198.4,3.10586e+06,47,mutation
4685,11305.9,3.1058e+06,47,mutation
4888,11825.6,3.10564e+06,47,mutation
4932,11938.3,3.10556e+06,47,mutation
4936,11951.1,3.10545e+06,47,mutation
4950,11990.1,3.10487e+06,47,mutation
4976,12048.5,3.10401e+06,47,mutation
5099,12375.8,3.10328e+06,47,mutation
5102,12381.7,3.10325e+06,47,mutation
5171,12552.3,3.10314e+06,47,crossover
5231,12696.7,3.10182e+06,47,mutation
5293,12848.6,3.10172e+06,47,mutation
5308,12892,3.10112e+06,47,mutation
5351,12998.4,3.10064e+06,47,crossover
5357,13014.3,3.09978e+06,47,mutation
5424,13184.6,3.09915e+06,47,mutation
5444,13234.7,3.0989e+06,47,mutation
5798,14164.4,3.09889e+06,47,mutation
5815,14206.4,3.09889e+06,47,crossover
5825,14227.5,3.09883e+06,47,crossover
6020,14696.2,3.09838e+06,47,mutation
6030,14719.9,3.09829e+06,47,crossover
6314,15384.8,3.09777e+06,47,mutation
6352,15472.8,3.09753e+06,47,mutation
6427,15640.7,3.09718e+06,47,mutation
6550,15941.7,3.09692e+06,47,crossover
6557,15961.5,3.09692e+06,47,mutation
6584,16030.5,3.09617e+06,47,mutation
6632,16140.3,3.09553e+06,47,mutation
6664,16229.6,3.09545e+06,47,crossover
6836,16643.7,3.09513e+06,47,mutation
6978,17019.6,3.09488e+06,47,mutation
7113,17332.4,3.09484e+06,47,mutation
7148,17416.9,3.09382e+06,47,mutation
7326,17865,3.0937e+06,47,mutation
7824,19095.5,3.09367e+06,47,mutation
8051,19646.6,3.09358e+06,47,mutation
8137,19854.9,3.09321e+06,47,crossover
