n_iter,elapsed_time,cost,n_routes,mechanism
0,19.843,1.95154e+06,0,initialization
1,20.421,1.93906e+06,70,crossover
2,20.782,1.93313e+06,70,crossover
7,22.764,1.91328e+06,70,crossover
14,25.047,1.90366e+06,70,crossover
59,41.391,1.90062e+06,70,crossover
74,46.671,1.89471e+06,70,crossover
75,47.107,1.8891e+06,70,crossover
98,55.499,1.88476e+06,70,crossover
105,58.154,1.86976e+06,70,crossover
193,89.984,1.86601e+06,70,crossover
201,92.887,1.85623e+06,70,crossover
218,98.672,1.84956e+06,70,crossover
247,109.469,1.84901e+06,70,crossover
280,122.063,1.84645e+06,70,crossover
304,131.031,1.84639e+06,70,crossover
307,132.264,1.8447e+06,70,crossover
333,141.625,1.84353e+06,70,crossover
342,145.101,1.83551e+06,70,crossover
386,161.422,1.8216e+06,70,crossover
495,208.78,1.82032e+06,70,crossover
519,219.405,1.8115e+06,70,crossover
606,252.733,1.80645e+06,70,crossover
709,293.265,1.79564e+06,70,crossover
997,410.077,1.79386e+06,70,crossover
1280,524.936,1.7861e+06,70,crossover
1416,575.719,1.78442e+06,70,crossover
1579,638.234,1.78248e+06,70,crossover
1954,781.892,1.78155e+06,70,crossover
2276,900.188,1.78e+06,70,crossover
2530,995.438,1.77948e+06,70,crossover
2543,999.937,1.7775e+06,70,crossover
3192,1239.14,1.77668e+06,70,crossover
3324,1288.48,1.7757e+06,70,crossover
3426,1327.65,1.77511e+06,70,crossover
3558,1377.88,1.77502e+06,70,crossover
3647,1413.23,1.77493e+06,70,crossover
3770,1460.86,1.77445e+06,70,crossover
3774,1462.36,1.77403e+06,70,crossover
4097,1582.53,1.77385e+06,70,crossover
4154,1606.56,1.77347e+06,70,crossover
4535,1751.83,1.77235e+06,70,crossover
5262,2018.61,1.77204e+06,70,crossover
5692,2176.48,1.77094e+06,70,crossover
5695,2177.44,1.76948e+06,70,crossover
6206,2362.2,1.76705e+06,70,crossover
6928,2622.64,1.76676e+06,70,crossover
6957,2633.17,1.76615e+06,70,crossover
7785,2939.48,1.76354e+06,70,crossover
7834,2956.42,1.76142e+06,70,crossover
9287,3500.03,1.75956e+06,70,crossover
9917,3724.83,1.75858e+06,70,crossover
10323,3870.67,1.75808e+06,70,crossover
11120,4153.06,1.75698e+06,70,crossover
11740,4378.55,1.75695e+06,70,crossover
11884,4428.78,1.75685e+06,70,crossover
11897,4432.92,1.75617e+06,70,crossover
12240,4557.19,1.75501e+06,70,crossover
12664,4710.15,1.75468e+06,70,crossover
16021,5914.58,1.75434e+06,70,crossover
16913,6238.78,1.75346e+06,70,crossover
17951,6617.29,1.75273e+06,70,crossover
21916,8084.77,1.75248e+06,70,crossover
23041,8502.42,1.75225e+06,70,crossover
24221,8927.74,1.75225e+06,70,crossover
24735,9115.63,1.75179e+06,70,crossover
26049,9596.39,1.75119e+06,70,crossover
27078,9983.15,1.75115e+06,70,crossover
27493,10140.3,1.75087e+06,70,crossover
28090,10369.8,1.75061e+06,70,crossover
28961,10709,1.75046e+06,70,crossover
30393,11228.6,1.75022e+06,70,crossover
30565,11292.1,1.74995e+06,70,crossover
33974,12537.7,1.74965e+06,70,crossover
34331,12670,1.7495e+06,70,crossover
34422,12703.9,1.74871e+06,70,crossover
37695,13908.1,1.74832e+06,70,crossover
39277,14488.6,1.74831e+06,70,crossover
40246,14837.2,1.74812e+06,70,crossover
41866,15430.2,1.74766e+06,70,crossover
44140,16270.8,1.74758e+06,70,crossover
49101,18105.8,1.74755e+06,70,crossover
50407,18591.2,1.74743e+06,70,crossover
52265,19270.2,1.74739e+06,70,crossover
53386,19685.4,1.74735e+06,70,crossover
53948,19893.2,1.7473e+06,70,crossover
54060,19936.5,1.7472e+06,70,crossover
54161,19973.7,1.74716e+06,70,crossover
55393,20431.1,1.74666e+06,70,crossover
