n_iter,elapsed_time,cost,n_routes,mechanism
0,2972.85,3.52851e+06,0,initialization
1,3019.86,3.50409e+06,41,crossover
2,3045.38,3.47734e+06,41,crossover
3,3069.66,3.46384e+06,42,crossover
11,3240.69,3.4599e+06,40,crossover
41,3844.46,3.45885e+06,42,crossover
46,3944.3,3.44888e+06,41,crossover
75,4532.3,3.44806e+06,41,crossover
80,4632.87,3.42067e+06,41,crossover
108,5176.57,3.38968e+06,41,crossover
142,5845.7,3.38571e+06,41,crossover
226,7476.3,3.38485e+06,41,crossover
297,8830.61,3.38438e+06,41,crossover
320,9264.48,3.38338e+06,41,crossover
422,11232.7,3.37884e+06,41,crossover
424,11269.3,3.37866e+06,42,crossover
444,11656,3.37444e+06,41,crossover
451,11779.9,3.35314e+06,41,crossover
541,13505,3.35213e+06,41,crossover
642,15483.3,3.34225e+06,41,crossover
785,18263.7,3.34216e+06,41,crossover
809,18800.8,3.34135e+06,41,crossover
850,19669.6,3.33686e+06,41,crossover
