n_iter,elapsed_time,cost,n_routes,mechanism
0,1509.63,3.32868e+06,0,initialization
0,1523.69,3.28683e+06,30,crossover
10,1658.44,3.27837e+06,31,crossover
22,1794.42,3.23999e+06,30,crossover
95,2637.83,3.1981e+06,30,crossover
146,3195.96,3.19497e+06,30,crossover
254,4376.1,3.18666e+06,30,crossover
285,4727.21,3.18488e+06,30,crossover
352,5452.41,3.1824e+06,30,crossover
360,5536.72,3.18175e+06,30,crossover
362,5557.05,3.16992e+06,30,crossover
472,6724,3.16114e+06,30,crossover
497,6985.02,3.16077e+06,30,crossover
606,8176.88,3.15411e+06,30,crossover
704,9241.77,3.14916e+06,31,crossover
709,9297.66,3.12628e+06,30,crossover
797,10355.8,3.11789e+06,30,crossover
819,10691.9,3.11427e+06,29,crossover
844,11129.8,3.11179e+06,30,crossover
895,12036.5,3.08444e+06,29,crossover
