n_iter,elapsed_time,cost,n_routes,mechanism
0,1772.8,3.36227e+06,0,initialization
1,1809.64,3.35113e+06,137,crossover
2,1830.41,3.31331e+06,136,crossover
21,2203.76,3.29382e+06,135,crossover
38,2537.8,3.28428e+06,135,crossover
43,2648.36,3.27574e+06,136,crossover
109,3959.82,3.26617e+06,135,crossover
127,4316.61,3.26032e+06,136,crossover
137,4512.57,3.24344e+06,136,crossover
263,7008.15,3.242e+06,135,crossover
370,9124.29,3.23838e+06,134,crossover
374,9202.62,3.23289e+06,135,crossover
471,11153.7,3.23158e+06,135,crossover
586,13429.5,3.23015e+06,135,crossover
666,15146.7,3.22947e+06,135,crossover
711,16081.9,3.2193e+06,135,crossover
754,17031.8,3.21898e+06,136,crossover
759,17131.7,3.21747e+06,134,crossover
762,17209.4,3.21696e+06,136,crossover
772,17446.9,3.21321e+06,134,crossover
829,18724.4,3.20489e+06,134,crossover
892,20275.1,3.20169e+06,133,crossover
922,21022.5,3.1892e+06,133,crossover
