n_iter,elapsed_time,cost,n_routes,mechanism
0,1943.33,2.548e+06,0,initialization
2,1996.49,2.54411e+06,68,crossover
3,2013.32,2.52815e+06,68,crossover
5,2049.97,2.52785e+06,68,crossover
9,2124.28,2.50275e+06,67,crossover
24,2407.14,2.49876e+06,69,crossover
29,2498.19,2.49656e+06,70,crossover
63,3118.52,2.47779e+06,69,crossover
112,3968.81,2.47617e+06,68,crossover
170,4989.5,2.45492e+06,68,crossover
248,6314.71,2.45449e+06,68,crossover
279,6857.73,2.45415e+06,68,crossover
291,7064.31,2.45235e+06,68,crossover
313,7444.77,2.44402e+06,69,crossover
606,12530.9,2.44244e+06,68,crossover
701,14273.7,2.43356e+06,69,crossover
727,14758.5,2.4291e+06,68,crossover
783,15822.4,2.42456e+06,68,crossover
821,16624.8,2.41288e+06,67,crossover
884,17950.8,2.40112e+06,67,crossover
969,20143,2.40094e+06,67,crossover
1001,20920.2,2.39169e+06,66,crossover
