n_iter,elapsed_time,cost,n_routes,mechanism
0,687.003,1.39703e+06,0,initialization
7,721.783,1.38284e+06,19,crossover
25,798.175,1.38005e+06,19,crossover
40,859.893,1.37988e+06,19,crossover
43,873.411,1.37939e+06,19,crossover
51,904.583,1.37647e+06,19,crossover
52,908.393,1.36305e+06,19,crossover
137,1260.1,1.36143e+06,19,crossover
162,1359.59,1.36035e+06,19,crossover
170,1391.8,1.35038e+06,19,crossover
401,2337.24,1.34445e+06,18,crossover
421,2421.82,1.34395e+06,18,crossover
580,3066.33,1.34367e+06,18,crossover
644,3322.21,1.3381e+06,18,crossover
790,3912.38,1.33621e+06,18,crossover
795,3932.6,1.33516e+06,18,crossover
821,4043.8,1.33514e+06,19,crossover
870,4250.5,1.33499e+06,19,crossover
875,4271.56,1.33485e+06,19,crossover
880,4290.75,1.33479e+06,19,crossover
900,4385.39,1.32583e+06,18,crossover
1094,5455.52,1.32561e+06,19,crossover
1167,5858.42,1.32528e+06,18,crossover
1176,5922.44,1.31991e+06,18,crossover
1626,8546.08,1.31427e+06,18,crossover
1706,9030.05,1.30755e+06,18,crossover
1954,10480.7,1.30576e+06,18,crossover
1993,10676.5,1.30533e+06,18,crossover
2382,12877.4,1.30228e+06,18,crossover
2486,13406.7,1.30228e+06,18,crossover
2619,14158.9,1.29766e+06,18,crossover
3147,16954.3,1.2974e+06,18,crossover
3388,18262.5,1.29739e+06,18,crossover
3439,18549.1,1.29644e+06,18,crossover
3657,19734.4,1.2963e+06,18,crossover
3671,19821.3,1.29478e+06,18,crossover
3974,21412.3,1.29453e+06,19,crossover
3997,21535.4,1.29452e+06,18,crossover
