Instance,Nº Tasks,BKS,1,2,3,4,5,6,7,8,9,10
Beijing-1,358,760578,764019,760578,760578,760578,760677,764349,760578,760578,760578,760578
Beijing-2,717,1129810,1135620,1132927,1127014,1127949,1133765,1132069,1131872,1128211,1130835,1134307
Beijing-3,1075,1534878,1548883,1547414,1546932,1540660,1538929,1542820,1535543,1546115,1552793,1550598
Beijing-4,1434,1836866,1836140,1839348,1837809,1836318,1838739,1838070,1842255,1838624,1849101,1831290
Beijing-5,1792,2199275,2206143,2193610,2202897,2203558,2194797,2182285,2191873,2184674,2204771,2183222
Beijing-6,2151,2561113,2554751,2560235,2561932,2544332,2552576,2560639,2557268,2554702,2566320,2550293
Beijing-7,2509,2851602,2849827,2841779,2859917,2860017,2860228,2840597,2849984,2855356,2845544,2859678
Beijing-8,2868,3136727,3154513,3120225,3127976,3135949,3116658,3117470,3142436,3119511,3134500,3122738
Beijing-9,3226,3462953,3471971,3461547,3449554,3457289,3459072,3461034,3471109,3445553,3464734,3461114
Beijing-10,3584,3765614,3746795,3767986,3773266,3749063,3734814,3769294,3763251,3742052,3755205,3743957
