Instance,Nº Tasks,BKS,1,2,3,4,5,6,7,8,9,10
Beijing-1,358,760578,760578,760578,760578,760578,760578,760578,760578,760578,760578,760578
Beijing-2,717,1129810,1130880,1130218,1132974,1130881,1130079,1132244,1131101,1131043,1131481,1131128
Beijing-3,1075,1534878,1539541,1538498,1541528,1538038,1536590,1535620,1537606,1535620,1541085,1542530
Beijing-4,1434,1836866,1841644,1849024,1832573,1832580,1848517,1836910,1839597,1838813,1840812,1841390
Beijing-5,1792,2199275,2202740,2201491,2206293,2212521,2208003,2216229,2205589,2206835,2212846,2221014
Beijing-6,2151,2561113,2563589,2574582,2573196,2571393,2565308,2590044,2575194,2590603,2577186,2572825
Beijing-7,2509,2851602,2892653,2895768,2891234,2894611,2894209,2882997,2889340,2889684,2866879,2887924
Beijing-8,2868,3136727,3168611,3179805,3174675,3177597,3169195,3168006,3173145,3156360,3170138,3171338
Beijing-9,3226,3462953,3504360,3518094,3493081,3519030,3508068,3509788,3502411,3512727,3509244,3492218
Beijing-10,3584,3765614,3806126,3834796,3801008,3807509,4201937,3806032,3793603,3807230,3803555,3817436
