Instance,Nº Tasks,BKS,1,2,3,4,5,6,7,8,9,10
Hefei-1,121,245596,246127,245596,245596,246127,245596,246127,246127,245596,246127,245596
Hefei-2,242,433648,434097,433867,433867,433899,433867,434097,434097,433867,433899,433867
Hefei-3,364,572545,575686,573476,575533,573832,572585,573801,573045,573311,574735,573889
Hefei-4,485,737730,739065,741158,743647,741163,739958,740326,739637,739484,741994,740605
Hefei-5,606,941278,943758,942507,947737,944556,947165,943245,943468,951670,945125,942437
Hefei-6,727,1068035,1070323,1066092,1066980,1073518,1063707,1062565,1065239,1066067,1069369,1064159
Hefei-7,848,1266931,1264557,1263306,1269688,1265859,1265132,1265590,1259025,1265253,1265167,1257060
Hefei-8,970,1427531,1417766,1420057,1417894,1423383,1427128,1422372,1424250,1420878,1418550,1419645
Hefei-9,1091,1598203,1587581,1586215,1589418,1584452,1586803,1589729,1591969,1588318,1588101,1584180
Hefei-10,1212,1748829,1740281,1735419,1724831,1745515,1741663,1755932,1746991,1736953,1750994,1742511
