Instance,Nº Tasks,BKS,1,2,3,4,5,6,7,8,9,10
Hefei-1,121,245596,245596,246127,245596,245596,245596,245596,245596,245596,245596,245596
Hefei-2,242,433648,433899,433899,433648,433867,433867,433867,434097,433648,433867,433867
Hefei-3,364,572545,574527,574181,572768,572645,572674,572645,572674,572764,573410,573471
Hefei-4,485,737730,740533,737841,740433,741801,740472,736477,740359,739579,739783,739833
Hefei-5,606,941278,946125,943425,945768,942449,945822,945031,946056,949090,943988,945884
Hefei-6,727,1068035,1066074,1071285,1070927,1070059,1072530,1073784,1067046,1076471,1069575,1069533
Hefei-7,848,1266931,1267279,1277964,1270205,1275363,1267363,1268524,1262358,1270906,1267170,1269428
Hefei-8,970,1427531,1428079,1422664,1443639,1432251,1424876,1434950,1431513,1427760,1429932,1428163
Hefei-9,1091,1598203,1606341,1601504,1605952,1602920,1597331,1606337,1598992,1606759,1603094,1604314
Hefei-10,1212,1748829,1758131,1757974,1756833,1751614,1756168,1761758,1754283,1760731,1759491,1755031
