Instance,Nº Tasks,UB,1,2,3,4,5,6,7,8,9,10
Lpr-a-01,52,13484,13484,13484,13484,13484,13484,13484,13484,13484,13484,13484
Lpr-a-02,104,28052,28052,28052,28052,28052,28052,28052,28052,28052,28052,28052
Lpr-a-03,304,76155,76115,76139,76115,76120,76115,76120,76130,76129,76115,76120
Lpr-a-04,503,127352,127116,127137,127111,127188,127108,127070,127189,127224,127087,127139
Lpr-a-05,806,205499,204124,204264,204270,204273,204283,204287,204299,204323,204341,204344
Lpr-b-01,50,14835,14835,14835,14835,14835,14835,14835,14835,14835,14835,14835
Lpr-b-02,101,28654,28654,28654,28654,28654,28654,28654,28654,28654,28654,28654
Lpr-b-03,305,77878,77878,77878,77878,77859,77859,77859,77859,77859,77859,77859
Lpr-b-04,501,127454,127104,127077,127188,127144,127058,127140,127095,127038,127154,127181
Lpr-b-05,801,211771,210521,210423,210228,210308,210535,210236,210555,210580,210435,210192
Lpr-c-01,50,18639,18639,18639,18639,18639,18639,18639,18639,18639,18639,18639
Lpr-c-02,100,36339,36339,36339,36339,36339,36339,36339,36339,36339,36339,36339
Lpr-c-03,302,111632,111498,111423,111413,111447,111402,111382,111465,111450,111414,111463
Lpr-c-04,504,169254,168767,168767,168758,168837,168655,168667,168820,168825,168645,168689
Lpr-c-05,803,259937,258316,258407,258406,258232,258453,258340,258589,258476,258427,258324
