Instance,Nº Tasks,LB,BKS,1,2,3,4,5,6,7,8,9,10
mval1A,55,230,230,230,230,230,230,230,230,230,230,230,230
mval1B,51,261,261,261,261,261,261,261,261,261,261,261,261
mval1C,53,309,315,309,309,309,309,309,310,309,309,310,309
mval2A,44,324,324,324,324,324,324,324,324,324,324,324,324
mval2B,52,395,395,395,395,395,395,395,395,395,395,395,395
mval2C,49,521,526,526,526,526,526,526,526,526,526,526,526
mval3A,48,115,115,115,115,115,115,115,115,115,115,115,115
mval3B,45,142,142,142,142,142,142,142,142,142,142,142,142
mval3C,43,166,166,166,166,166,166,166,166,166,166,166,166
mval4A,95,580,580,580,580,580,580,580,580,580,580,580,580
mval4B,102,650,650,650,650,650,650,650,650,650,650,650,650
mval4C,103,630,630,630,630,630,630,630,630,630,630,630,630
mval4D,104,746,770,750,752,750,750,750,750,750,750,750,750
mval5A,96,597,597,597,597,597,597,597,597,597,597,597,597
mval5B,91,613,613,613,613,613,613,613,613,613,613,613,613
mval5C,98,697,697,697,697,697,697,697,697,697,697,697,697
mval5D,92,719,739,729,729,729,728,731,729,729,729,731,729
mval6A,69,326,326,326,326,326,326,326,326,326,326,326,326
mval6B,66,317,317,317,317,317,317,317,317,317,317,317,317
mval6C,68,365,371,371,370,370,370,370,370,371,371,370,370
mval7A,86,364,364,364,364,364,364,364,364,364,364,364,364
mval7B,91,412,412,412,412,412,412,412,412,412,412,412,412
mval7C,90,424,426,426,426,426,426,426,426,426,426,426,426
mval8A,96,581,581,581,581,581,581,581,581,581,581,581,581
mval8B,91,531,531,531,531,531,531,531,531,531,531,531,531
mval8C,83,617,638,632,632,632,632,632,632,632,632,632,632
mval9A,132,458,458,458,458,458,458,458,458,458,458,458,458
mval9B,120,453,453,453,453,453,453,453,453,453,453,453,453
mval9C,125,428,429,428,428,428,428,428,428,428,428,428,428
mval9D,131,514,520,519,519,519,519,519,519,519,519,519,519
mval10A,138,634,634,634,634,634,634,634,634,634,634,634,634
mval10B,134,661,661,661,661,661,661,661,661,661,661,661,661
mval10C,136,623,623,623,623,623,623,623,623,623,623,623,623
mval10D,129,643,649,645,645,645,645,645,644,644,645,645,644
